# zone=Tip
# idx_a=0 (length), idx_b=1 (delta_x), idx_c=2 (tp)
# range_a=[0.24, 0.5], steps_a=6
# range_b=[-0.06, -0.4], steps_b=6
# range_c=[0.6, 1.4], steps_c=6
length,delta_x,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.292,-0.06,1.4,0.37263708,0.01770986,0.039019019,0.0058017383,0.0120664,0.392137,3.2355413,0.23953238,1.3224427,0.020303896
0.292,-0.128,0.6,0.20612808,0.016593673,0.037503023,0.014172547,0.025725628,0.80071104,4.5862177,1.0195239,3.5870026,0.019667098
0.292,-0.128,0.76,0.23751708,0.016935438,0.037906222,0.010536136,0.020028286,0.67127124,4.2576619,0.73777967,3.3128361,0.020284475
0.292,-0.128,0.92,0.26221508,0.017328893,0.038917254,0.0089367345,0.017638099,0.60877789,4.1427008,0.55655483,2.4780081,0.019595308
0.292,-0.128,1.08,0.28161308,0.017532223,0.039815867,0.008317519,0.016634496,0.58007239,4.1312778,0.49234843,2.2332375,0.020720708
0.292,-0.128,1.24,0.29698308,0.017443098,0.03991367,0.0081022709,0.016201668,0.54295908,3.981537,0.49264892,2.5457212,0.023679187
0.292,-0.128,1.4,0.30927908,0.017110149,0.03892065,0.0079730765,0.01613656,0.53638574,3.9980561,0.46808583,2.3595864,0.024900143
0.292,-0.196,0.6,0.18218808,0.016333811,0.039675093,0.019503946,0.034032621,0.94523624,4.7404058,1.4808187,5.1580752,0.02097982
0.292,-0.196,0.76,0.21106308,0.016349122,0.037539821,0.013746392,0.025203268,0.78607026,4.6638454,1.0128811,3.9762254,0.020729514
0.292,-0.196,0.92,0.23510808,0.016975734,0.039314455,0.011151181,0.02145566,0.70799082,4.5487993,0.78172637,3.3679276,0.020951911
0.292,-0.196,1.08,0.25490108,0.016335139,0.036556615,0.010306905,0.02000471,0.6369203,4.2304311,0.72151545,3.4223033,0.023668722
0.292,-0.196,1.24,0.27111908,0.017086594,0.039765755,0.0095809809,0.018953019,0.62748209,4.3835575,0.6383398,3.0152682,0.024431611
0.292,-0.196,1.4,0.28458108,0.016605867,0.037802661,0.0093721038,0.018576962,0.61896656,4.4126379,0.6134572,2.9247155,0.026503261
0.292,-0.264,0.6,0.16988908,0.014762461,0.035129451,0.024656185,0.041425406,0.91051872,4.2684166,1.8693608,6.3792335,0.022238565
0.292,-0.264,0.76,0.19667808,0.015563537,0.035720203,0.016653536,0.029397196,0.84314752,4.7193127,1.2735139,4.818945,0.021847089
0.292,-0.264,0.92,0.21998808,0.016530453,0.038731562,0.013009428,0.024488807,0.77055637,4.7452733,0.96072645,3.9917704,0.021807084
0.292,-0.264,1.08,0.23962308,0.016842226,0.039760051,0.011502577,0.022280726,0.69938394,4.538978,0.8352686,3.7759645,0.023477279
0.292,-0.264,1.24,0.25610808,0.016742888,0.039231461,0.010747782,0.02103484,0.67456128,4.5462623,0.76100834,3.5160699,0.025260829
0.292,-0.264,1.4,0.26996808,0.016211204,0.036749,0.010445579,0.020428937,0.66037641,4.5610445,0.72769628,3.4037261,0.027556952
0.292,-0.332,0.6,0.16229708,0.014971183,0.038081272,0.028502815,0.047626107,1.0021334,3.9285043,2.1099116,7.1015828,0.022389325
0.292,-0.332,0.76,0.18746508,0.016042402,0.039650302,0.019286058,0.033535667,0.8456295,4.4486064,1.5245538,5.8764271,0.023197634
0.292,-0.332,0.92,0.21001308,0.016114562,0.038183284,0.014877249,0.027352518,0.77943487,4.6014841,1.1434331,4.7259273,0.023111418
0.292,-0.332,1.08,0.22943808,0.016652757,0.03961986,0.012527909,0.024044121,0.75582622,4.7994808,0.9264383,4.00091,0.023360398
0.292,-0.332,1.24,0.24592308,0.016470813,0.038987048,0.011912784,0.023069432,0.67430998,4.4279707,0.89131886,4.1592224,0.026731991
0.292,-0.332,1.4,0.25999308,0.015952873,0.036160023,0.011316727,0.021931769,0.68179341,4.606255,0.82009455,3.7902395,0.028266262
0.292,-0.4,0.6,0.15688908,0.014723258,0.038010556,0.031430448,0.052295866,1.0755125,4.1592482,2.2363077,7.2407253,0.021802852
0.292,-0.4,0.76,0.18080908,0.014957006,0.034875872,0.020958662,0.035734563,0.92059352,4.7827096,1.6165017,5.695065,0.022471224
0.292,-0.4,0.92,0.20266308,0.015278493,0.034770378,0.016313285,0.029270927,0.82539849,4.7443986,1.2632519,4.9913579,0.023357509
0.292,-0.4,1.08,0.22177308,0.015792131,0.036953123,0.014200686,0.02659619,0.71746463,4.3669041,1.1101861,4.9253526,0.025713894
0.292,-0.4,1.24,0.23825808,0.015898859,0.036448321,0.01252036,0.024024658,0.74189664,4.7728523,0.93308635,4.1113352,0.025854784
0.292,-0.4,1.4,0.25243308,0.016187762,0.03785135,0.011886538,0.023035724,0.71021045,4.739959,0.87584701,3.9720207,0.028041026
0.344,-0.06,0.6,0.31375808,0.018873905,0.039628602,0.0064231611,0.013044634,0.39462392,2.8270726,0.30562142,1.0683471,0.016852762
0.344,-0.06,0.76,0.35190808,0.01863265,0.039155423,0.0054287514,0.010653952,0.33128221,2.6128576,0.20840445,1.0803539,0.015310172
0.344,-0.06,0.92,0.37774108,0.018496945,0.039254988,0.0051316627,0.010066586,0.32147967,2.6495385,0.17093095,0.99119087,0.014990159
0.344,-0.06,1.08,0.39583508,0.018097133,0.038521587,0.0050027683,0.0097844152,0.30851571,2.5854123,0.1620579,1.0615421,0.015975553
0.344,-0.06,1.24,0.40869708,0.018145785,0.039345847,0.0049548547,0.010075004,0.31741014,2.7442001,0.15559559,1.0002804,0.016615029
0.344,-0.06,1.4,0.41832108,0.018038277,0.039612808,0.0049532196,0.010307652,0.32463456,2.8369975,0.16235488,1.0478957,0.018375523
0.344,-0.128,0.6,0.22214708,0.016928216,0.037643763,0.011926774,0.022137439,0.70352485,4.2011764,0.83092243,3.1771811,0.01932689
0.344,-0.128,0.76,0.25914108,0.017294543,0.03782931,0.0087723121,0.017124163,0.59432052,3.9844444,0.52854164,2.2130774,0.018068407
0.344,-0.128,0.92,0.28819808,0.017655047,0.039129558,0.0075891758,0.015084768,0.51767704,3.7237711,0.42338193,2.0567224,0.018878175
0.344,-0.128,1.08,0.31109608,0.017370578,0.038248606,0.0071157405,0.014187259,0.48785729,3.6339864,0.37798793,1.9662581,0.020403951
0.344,-0.128,1.24,0.32917908,0.017612919,0.039587864,0.0068267002,0.013899158,0.47618335,3.6724002,0.34752148,1.826397,0.021605395
0.344,-0.128,1.4,0.34373108,0.017051096,0.037624716,0.0067037098,0.013890072,0.47494739,3.7388852,0.33436095,1.7553298,0.02316128
0.344,-0.196,0.6,0.19405308,0.016517555,0.038536947,0.016269069,0.029088962,0.91461606,4.9544781,1.2017898,4.1287755,0.019935624
0.344,-0.196,0.76,0.22797708,0.016573372,0.037036524,0.011465991,0.021581793,0.72242587,4.4794564,0.79610164,3.236119,0.019755884
0.344,-0.196,0.92,0.25638508,0.017268846,0.039226113,0.0093762692,0.018419182,0.63307082,4.2629407,0.60577156,2.7316993,0.020162331
0.344,-0.196,1.08,0.27959908,0.016944756,0.03788816,0.0086015093,0.016967533,0.57570528,4.0452713,0.53785004,2.6390266,0.022233126
0.344,-0.196,1.24,0.29878508,0.017186364,0.03895714,0.0080835159,0.016234398,0.56283765,4.1407789,0.47320342,2.2719594,0.023091127
0.344,-0.196,1.4,0.31457908,0.017065906,0.038887474,0.0078415638,0.015989393,0.53031317,4.0001254,0.46591665,2.4722209,0.025860255
0.344,-0.264,0.6,0.17956108,0.015590242,0.036817064,0.020380484,0.035053892,0.94595956,4.8450793,1.5460877,5.28489,0.021123439
0.344,-0.264,0.76,0.21106308,0.016329073,0.037459459,0.013671729,0.025115304,0.80039693,4.7651267,1.0050007,3.9115905,0.020568235
0.344,-0.264,0.92,0.23857308,0.016418302,0.036881305,0.010969099,0.021080108,0.69802701,4.4878033,0.76587128,3.3512467,0.021291652
0.344,-0.264,1.08,0.26168508,0.017005625,0.039103692,0.009680041,0.019060683,0.63610704,4.3463658,0.64858092,3.0273893,0.022720169
0.344,-0.264,1.24,0.28108308,0.016512913,0.036780374,0.0091041459,0.017973947,0.61521607,4.3497852,0.58223516,2.7409544,0.024388504
0.344,-0.264,1.4,0.29740708,0.017083062,0.039692672,0.0086966787,0.017529058,0.57959367,4.2599729,0.55110341,2.7637491,0.02658345
0.344,-0.332,0.6,0.17051308,0.014669764,0.03440602,0.024266345,0.040699673,0.92442115,4.4250811,1.8399099,6.2418914,0.022089749
0.344,-0.332,0.76,0.20014308,0.016059269,0.037557515,0.015744265,0.028255508,0.84216229,4.801114,1.1944689,4.5652314,0.021405545
0.344,-0.332,0.92,0.22670808,0.016367973,0.037610286,0.012263309,0.023258648,0.74243289,4.6273127,0.8952465,3.8251998,0.021908372
0.344,-0.332,1.08,0.24959808,0.01622068,0.036414929,0.01076994,0.020844713,0.67471177,4.4367946,0.76133455,3.5011204,0.023696195
0.344,-0.332,1.24,0.26902308,0.016541066,0.037603802,0.0098695794,0.019394336,0.64992056,4.4889417,0.66548848,3.0962218,0.024981262
0.344,-0.332,1.4,0.28553508,0.016399673,0.037075526,0.0094941758,0.018819827,0.61567304,4.3769924,0.63376659,3.0954614,0.027610738
0.344,-0.4,0.6,0.16416908,0.014497156,0.035228607,0.02749553,0.045633192,0.92435228,4.1548728,2.0621055,7.0284784,0.02251849
0.344,-0.4,0.76,0.19237308,0.015265184,0.034498479,0.017452229,0.030601825,0.90225522,4.9998278,1.3342363,4.8666465,0.02165676
0.344,-0.4,0.92,0.21809808,0.01578781,0.035771228,0.013568234,0.025224174,0.76883249,4.6491565,1.0212889,4.2788827,0.022687058
0.344,-0.4,1.08,0.24067308,0.016664859,0.039030674,0.011456614,0.022182503,0.722008,4.702858,0.83274073,3.7600643,0.023663478
