X(mm),Y(mm),Z(mm)
-52.519019,-936.638546,0.000000
-52.479014,-936.525546,0.000000
-52.439009,-936.412546,0.000000
-52.399004,-936.299546,0.000000
-52.358998,-936.186546,0.000000
-52.318993,-936.073546,0.000000
-52.278988,-935.960546,0.000000
-52.238983,-935.847546,0.000000
-52.198977,-935.734546,0.000000
-52.158972,-935.621546,0.000000
-52.118967,-935.508546,0.000000
-52.078962,-935.395546,0.000000
-52.038956,-935.282546,0.000000
-51.998951,-935.169546,0.000000
-51.958946,-935.056546,0.000000
-51.918941,-934.943546,0.000000
-51.878935,-934.830546,0.000000
-51.838930,-934.717546,0.000000
-51.798925,-934.604546,0.000000
-51.758920,-934.491546,0.000000
-51.718915,-934.378546,0.000000
-51.678909,-934.265546,0.000000
-51.638904,-934.152546,0.000000
-51.598899,-934.039546,0.000000
-51.558894,-933.926546,0.000000
-51.518888,-933.813546,0.000000
-51.478883,-933.700546,0.000000
-51.438878,-933.587546,0.000000
-51.398873,-933.474546,0.000000
-51.358867,-933.361546,0.000000
-51.318862,-933.248546,0.000000
-51.278857,-933.135546,0.000000
-51.238852,-933.022546,0.000000
-51.198846,-932.909546,0.000000
-51.158841,-932.796546,0.000000
-51.118836,-932.683546,0.000000
-51.078831,-932.570546,0.000000
-51.038825,-932.457546,0.000000
-50.998820,-932.344546,0.000000
-50.958815,-932.231546,0.000000
-50.918810,-932.118546,0.000000
-50.878804,-932.005546,0.000000
-50.838799,-931.892546,0.000000
-50.798794,-931.779546,0.000000
-50.758789,-931.666546,0.000000
-50.718783,-931.553546,0.000000
-50.678778,-931.440546,0.000000
-50.638773,-931.327546,0.000000
-50.598768,-931.214546,0.000000
-50.558762,-931.101546,0.000000
-50.518757,-930.988546,0.000000
-50.478752,-930.875546,0.000000
-50.438747,-930.762546,0.000000
-50.398741,-930.649546,0.000000
-50.358736,-930.536546,0.000000
-50.318731,-930.423546,0.000000
-50.278726,-930.310546,0.000000
-50.238720,-930.197546,0.000000
-50.198715,-930.084546,0.000000
-50.158710,-929.971546,0.000000
-50.118705,-929.858546,0.000000
-50.078700,-929.745546,0.000000
-50.038694,-929.632546,0.000000
-49.998689,-929.519546,0.000000
-49.958684,-929.406546,0.000000
-49.918679,-929.293546,0.000000
-49.878673,-929.180546,0.000000
-49.838668,-929.067546,0.000000
-49.798663,-928.954546,0.000000
-49.758658,-928.841546,0.000000
-49.718652,-928.728546,0.000000
-49.678647,-928.615546,0.000000
-49.638642,-928.502546,0.000000
-49.598637,-928.389546,0.000000
-49.558631,-928.276546,0.000000
-49.518626,-928.163546,0.000000
-49.478621,-928.050546,0.000000
-49.438616,-927.937546,0.000000
-49.398610,-927.824546,0.000000
-49.358605,-927.711546,0.000000
-49.318600,-927.598546,0.000000
-49.278595,-927.485546,0.000000
-49.238589,-927.372546,0.000000
-49.198584,-927.259546,0.000000
-49.158579,-927.146546,0.000000
-49.118574,-927.033546,0.000000
-49.078568,-926.920546,0.000000
-49.038563,-926.807546,0.000000
-48.998558,-926.694546,0.000000
-48.958553,-926.581546,0.000000
-48.918547,-926.468546,0.000000
-48.878542,-926.355546,0.000000
-48.838537,-926.242546,0.000000
-48.798532,-926.129546,0.000000
-48.758526,-926.016546,0.000000
-48.718521,-925.903546,0.000000
-48.678516,-925.790546,0.000000
-48.638511,-925.677546,0.000000
-48.598505,-925.564546,0.000000
-48.558500,-925.451546,0.000000
-48.518495,-925.338546,0.000000
-48.478490,-925.225546,0.000000
-48.438485,-925.112546,0.000000
-48.398479,-924.999546,0.000000
-48.358474,-924.886546,0.000000
-48.318469,-924.773546,0.000000
-48.278464,-924.660546,0.000000
-48.238458,-924.547546,0.000000
-48.198453,-924.434546,0.000000
-48.158448,-924.321546,0.000000
-48.118443,-924.208546,0.000000
-48.078437,-924.095546,0.000000
-48.038432,-923.982546,0.000000
-47.998427,-923.869546,0.000000
-47.958422,-923.756546,0.000000
-47.918416,-923.643546,0.000000
-47.878411,-923.530546,0.000000
-47.838406,-923.417546,0.000000
-47.798401,-923.304546,0.000000
-47.758395,-923.191546,0.000000
-47.718390,-923.078546,0.000000
-47.678385,-922.965546,0.000000
-47.638380,-922.852546,0.000000
-47.598374,-922.739546,0.000000
-47.558369,-922.626546,0.000000
-47.518364,-922.513546,0.000000
-47.478359,-922.400546,0.000000
-47.438353,-922.287546,0.000000
-47.398348,-922.174546,0.000000
-47.358343,-922.061546,0.000000
-47.318338,-921.948546,0.000000
-47.278332,-921.835546,0.000000
-47.238327,-921.722546,0.000000
-47.198322,-921.609546,0.000000
-47.158317,-921.496546,0.000000
-47.118311,-921.383546,0.000000
-47.078306,-921.270546,0.000000
-47.038301,-921.157546,0.000000
-46.998296,-921.044546,0.000000
-46.958290,-920.931546,0.000000
-46.918285,-920.818546,0.000000
-46.878280,-920.705546,0.000000
-46.838275,-920.592546,0.000000
-46.798270,-920.479546,0.000000
-46.758264,-920.366546,0.000000
-46.718259,-920.253546,0.000000
-46.678254,-920.140546,0.000000
-46.638249,-920.027546,0.000000
-46.598243,-919.914546,0.000000
-46.558238,-919.801546,0.000000
-46.518233,-919.688546,0.000000
-46.478228,-919.575546,0.000000
-46.438222,-919.462546,0.000000
-46.398217,-919.349546,0.000000
-46.358212,-919.236546,0.000000
-46.318207,-919.123546,0.000000
-46.278201,-919.010546,0.000000
-46.238196,-918.897546,0.000000
-46.198191,-918.784546,0.000000
-46.158186,-918.671546,0.000000
-46.118180,-918.558546,0.000000
-46.078175,-918.445546,0.000000
-46.038170,-918.332546,0.000000
-45.998165,-918.219546,0.000000
-45.958159,-918.106546,0.000000
-45.918154,-917.993546,0.000000
-45.878149,-917.880546,0.000000
-45.838144,-917.767546,0.000000
-45.798138,-917.654546,0.000000
-45.758133,-917.541546,0.000000
-45.718128,-917.428546,0.000000
-45.678123,-917.315546,0.000000
-45.638117,-917.202546,0.000000
-45.598112,-917.089546,0.000000
-45.558107,-916.976546,0.000000
-45.518102,-916.863546,0.000000
-45.478096,-916.750546,0.000000
-45.438091,-916.637546,0.000000
-45.398086,-916.524546,0.000000
-45.358081,-916.411546,0.000000
-45.318075,-916.298546,0.000000
-45.278070,-916.185546,0.000000
-45.238065,-916.072546,0.000000
-45.198060,-915.959546,0.000000
-45.158055,-915.846546,0.000000
-45.118049,-915.733546,0.000000
-45.078044,-915.620546,0.000000
-45.038039,-915.507546,0.000000
-44.998034,-915.394546,0.000000
-44.958028,-915.281546,0.000000
-44.918023,-915.168546,0.000000
-44.878018,-915.055546,0.000000
-44.838013,-914.942546,0.000000
-44.798007,-914.829546,0.000000
-44.758002,-914.716546,0.000000
-44.717997,-914.603546,0.000000
-44.677992,-914.490546,0.000000
-44.637986,-914.377546,0.000000
-44.597981,-914.264546,0.000000
-44.557976,-914.151546,0.000000
-44.517971,-914.038546,0.000000
-44.477965,-913.925546,0.000000
-44.437960,-913.812546,0.000000
-44.397955,-913.699546,0.000000
-44.357950,-913.586546,0.000000
-44.317944,-913.473546,0.000000
-44.277939,-913.360546,0.000000
-44.237934,-913.247546,0.000000
-44.197929,-913.134546,0.000000
-44.157923,-913.021546,0.000000
-44.117918,-912.908546,0.000000
-44.077913,-912.795546,0.000000
-44.037908,-912.682546,0.000000
-43.997902,-912.569546,0.000000
-43.957897,-912.456546,0.000000
-43.917892,-912.343546,0.000000
-43.877887,-912.230546,0.000000
-43.837881,-912.117546,0.000000
-43.797876,-912.004546,0.000000
-43.757871,-911.891546,0.000000
-43.717866,-911.778546,0.000000
-43.677860,-911.665546,0.000000
-43.637855,-911.552546,0.000000
-43.597850,-911.439546,0.000000
-43.557845,-911.326546,0.000000
-43.517840,-911.213546,0.000000
-43.477834,-911.100546,0.000000
-43.437829,-910.987546,0.000000
-43.397824,-910.874546,0.000000
