X(mm),Y(mm),Z(mm)
-39.368862,1079.895979,0.000000
-39.240979,1079.465893,0.000000
-39.113095,1079.035807,0.000000
-38.985212,1078.605721,0.000000
-38.857328,1078.175635,0.000000
-38.729445,1077.745549,0.000000
-38.601561,1077.315463,0.000000
-38.473677,1076.885377,0.000000
-38.345794,1076.455291,0.000000
-38.217910,1076.025205,0.000000
-38.090027,1075.595119,0.000000
-37.962143,1075.165033,0.000000
-37.834260,1074.734947,0.000000
-37.706376,1074.304861,0.000000
-37.578492,1073.874775,0.000000
-37.450609,1073.444689,0.000000
-37.322725,1073.014603,0.000000
-37.194842,1072.584517,0.000000
-37.066958,1072.154431,0.000000
-36.939075,1071.724345,0.000000
-36.811191,1071.294259,0.000000
-36.683308,1070.864173,0.000000
-36.555424,1070.434087,0.000000
-36.427540,1070.004001,0.000000
-36.299657,1069.573915,0.000000
-36.171773,1069.143829,0.000000
-36.043890,1068.713743,0.000000
-35.916006,1068.283657,0.000000
-35.788123,1067.853571,0.000000
-35.660239,1067.423485,0.000000
-35.532355,1066.993399,0.000000
-35.404472,1066.563313,0.000000
-35.276588,1066.133227,0.000000
-35.148705,1065.703141,0.000000
-35.020821,1065.273055,0.000000
-34.892938,1064.842969,0.000000
-34.765054,1064.412883,0.000000
-34.637171,1063.982797,0.000000
-34.509287,1063.552711,0.000000
-34.381403,1063.122625,0.000000
-34.253520,1062.692539,0.000000
-34.125636,1062.262452,0.000000
-33.997753,1061.832366,0.000000
-33.869869,1061.402280,0.000000
-33.741986,1060.972194,0.000000
-33.614102,1060.542108,0.000000
-33.486218,1060.112022,0.000000
-33.358335,1059.681936,0.000000
-33.230451,1059.251850,0.000000
-33.102568,1058.821764,0.000000
-32.974684,1058.391678,0.000000
-32.846801,1057.961592,0.000000
-32.718917,1057.531506,0.000000
-32.591034,1057.101420,0.000000
-32.463150,1056.671334,0.000000
-32.335266,1056.241248,0.000000
-32.207383,1055.811162,0.000000
-32.079499,1055.381076,0.000000
-31.951616,1054.950990,0.000000
-31.823732,1054.520904,0.000000
