===BEGIN_METADATA===
Test Type: Force Cycle,Force: 20N,Cycles: 100,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 03,Time since Last Test: ~5min
Number of ICB-Sensors: 1,Sensor Label(s): A
ICB-Sensor A's Serial#: 001,Length: 100mm,Spacing: 40mm,Saturation Load: 70N,Factor of Safety at Saturation: 1.5
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Processed_Time
1.146009,-0454505,-0559272,14:42:30.527052
1.156005,-0454006,-0558618,14:42:30.528046
1.166004,-0454683,-0558843,14:42:30.528046
1.176001,-0454269,-0559198,14:42:30.528046
1.185997,-0454335,-0558341,14:42:30.576273
1.196047,-0454660,-0559251,14:42:30.576273
1.206047,-0454011,-0558761,14:42:30.576273
1.216046,-0454668,-0558785,14:42:30.576273
1.226044,-0454206,-0559200,14:42:30.618367
1.236066,-0454301,-0558235,14:42:30.618367
1.246095,-0454495,-0559318,14:42:30.618367
1.256090,-0453936,-0558627,14:42:30.618367
1.266085,-0454847,-0558978,14:42:30.618367
1.276081,-0454142,-0559159,14:42:30.665263
1.286116,-0454330,-0558383,14:42:30.665263
1.296115,-0454802,-0559271,14:42:30.665263
1.306111,-0453913,-0558690,14:42:30.665263
1.316106,-0454837,-0558889,14:42:30.665263
1.326102,-0454222,-0559078,14:42:30.712927
1.336133,-0454285,-0558365,14:42:30.712927
1.346154,-0454617,-0559347,14:42:30.712927
1.356150,-0453997,-0558698,14:42:30.714929
1.366145,-0454843,-0558896,14:42:30.759028
1.376223,-0454269,-0559138,14:42:30.759028
1.386234,-0454182,-0558426,14:42:30.759028
1.396228,-0454628,-0559247,14:42:30.761021
1.406221,-0453939,-0558594,14:42:30.761021
1.416221,-0454779,-0558724,14:42:30.805839
1.426259,-0454245,-0559137,14:42:30.807185
1.436256,-0454280,-0558342,14:42:30.807185
1.446288,-0454728,-0559239,14:42:30.807185
1.456292,-0453890,-0558575,14:42:30.807185
1.466288,-0454736,-0558772,14:42:30.853171
1.476319,-0454251,-0559283,14:42:30.855170
1.486318,-0454215,-0558363,14:42:30.856204
1.496315,-0454712,-0559199,14:42:30.856204
1.506310,-0454039,-0558708,14:42:30.899732
1.516384,-0454696,-0558711,14:42:30.899732
1.526413,-0454235,-0559242,14:42:30.899732
1.536418,-0454295,-0558320,14:42:30.899732
1.546448,-0454782,-0559211,14:42:30.899732
1.556444,-0453933,-0558706,14:42:30.946209
1.566475,-0454752,-0558743,14:42:30.948202
1.576478,-0454374,-0559185,14:42:30.949215
1.586477,-0454202,-0558524,14:42:30.949215
1.596472,-0454692,-0559098,14:42:30.949215
1.606468,-0453953,-0558751,14:42:30.992609
1.616504,-0454729,-0558759,14:42:30.992609
1.626503,-0454347,-0559113,14:42:30.992609
1.636499,-0454241,-0558257,14:42:30.992609
1.646522,-0454883,-0559295,14:42:31.041338
1.656585,-0453847,-0558534,14:42:31.041338
1.666610,-0454834,-0558796,14:42:31.042337
1.676606,-0454317,-0559177,14:42:31.042337
1.686603,-0454278,-0558418,14:42:31.042337
1.696600,-0454814,-0559246,14:42:31.087806
1.706633,-0453931,-0558603,14:42:31.087806
1.716629,-0454791,-0558690,14:42:31.087806
1.726626,-0454441,-0559184,14:42:31.087806
1.736622,-0454338,-0558262,14:42:31.087806
1.746630,-0454914,-0559029,14:42:31.132991
1.756661,-0453931,-0558599,14:42:31.132991
1.766660,-0454823,-0558667,14:42:31.132991
1.776659,-0454387,-0559194,14:42:31.132991
1.786660,-0454307,-0558327,14:42:31.179110
1.796722,-0454952,-0559177,14:42:31.179110
1.806719,-0454016,-0558618,14:42:31.179110
1.816715,-0454786,-0558672,14:42:31.179110
1.826714,-0454397,-0559267,14:42:31.179110
1.836711,-0454225,-0558298,14:42:31.225150
1.846792,-0454936,-0559052,14:42:31.225150
1.856837,-0454048,-0558560,14:42:31.225150
1.866834,-0454805,-0558624,14:42:31.225150
1.876830,-0454353,-0559192,14:42:31.225150
1.886830,-0454424,-0558226,14:42:31.271207
1.896864,-0454893,-0559115,14:42:31.271207
1.906862,-0454090,-0558643,14:42:31.273208
1.916856,-0454942,-0558640,14:42:31.273208
1.926853,-0454351,-0559064,14:42:31.317528
1.936887,-0454323,-0558395,14:42:31.317528
1.946884,-0454943,-0559231,14:42:31.317528
1.956916,-0453959,-0558616,14:42:31.317528
1.966916,-0454818,-0558591,14:42:31.317528
1.976913,-0454495,-0559099,14:42:31.364935
1.986966,-0454228,-0558368,14:42:31.365933
1.996961,-0454926,-0559155,14:42:31.365933
2.006959,-0453973,-0558666,14:42:31.365933
2.016957,-0454974,-0558551,14:42:31.365933
2.026958,-0454450,-0559163,14:42:31.411042
2.036991,-0454260,-0558199,14:42:31.412042
2.046989,-0454857,-0559062,14:42:31.412042
2.057013,-0453898,-0558646,14:42:31.414040
2.067028,-0454761,-0558583,14:42:31.459867
2.077059,-0454624,-0559169,14:42:31.459867
2.087054,-0454290,-0558278,14:42:31.459867
2.097050,-0454856,-0559186,14:42:31.459867
2.107046,-0454172,-0558643,14:42:31.459867
2.117047,-0454691,-0558647,14:42:31.505400
2.127080,-0454515,-0559197,14:42:31.505400
2.137078,-0454329,-0558383,14:42:31.505400
2.147074,-0454861,-0559093,14:42:31.505400
2.157094,-0454114,-0558596,14:42:31.551713
2.167179,-0454725,-0558542,14:42:31.551713
2.177206,-0454524,-0559045,14:42:31.552713
2.187200,-0454185,-0558305,14:42:31.552713
2.197197,-0454863,-0559071,14:42:31.552713
2.207194,-0454037,-0558743,14:42:31.597593
2.217226,-0454699,-0558664,14:42:31.598587
2.227228,-0454477,-0559172,14:42:31.598587
2.237224,-0454173,-0558239,14:42:31.599587
2.247218,-0454878,-0559047,14:42:31.599587
2.257215,-0454000,-0558534,14:42:31.644829
2.267265,-0454701,-0558623,14:42:31.644829
2.277259,-0454500,-0559221,14:42:31.644829
2.287263,-0454242,-0558364,14:42:31.644829
2.297261,-0454834,-0559003,14:42:31.689794
2.307259,-0454014,-0558610,14:42:31.690809
2.317288,-0454747,-0558410,14:42:31.690809
2.327286,-0454530,-0559208,14:42:31.690809
2.337280,-0454282,-0558309,14:42:31.690809
2.347279,-0454932,-0559072,14:42:31.736016
2.357312,-0454050,-0558600,14:42:31.736016
2.367337,-0454698,-0558524,14:42:31.736016
2.377334,-0454380,-0559169,14:42:31.737095
2.387328,-0454184,-0558365,14:42:31.739119
2.397326,-0454839,-0559116,14:42:31.782291
2.407360,-0453916,-0558767,14:42:31.786362
2.417359,-0454570,-0558598,14:42:31.786362
2.427355,-0454384,-0559164,14:42:31.786362
2.437352,-0454030,-0558234,14:42:31.832128
2.447382,-0454749,-0559071,14:42:31.833256
2.457377,-0453985,-0558633,14:42:31.833256
2.467398,-0454663,-0558501,14:42:31.833256
2.477413,-0454381,-0559160,14:42:31.833256
2.487408,-0454187,-0558316,14:42:31.876200
2.497440,-0454829,-0558993,14:42:31.876200
2.507439,-0453926,-0558628,14:42:31.877300
2.517436,-0454564,-0558505,14:42:31.877300
2.527432,-0454431,-0559203,14:42:31.877300
2.537432,-0454041,-0558287,14:42:31.923560
2.547467,-0454748,-0558964,14:42:31.923560
2.557463,-0453902,-0558683,14:42:31.923560
2.567487,-0454750,-0558407,14:42:31.923560
2.577491,-0454503,-0559206,14:42:31.970298
2.587569,-0454274,-0558278,14:42:31.970298
2.597585,-0454861,-0558956,14:42:31.970298
2.607582,-0454155,-0558796,14:42:31.970298
2.617578,-0454584,-0558499,14:42:31.970298
2.627573,-0454527,-0559100,14:42:32.017911
2.637606,-0454135,-0558325,14:42:32.017911
2.647606,-0454913,-0558972,14:42:32.017911
2.657599,-0454013,-0558591,14:42:32.017911
2.667597,-0454695,-0558449,14:42:32.017911
2.677639,-0454525,-0559031,14:42:32.063743
2.687672,-0454194,-0558254,14:42:32.067007
2.697667,-0454975,-0559113,14:42:32.067007
2.707663,-0454110,-0558698,14:42:32.067007
2.717658,-0454569,-0558586,14:42:32.111020
2.727727,-0454549,-0559193,14:42:32.111020
2.737755,-0454173,-0558382,14:42:32.111020
2.747752,-0454947,-0559080,14:42:32.111020
2.757751,-0454177,-0558788,14:42:32.111020
2.767749,-0454720,-0558487,14:42:32.157380
2.777792,-0454578,-0559172,14:42:32.157380
2.787791,-0454300,-0558393,14:42:32.157380
2.797787,-0454866,-0559080,14:42:32.157380
2.807784,-0454057,-0558808,14:42:32.157380
2.817781,-0454590,-0558611,14:42:32.206002
2.827811,-0454481,-0559169,14:42:32.206002
2.837810,-0454141,-0558250,14:42:32.208615
2.847806,-0454915,-0559092,14:42:32.208615
2.857807,-0453990,-0558822,14:42:32.254871
2.867808,-0454775,-0558591,14:42:32.254871
2.877863,-0454452,-0559207,14:42:32.255871
2.887877,-0454093,-0558336,14:42:32.255871
2.897871,-0454930,-0559029,14:42:32.255871
2.907868,-0453986,-0558759,14:42:32.301969
2.917907,-0454721,-0558539,14:42:32.301969
2.927908,-0454521,-0559188,14:42:32.301969
2.937905,-0454186,-0558353,14:42:32.301969
2.947902,-0454930,-0559001,14:42:32.301969
2.957910,-0453995,-0558775,14:42:32.349637
2.967941,-0454688,-0558613,14:42:32.349637
2.977959,-0454509,-0559215,14:42:32.349637
2.987963,-0454220,-0558441,14:42:32.349637
2.997957,-0455003,-0559087,14:42:32.349637
3.007952,-0454034,-0558850,14:42:32.397937
3.017984,-0454677,-0558548,14:42:32.398993
3.027983,-0454479,-0559260,14:42:32.398993
3.037987,-0454091,-0558342,14:42:32.398993
3.047984,-0454925,-0559040,14:42:32.442513
3.058047,-0454088,-0558764,14:42:32.442513
3.068083,-0454541,-0558350,14:42:32.442513
3.078079,-0454478,-0559111,14:42:32.443604
3.088115,-0454152,-0558346,14:42:32.443604
3.098116,-0454989,-0558995,14:42:32.489807
3.108149,-0454129,-0558718,14:42:32.489807
3.118148,-0454635,-0558543,14:42:32.489807
3.128142,-0454550,-0559266,14:42:32.489807
3.138138,-0454180,-0558420,14:42:32.489807
3.148135,-0455056,-0559036,14:42:32.535590
3.158167,-0454117,-0558780,14:42:32.535590
