===BEGIN_METADATA===
Test Name: 2026-01-03_test_211558,yyyy-mm-dd_test_hhmmss
Test Type: Force Cycle,Force: 50N,Cycles: 66,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 07,Time since Last Test: ~7min
Number of ICB-Sensors: 1,Sensor Label(s): B
ICB-Sensor B's Serial#: 002,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
694.308037,-0731315,-0622269,21:27:33.284536
694.318035,-0729628,-0621648,21:27:33.284536
694.328055,-0731150,-0621318,21:27:33.284536
694.338152,-0730296,-0622467,21:27:33.330724
694.348188,-0730182,-0620917,21:27:33.332723
694.358188,-0731250,-0622061,21:27:33.332723
694.368184,-0729538,-0621787,21:27:33.332723
694.378180,-0731022,-0621185,21:27:33.332723
694.388176,-0730361,-0622489,21:27:33.375890
694.398267,-0729983,-0620892,21:27:33.376888
694.408267,-0731360,-0622117,21:27:33.376888
694.418265,-0729604,-0621789,21:27:33.376888
694.428289,-0730960,-0621126,21:27:33.422647
694.438306,-0730371,-0622527,21:27:33.422647
694.448337,-0731220,-0621047,21:27:33.422647
694.458370,-0731220,-0622050,21:27:33.422647
694.468364,-0729558,-0621749,21:27:33.422647
694.478363,-0730983,-0621211,21:27:33.471595
694.488393,-0730397,-0622499,21:27:33.471595
694.498392,-0729884,-0620903,21:27:33.471595
694.508388,-0731206,-0621951,21:27:33.471595
694.518384,-0729599,-0621692,21:27:33.471595
694.528380,-0730943,-0620965,21:27:33.517818
694.538413,-0730156,-0622576,21:27:33.517818
694.548426,-0729968,-0620979,21:27:33.517818
694.558423,-0731183,-0621994,21:27:33.518817
694.568421,-0729387,-0621726,21:27:33.518817
694.578418,-0730863,-0621197,21:27:33.566321
694.588452,-0730266,-0622402,21:27:33.566321
694.598451,-0729959,-0620970,21:27:33.566321
694.608448,-0731241,-0622046,21:27:33.566321
694.618479,-0730773,-0621783,21:27:33.612427
694.628548,-0730773,-0621136,21:27:33.612427
