===BEGIN_METADATA===
"This CSV contains gyroscope, accelerometer, and magnetometer data synced with the test named below."
Test Name: 2026-07-07_145646_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Calibrations: (not implemented yet)
===END_METADATA===
===BEGIN_DATA===
Time (sec),Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Processed_Time
0.000258,+0000005,-0000015,-0000012,+0000046,-0000066,+0004151,-0000774,+0000490,-0002320,14:56:50.223342
0.000588,+0000011,+0000005,+0000001,+0000060,-0000093,+0004160,-0000774,+0000490,-0002320,14:56:50.223342
0.000921,-0000001,-0000011,-0000015,+0000054,-0000089,+0004144,-0000774,+0000490,-0002320,14:56:50.223342
0.001257,+0000010,-0000020,-0000002,+0000057,-0000117,+0004153,-0000794,+0000490,-0002318,14:56:50.223342
0.001587,+0000017,-0000037,-0000002,+0000066,-0000096,+0004162,-0000794,+0000490,-0002318,14:56:50.223342
0.001920,+0000014,-0000033,-0000012,+0000034,-0000087,+0004144,-0000794,+0000490,-0002318,14:56:50.223342
0.002253,+0000002,-0000016,-0000004,+0000054,-0000088,+0004149,-0000782,+0000506,-0002323,14:56:50.223342
0.002586,-0000003,+0000002,-0000005,+0000062,-0000064,+0004162,-0000782,+0000506,-0002323,14:56:50.223342
0.002919,+0000019,-0000028,-0000019,+0000020,-0000087,+0004129,-0000782,+0000506,-0002323,14:56:50.223342
0.003253,+0000006,-0000029,+0000000,+0000059,-0000092,+0004171,-0000776,+0000476,-0002315,14:56:50.223342
0.003585,+0000030,-0000034,+0000004,+0000055,-0000098,+0004159,-0000776,+0000476,-0002315,14:56:50.223342
0.003918,+0000019,-0000030,-0000014,+0000037,-0000078,+0004152,-0000776,+0000476,-0002315,14:56:50.223342
0.004253,+0000003,-0000008,-0000011,+0000046,-0000086,+0004163,-0000772,+0000486,-0002307,14:56:50.223342
0.004584,-0000006,-0000016,-0000005,+0000033,-0000082,+0004153,-0000772,+0000486,-0002307,14:56:50.223342
0.004917,+0000032,-0000018,-0000003,+0000053,-0000087,+0004154,-0000772,+0000486,-0002307,14:56:50.223342
0.005253,+0000016,-0000031,-0000013,+0000068,-0000065,+0004165,-0000778,+0000480,-0002336,14:56:50.223342
0.005583,+0000019,-0000023,-0000002,+0000048,-0000100,+0004170,-0000778,+0000480,-0002336,14:56:50.223342
0.005916,+0000015,-0000020,-0000021,+0000055,-0000112,+0004148,-0000778,+0000480,-0002336,14:56:50.223342
0.006253,+0000019,-0000032,-0000012,+0000035,-0000080,+0004151,-0000776,+0000480,-0002315,14:56:50.223342
0.006582,-0000006,-0000010,-0000002,+0000043,-0000083,+0004166,-0000776,+0000480,-0002315,14:56:50.223342
0.006915,+0000010,-0000019,+0000009,+0000036,-0000097,+0004179,-0000776,+0000480,-0002315,14:56:50.223342
0.007253,+0000016,-0000030,+0000001,+0000042,-0000076,+0004155,-0000786,+0000488,-0002307,14:56:50.223342
0.007581,+0000025,-0000035,-0000018,+0000039,-0000076,+0004144,-0000786,+0000488,-0002307,14:56:50.224343
0.007914,+0000021,-0000024,+0000000,+0000039,-0000081,+0004149,-0000786,+0000488,-0002307,14:56:50.224343
0.008252,+0000009,-0000016,-0000025,+0000035,-0000080,+0004173,-0000772,+0000476,-0002321,14:56:50.224343
0.008580,+0000006,+0000006,-0000008,+0000033,-0000081,+0004155,-0000772,+0000476,-0002321,14:56:50.224343
