===BEGIN_METADATA===
"This CSV contains gyroscope, accelerometer, and magnetometer data synced with the test named below."
Test Name: 2026-07-07_150357_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Calibrations: (not implemented yet)
===END_METADATA===
===BEGIN_DATA===
Time (sec),Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Processed_Time
0.000026,+0000000,-0000007,-0000008,+0000015,-0000087,+0004144,-0000620,+0000352,-0002411,15:04:01.621239
0.000358,+0000014,-0000012,-0000003,+0000048,-0000083,+0004153,-0000620,+0000352,-0002411,15:04:01.621239
0.000691,+0000019,-0000026,-0000013,+0000048,-0000108,+0004159,-0000704,+0000418,-0002303,15:04:01.621239
0.001024,+0000002,-0000032,-0000008,+0000053,-0000077,+0004168,-0000704,+0000418,-0002303,15:04:01.621239
0.001357,+0000033,-0000037,-0000016,+0000041,-0000081,+0004155,-0000704,+0000418,-0002303,15:04:01.621239
0.001690,+0000018,-0000023,-0000001,+0000043,-0000076,+0004153,-0000726,+0000406,-0002554,15:04:01.621239
0.002023,+0000002,-0000018,-0000014,+0000028,-0000087,+0004147,-0000726,+0000406,-0002554,15:04:01.621239
0.002356,-0000005,+0000003,+0000000,+0000046,-0000076,+0004164,-0000726,+0000406,-0002554,15:04:01.621239
0.002689,+0000024,-0000029,-0000004,+0000024,-0000089,+0004163,-0000714,+0000422,-0002318,15:04:01.621239
0.003022,+0000000,-0000034,-0000008,+0000059,-0000089,+0004152,-0000714,+0000422,-0002318,15:04:01.621239
0.003355,+0000035,-0000040,-0000018,+0000052,-0000076,+0004158,-0000714,+0000422,-0002318,15:04:01.621239
0.003688,+0000009,-0000026,-0000005,+0000049,-0000097,+0004171,-0000730,+0000422,-0002309,15:04:01.621239
0.004021,-0000006,-0000010,-0000003,+0000037,-0000094,+0004175,-0000730,+0000422,-0002309,15:04:01.621239
0.004354,+0000010,-0000003,-0000003,+0000010,-0000073,+0004146,-0000730,+0000422,-0002309,15:04:01.621239
0.004687,+0000010,-0000028,-0000021,+0000054,-0000082,+0004144,-0000732,+0000414,-0002342,15:04:01.621239
0.005020,+0000019,-0000031,-0000002,+0000059,-0000108,+0004159,-0000732,+0000414,-0002342,15:04:01.621239
0.005353,+0000024,-0000045,-0000027,+0000020,-0000090,+0004156,-0000732,+0000414,-0002342,15:04:01.621239
0.005686,+0000014,-0000007,-0000007,+0000045,-0000095,+0004151,-0000720,+0000412,-0002311,15:04:01.621239
0.006019,+0000005,-0000024,-0000004,+0000021,-0000096,+0004169,-0000720,+0000412,-0002311,15:04:01.621239
0.006352,+0000006,-0000026,-0000010,+0000045,-0000096,+0004161,-0000720,+0000412,-0002311,15:04:01.621239
0.006685,+0000014,-0000018,-0000008,+0000035,-0000090,+0004138,-0000736,+0000426,-0002325,15:04:01.621239
0.007018,+0000033,-0000037,-0000003,+0000022,-0000096,+0004149,-0000736,+0000426,-0002325,15:04:01.621239
0.007351,+0000019,-0000019,-0000013,+0000038,-0000101,+0004155,-0000736,+0000426,-0002325,15:04:01.621239
0.007684,+0000005,-0000019,-0000007,+0000034,-0000098,+0004157,-0000722,+0000400,-0002319,15:04:01.621239
0.008017,+0000005,-0000011,-0000005,+0000037,-0000097,+0004153,-0000722,+0000400,-0002319,15:04:01.621239
0.008350,+0000005,-0000010,+0000000,+0000024,-0000094,+0004149,-0000722,+0000400,-0002319,15:04:01.621239
0.008683,+0000029,-0000029,-0000011,+0000029,-0000106,+0004163,-0000724,+0000420,-0002314,15:04:01.621239
0.009016,+0000017,-0000029,-0000014,+0000054,-0000062,+0004167,-0000724,+0000420,-0002314,15:04:01.621239
0.009349,+0000013,-0000031,+0000004,+0000045,-0000090,+0004143,-0000724,+0000420,-0002314,15:04:01.621239
0.009682,+0000013,-0000023,-0000010,+0000036,-0000086,+0004150,-0000742,+0000406,-0002324,15:04:01.621239
0.010016,+0000010,-0000013,-0000010,+0000050,-0000079,+0004191,-0000742,+0000406,-0002324,15:04:01.621239
0.010348,+0000022,-0000012,-0000004,+0000050,-0000071,+0004158,-0000742,+0000406,-0002324,15:04:01.621239
0.010691,+0000024,-0000024,-0000011,+0000039,-0000088,+0004159,-0000734,+0000426,-0002297,15:04:01.621239
0.011202,+0000022,-0000026,-0000007,+0000023,-0000081,+0004144,-0000734,+0000426,-0002297,15:04:01.621239
0.011386,+0000014,-0000032,-0000010,+0000023,-0000081,+0004144,-0000734,+0000426,-0002297,15:04:01.621239
0.011740,+0000015,-0000018,+0000007,+0000035,-0000078,+0004158,-0000728,+0000412,-0002302,15:04:01.621239
0.012013,+0000014,-0000028,-0000016,+0000025,-0000072,+0004158,-0000728,+0000412,-0002302,15:04:01.621239
0.012440,+0000016,-0000021,-0000019,+0000038,-0000086,+0004152,-0000728,+0000412,-0002302,15:04:01.621239
0.012680,+0000014,-0000007,-0000006,+0000032,-0000095,+0004159,-0000718,+0000414,-0002325,15:04:01.621239
0.013012,+0000030,-0000045,-0000010,+0000027,-0000070,+0004171,-0000718,+0000414,-0002325,15:04:01.621239
0.013345,+0000008,-0000034,-0000011,+0000036,-0000086,+0004170,-0000718,+0000414,-0002325,15:04:01.621239
0.013680,+0000008,-0000008,-0000007,+0000037,-0000099,+0004159,-0000718,+0000416,-0002327,15:04:01.621239
0.014013,-0000001,-0000019,+0000001,+0000044,-0000086,+0004151,-0000718,+0000416,-0002327,15:04:01.621239
0.014345,+0000008,-0000012,+0000001,+0000048,-0000101,+0004164,-0000718,+0000416,-0002327,15:04:01.621239
0.014679,+0000025,-0000039,-0000016,+0000035,-0000082,+0004153,-0000722,+0000430,-0002291,15:04:01.621239
0.015010,+0000020,-0000015,+0000001,+0000030,-0000090,+0004163,-0000722,+0000430,-0002291,15:04:01.621239
0.015343,+0000031,-0000029,-0000005,+0000049,-0000082,+0004169,-0000722,+0000430,-0002291,15:04:01.621239
0.015676,+0000009,-0000021,-0000022,+0000043,-0000076,+0004164,-0000730,+0000402,-0002330,15:04:01.621239
0.016009,-0000003,-0000005,+0000006,+0000028,-0000080,+0004172,-0000730,+0000402,-0002330,15:04:01.622237
0.016349,+0000016,-0000029,-0000010,+0000040,-0000092,+0004157,-0000730,+0000402,-0002330,15:04:01.622237
0.016675,+0000016,-0000026,-0000008,+0000031,-0000089,+0004164,-0000720,+0000428,-0002312,15:04:01.622237
0.017008,+0000016,-0000018,-0000008,+0000035,-0000088,+0004146,-0000720,+0000428,-0002312,15:04:01.622237
0.017341,+0000014,-0000023,-0000011,+0000047,-0000090,+0004167,-0000720,+0000428,-0002312,15:04:01.622237
0.017675,+0000020,-0000007,-0000017,+0000049,-0000095,+0004147,-0000720,+0000422,-0002292,15:04:01.622237
0.018007,-0000008,-0000011,+0000001,+0000031,-0000113,+0004140,-0000720,+0000422,-0002292,15:04:01.622237
0.018340,+0000021,-0000030,-0000007,+0000040,-0000077,+0004161,-0000720,+0000422,-0002292,15:04:01.622237
0.018673,+0000010,-0000037,-0000016,+0000044,-0000088,+0004144,-0000716,+0000420,-0002305,15:04:01.622237
0.019006,+0000024,-0000035,-0000015,+0000033,-0000101,+0004151,-0000716,+0000420,-0002305,15:04:01.622237
0.019343,+0000014,-0000031,-0000021,+0000045,-0000090,+0004149,-0000716,+0000420,-0002305,15:04:01.622237
0.019672,+0000008,+0000001,-0000002,+0000039,-0000090,+0004152,-0000736,+0000422,-0002275,15:04:01.622237
0.020005,+0000018,-0000035,-0000011,+0000015,-0000086,+0004163,-0000736,+0000422,-0002275,15:04:01.622237
0.020338,+0000017,-0000013,-0000013,+0000053,-0000082,+0004151,-0000736,+0000422,-0002275,15:04:01.622237
0.020671,+0000017,-0000036,-0000002,+0000050,-0000092,+0004151,-0000698,+0000406,-0002296,15:04:01.622237
0.021004,+0000031,-0000016,-0000002,+0000033,-0000104,+0004143,-0000698,+0000406,-0002296,15:04:01.622237
0.021338,+0000013,-0000007,-0000007,+0000037,-0000087,+0004149,-0000698,+0000406,-0002296,15:04:01.622237
