===BEGIN_METADATA===
Test Name: 2026-06-01_111913_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Calibration sequence for old filter characteristics
Test Type: Calibration
Loads (N): 10 35 70,Positions (mm): 60 75 95
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785"
Number of ICB-Sensors: 1,Sensor Label(s): E,Sensor SNs: 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.066236,-8388608,-8388608,0.066294,-8388608,-8388608,0.063408,-8388608,-8388608,0.065474,-8388608,-8388608,0.065018,877047,-196823,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.317245
0.069484,-8388608,-8388608,0.069544,-8388608,-8388608,0.066693,-8388608,-8388608,0.068279,-8388608,-8388608,0.067804,877150,-196916,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.317269
0.072771,-8388608,-8388608,0.072829,-8388608,-8388608,0.069954,-8388608,-8388608,0.071088,-8388608,-8388608,0.07059,877309,-196866,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.317298
0.076016,-8388608,-8388608,0.076076,-8388608,-8388608,0.073194,-8388608,-8388608,0.073895,-8388608,-8388608,0.073387,877020,-196714,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.317323
0.079262,-8388608,-8388608,0.07932,-8388608,-8388608,0.076455,-8388608,-8388608,0.0767,-8388608,-8388608,0.078959,877018,-196790,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.317348
0.082507,-8388608,-8388608,0.08262,-8388608,-8388608,0.07969,-8388608,-8388608,0.082346,-8388608,-8388608,0.081745,877100,-196930,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.383208
0.085798,-8388608,-8388608,0.085861,-8388608,-8388608,0.082929,-8388608,-8388608,0.085155,-8388608,-8388608,0.084536,877558,-196722,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.383278
0.089046,-8388608,-8388608,0.089106,-8388608,-8388608,0.086233,-8388608,-8388608,0.087985,-8388608,-8388608,0.087333,877158,-196592,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.383310
0.092292,-8388608,-8388608,0.09235,-8388608,-8388608,0.089474,-8388608,-8388608,0.09079,-8388608,-8388608,0.090119,877097,-196717,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.383338
0.095537,-8388608,-8388608,0.095597,-8388608,-8388608,0.092715,-8388608,-8388608,0.093602,-8388608,-8388608,0.092924,877232,-196895,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.383370
0.098785,-8388608,-8388608,0.098844,-8388608,-8388608,0.095993,-8388608,-8388608,0.096409,-8388608,-8388608,0.098498,877306,-196633,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.383399
0.102083,-8388608,-8388608,0.102142,-8388608,-8388608,0.099274,-8388608,-8388608,0.102022,-8388608,-8388608,0.101286,877294,-196803,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.383425
0.105328,-8388608,-8388608,0.105387,-8388608,-8388608,0.102513,-8388608,-8388608,0.104828,-8388608,-8388608,0.104074,877373,-196780,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.383451
0.108573,-8388608,-8388608,0.108644,-8388608,-8388608,0.105751,-8388608,-8388608,0.107633,-8388608,-8388608,0.106864,877324,-196758,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.383490
0.111826,-8388608,-8388608,0.111946,-8388608,-8388608,0.112224,-8388608,-8388608,0.11045,-8388608,-8388608,0.112443,877346,-196629,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.383516
