===BEGIN_METADATA===
Test Name: 2026-06-02_142659_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Transient test, new filter characteristics, at 60mm
Test Type: Medium Lab w/o tops
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785"
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-06-02_141512,kE1: 399957.2154399161,dE1: 0.0049884628004022,cE1: 3321.271967449924,kE2: 414819.21561406605,dE2: 0.0472948365972602,cE2: 1998.9488005689343
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.066371,-8388608,-8388608,0.066297,-8388608,-8388608,0.066689,-8388608,-8388608,0.065325,-8388608,-8388608,0.065383,+1140624,+1033976,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.950131
0.069711,-8388608,-8388608,0.069535,-8388608,-8388608,0.069924,-8388608,-8388608,0.068152,-8388608,-8388608,0.068210,+1140647,+1033953,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.950270
0.072957,-8388608,-8388608,0.072771,-8388608,-8388608,0.073159,-8388608,-8388608,0.070996,-8388608,-8388608,0.071054,+1140716,+1034136,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.950303
0.076203,-8388608,-8388608,0.076008,-8388608,-8388608,0.076394,-8388608,-8388608,0.073817,-8388608,-8388608,0.073877,+1140806,+1033779,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.950330
0.079447,-8388608,-8388608,0.079247,-8388608,-8388608,0.079628,-8388608,-8388608,0.079507,-8388608,-8388608,0.079566,+1140753,+1033944,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.950747
0.082692,-8388608,-8388608,0.082483,-8388608,-8388608,0.082864,-8388608,-8388608,0.082327,-8388608,-8388608,0.082394,+1140608,+1034128,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.951033
0.085938,-8388608,-8388608,0.085722,-8388608,-8388608,0.086104,-8388608,-8388608,0.085141,-8388608,-8388608,0.085201,+1140924,+1034036,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.951106
0.089183,-8388608,-8388608,0.088959,-8388608,-8388608,0.089339,-8388608,-8388608,0.087949,-8388608,-8388608,0.088007,+1140850,+1033888,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.951136
0.092540,-8388608,-8388608,0.092198,-8388608,-8388608,0.092621,-8388608,-8388608,0.093763,-8388608,-8388608,0.093666,+1140605,+1033898,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016208
0.095807,-8388608,-8388608,0.095440,-8388608,-8388608,0.095871,-8388608,-8388608,0.096630,-8388608,-8388608,0.096561,+1140477,+1034052,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016245
0.099063,-8388608,-8388608,0.098689,-8388608,-8388608,0.099121,-8388608,-8388608,0.099435,-8388608,-8388608,0.099347,+1140589,+1033765,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016258
0.102322,-8388608,-8388608,0.101928,-8388608,-8388608,0.102419,-8388608,-8388608,0.102264,-8388608,-8388608,0.102138,+1140589,+1033774,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016269
0.105568,-8388608,-8388608,0.105234,-8388608,-8388608,0.105656,-8388608,-8388608,0.105077,-8388608,-8388608,0.104951,+1140589,+1033856,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016295
0.108812,-8388608,-8388608,0.108472,-8388608,-8388608,0.108891,-8388608,-8388608,0.107883,-8388608,-8388608,0.107739,+1140462,+1033830,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016305
0.112057,-8388608,-8388608,0.111709,-8388608,-8388608,0.112173,-8388608,-8388608,0.110688,-8388608,-8388608,0.110568,+1140836,+1033989,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016315
0.115301,-8388608,-8388608,0.114982,-8388608,-8388608,0.115408,-8388608,-8388608,0.113517,-8388608,-8388608,0.113390,+1140543,+1033980,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016326
0.118548,-8388608,-8388608,0.118220,-8388608,-8388608,0.118647,-8388608,-8388608,0.116327,-8388608,-8388608,0.116176,+1140698,+1034196,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016339
0.121807,-8388608,-8388608,0.121456,-8388608,-8388608,0.121882,-8388608,-8388608,0.121940,-8388608,-8388608,0.121748,+1140749,+1033889,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016349
0.125051,-8388608,-8388608,0.124697,-8388608,-8388608,0.125118,-8388608,-8388608,0.124755,-8388608,-8388608,0.124534,+1140749,+1033957,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016359
0.128295,-8388608,-8388608,0.127934,-8388608,-8388608,0.128355,-8388608,-8388608,0.127559,-8388608,-8388608,0.127324,+1140560,+1033767,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016369
0.131564,-8388608,-8388608,0.131170,-8388608,-8388608,0.131622,-8388608,-8388608,0.130364,-8388608,-8388608,0.130111,+1140590,+1033933,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016379
0.134852,-8388608,-8388608,0.134411,-8388608,-8388608,0.134911,-8388608,-8388608,0.133171,-8388608,-8388608,0.132899,+1140704,+1033678,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016389
0.138099,-8388608,-8388608,0.137655,-8388608,-8388608,0.138157,-8388608,-8388608,0.135977,-8388608,-8388608,0.135685,+1140691,+1033990,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016399
0.141343,-8388608,-8388608,0.140892,-8388608,-8388608,0.141401,-8388608,-8388608,0.138782,-8388608,-8388608,0.141264,+1140606,+1033954,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016409
0.144590,-8388608,-8388608,0.144133,-8388608,-8388608,0.144700,-8388608,-8388608,0.144428,-8388608,-8388608,0.144059,+1140731,+1033674,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016419
0.147848,-8388608,-8388608,0.147379,-8388608,-8388608,0.147935,-8388608,-8388608,0.147246,-8388608,-8388608,0.146850,+1140479,+1033692,,,,,,,,,,,,,,,,,,,,,,,,,14:27:04.016429
