Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
0.000000,-0711881,-0574612,0.000000,-1161008,+0376737,17:26:39.781091
0.043927,-0712168,-0574588,0.044171,-1160791,+0376617,17:26:39.827150
0.087885,-0712368,-0574663,0.088346,-1160928,+0376766,17:26:39.873783
0.131801,-0711916,-0574642,0.132515,-1161043,+0376683,17:26:39.923034
0.175723,-0712243,-0574733,0.176685,-1160687,+0376602,17:26:39.966501
0.219644,-0712169,-0574627,0.220856,-1160959,+0376749,17:26:39.966501
0.263603,-0711925,-0574705,0.265061,-1161003,+0376686,17:26:40.013999
0.307504,-0712536,-0574677,0.309279,-1160803,+0376723,17:26:40.061909
0.351402,-0711963,-0574721,0.353490,-1161010,+0376732,17:26:40.113638
0.395322,-0712081,-0574746,0.397660,-1161016,+0376642,17:26:40.169102
0.439242,-0712462,-0574692,0.441832,-1160808,+0376648,17:26:40.216195
0.483123,-0711928,-0574669,0.486051,-1161053,+0376742,17:26:40.266439
0.527061,-0712155,-0574720,0.530269,-1160879,+0376638,17:26:40.327249
0.571022,-0712328,-0574784,0.574439,-1160750,+0376671,17:26:40.327249
0.614939,-0712043,-0574688,0.618660,-1161076,+0376796,17:26:40.371295
0.658855,-0712268,-0574756,0.662914,-1160809,+0376652,17:26:40.417112
0.702762,-0712235,-0574725,0.707127,-1160809,+0376756,17:26:40.465558
0.746707,-0711904,-0574747,0.751300,-1160999,+0376713,17:26:40.511078
0.790630,-0712372,-0574777,0.795471,-1160822,+0376623,17:26:40.565803
0.834561,-0712099,-0574788,0.839643,-1160816,+0376764,17:26:40.623645
0.878450,-0712042,-0574759,0.883861,-1161035,+0376713,17:26:40.669531
0.922373,-0712579,-0574814,0.928069,-1160751,+0376628,17:26:40.715150
0.966290,-0711958,-0574724,0.972262,-1160833,+0376757,17:26:40.764609
1.010209,-0712150,-0574784,1.016501,-1161053,+0376739,17:26:40.764609
1.054090,-0712281,-0574734,1.060716,-1160730,+0376657,17:26:40.818209
1.097974,-0711843,-0574780,1.104929,-1160848,+0376767,17:26:40.867382
1.141901,-0712265,-0574842,1.149107,-1160997,+0376683,17:26:40.915693
1.185782,-0712120,-0574691,1.193321,-1160761,+0376687,17:26:40.965144
1.229665,-0712171,-0574785,1.237546,-1160818,+0376726,17:26:41.024054
1.273549,-0712386,-0574793,1.281762,-1160997,+0376642,17:26:41.078214
1.317467,-0712000,-0574733,1.325980,-1160743,+0376715,17:26:41.079214
1.361360,-0712110,-0574847,1.370220,-1160929,+0376811,17:26:41.135147
1.405284,-0712382,-0574782,1.414414,-1160905,+0376641,17:26:41.193515
1.449169,-0711977,-0574774,1.458631,-1160740,+0376711,17:26:41.241744
1.493086,-0712171,-0574800,1.502802,-1160966,+0376743,17:26:41.292414
1.536984,-0712404,-0574816,1.547037,-1160885,+0376581,17:26:41.292414
1.580862,-0711937,-0574856,1.591289,-1160758,+0376718,17:26:41.356010
1.624772,-0712361,-0574794,1.635474,-1161012,+0376685,17:26:41.412131
