Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
3.073449,-0712377,-0574306,3.093971,-1159764,+0377104,16:34:45.854473
3.117379,-0712648,-0574325,3.138143,-1159913,+0377242,16:34:45.854473
3.161261,-0712127,-0574291,3.182357,-1159995,+0377111,16:34:45.854473
3.205138,-0712525,-0574323,3.226527,-1159759,+0377093,16:34:45.854473
3.249060,-0712504,-0574331,3.270696,-1159998,+0377257,16:34:45.854473
3.293004,-0712124,-0574263,3.314869,-1159923,+0377072,16:34:45.854473
3.336958,-0712672,-0574312,3.359046,-1159773,+0377091,16:34:45.854473
3.380890,-0712285,-0574249,3.403221,-1159952,+0377188,16:34:46.275878
3.424810,-0712355,-0574318,3.447391,-1159993,+0377059,16:34:46.275878
3.468761,-0712595,-0574317,3.491563,-1159761,+0377120,16:34:46.275878
3.512677,-0712190,-0574263,3.535735,-1159988,+0377201,16:34:46.275878
3.556644,-0712366,-0574367,3.579906,-1159884,+0377060,16:34:46.275878
3.600553,-0712668,-0574277,3.624076,-1159835,+0377145,16:34:46.275878
3.644485,-0712159,-0574306,3.668252,-1160014,+0377151,16:34:46.275878
3.688464,-0712554,-0574320,3.712471,-1159738,+0377025,16:34:46.275878
3.732385,-0712567,-0574269,3.756685,-1159865,+0377198,16:34:46.275878
3.776280,-0712133,-0574249,3.800906,-1159973,+0377203,16:34:46.275878
3.820166,-0712662,-0574249,3.845081,-1159800,+0377112,16:34:46.730014
3.864093,-0712306,-0574276,3.889252,-1159816,+0377189,16:34:46.730014
3.908012,-0712331,-0574325,3.933480,-1159984,+0377122,16:34:46.730014
3.951893,-0712754,-0574305,3.977696,-1159777,+0377043,16:34:46.730014
3.995776,-0712146,-0574269,4.021914,-1159899,+0377194,16:34:46.731014
4.039706,-0712480,-0574324,4.066126,-1160033,+0377147,16:34:46.731014
4.083625,-0712540,-0574224,4.110342,-1159785,+0377105,16:34:46.731014
4.127528,-0712098,-0574233,4.154529,-1159917,+0377258,16:34:46.731014
4.171436,-0712548,-0574312,4.198716,-1159980,+0377083,16:34:46.731014
4.215357,-0712373,-0574370,4.242890,-1159796,+0377166,16:34:47.141145
4.259287,-0712203,-0574352,4.287107,-1159881,+0377236,16:34:47.141145
4.303171,-0712604,-0574325,4.331320,-1159915,+0377070,16:34:47.141145
4.347110,-0712201,-0574210,4.375534,-1159763,+0377152,16:34:47.141145
4.391015,-0712267,-0574335,4.419709,-1159993,+0377234,16:34:47.141145
4.434894,-0712600,-0574262,4.463922,-1159906,+0377138,16:34:47.141145
4.478772,-0712027,-0574317,4.508134,-1159737,+0377198,16:34:47.141145
4.522660,-0712409,-0574292,4.552316,-1159958,+0377254,16:34:47.141145
4.566620,-0712628,-0574258,4.596531,-1159905,+0377052,16:34:47.141145
