Note: Chesterfield Repeatability
Estimation Method: quasi-static EI AB/CB
Test Type: Chesterfield Repeatability ; DARLING
height_m=0.871,rel_deflection_m=0.06,EI = (F_B - F_low) * height^3 / (3 * rel_deflection)
===BEGIN_STIFFNESSES===
Plot,Stalk,Estimate AB (N*m^2),Estimate CB (N*m^2),Estimate AB-CB (N*m^2)
3,10,58.5755,57.567,58.0712
3,9,42.1987,53.7894,47.9941
3,8,49.2201,57.3724,53.2962
3,7,37.1895,42.7351,39.9623
3,6,25.7272,38.423,32.0751
3,5,29.3369,8.09313,18.715
3,4,31.2985,7.43022,19.3644
3,3,49.5788,23.7872,36.683
3,2,37.6902,16.382,27.0361
3,1,51.9019,30.8213,41.3616
2,10,53.105,49.9754,51.5402
2,9,41.5234,28.4835,35.0035
2,8,28.4273,21.2904,24.8588
2,7,45.6216,37.7665,41.694
2,6,49.7054,45.0537,47.3796
2,5,19.0853,27.455,23.2701
2,4,19.7084,17.8952,18.8018
2,3,35.2353,24.8593,30.0473
2,2,61.7215,50.3423,56.0319
2,1,53.4527,50.0581,51.7554
1,10,69.6094,80.0435,74.8265
1,9,59.5169,58.3926,58.9547
1,8,62.4537,43.9853,53.2195
1,7,37.6377,21.452,29.5449
1,6,34.2426,17.6141,25.9284
1,5,23.7296,38.1729,30.9512
1,4,35.593,24.0114,29.8022
1,3,69.7933,53.2849,61.5391
1,2,39.1456,26.067,32.6063
1,1,128.806,126.587,127.696
