Note: Chesterfield Repeatability
Estimation Method: quasi-static EI AB/CB
Test Type: Chesterfield Repeatability ; DARLING
height_m=0.902,rel_deflection_m=0.06,EI = (F_B - F_low) * height^3 / (3 * rel_deflection)
===BEGIN_STIFFNESSES===
Plot,Stalk,Estimate AB (N*m^2),Estimate CB (N*m^2),Estimate AB-CB (N*m^2)
3,10,57.3064,48.9157,53.1111
3,9,51.426,50.5767,51.0013
3,8,31.7918,43.3828,37.5873
3,7,33.364,37.2865,35.3253
3,6,25.9086,27.4404,26.6745
3,5,27.0687,9.11473,18.0917
3,4,25.6127,7.37885,16.4958
3,3,36.1401,25.9006,31.0203
3,2,32.1297,16.2767,24.2032
3,1,39.7116,24.7118,32.2117
2,10,48.9316,33.9456,41.4386
2,9,38.2167,24.4221,31.3194
2,8,20.6921,17.8375,19.2648
2,7,25.3461,19.8644,22.6053
2,6,39.7475,33.0468,36.3972
2,5,24.2817,30.0058,27.1437
2,4,19.9289,18.4639,19.1964
2,3,30.1694,24.8721,27.5207
2,2,48.1936,41.8949,45.0443
2,1,38.4688,46.6106,42.5397
1,10,47.3896,50.9034,49.1465
1,9,47.0237,48.4194,47.7215
1,8,49.443,41.3659,45.4044
1,7,35.2002,22.5825,28.8913
1,6,27.8915,20.2512,24.0714
1,5,31.0634,26.1192,28.5913
1,4,26.6076,24.5109,25.5593
1,3,61.8553,46.474,54.1646
1,2,23.847,17.0629,20.455
1,1,95.3174,87.926,91.6217
