Note: Chesterfield Repeatability
Estimation Method: quasi-static EI AB/CB
Test Type: Chesterfield Repeatability ; DARLING
height_m=0.902,rel_deflection_m=0.06,EI = (F_B - F_low) * height^3 / (3 * rel_deflection)
===BEGIN_STIFFNESSES===
Plot,Stalk,Estimate AB (N*m^2),Estimate CB (N*m^2),Estimate AB-CB (N*m^2)
3,10,68.2154,59.593,63.9042
3,9,60.1744,55.2047,57.6895
3,8,39.1599,51.5819,45.3709
3,7,29.1835,37.0726,33.1281
3,6,23.3036,29.8607,26.5822
3,5,33.0364,11.6228,22.3296
3,4,33.6172,13.5499,23.5836
3,3,33.8753,21.3939,27.6346
3,2,32.3575,19.7731,26.0653
3,1,47.7332,29.1438,38.4385
2,10,51.4317,39.7489,45.5903
2,9,43.3963,24.2592,33.8278
2,8,27.079,22.3107,24.6948
2,7,41.8034,30.0018,35.9026
2,6,48.6845,43.5213,46.1029
2,5,34.7772,32.9002,33.8387
2,4,16.9438,20.9259,18.9348
2,3,25.721,17.956,21.8385
2,2,53.8295,44.3688,49.0992
2,1,41.4694,48.6839,45.0767
1,10,47.5845,69.3226,58.4536
1,9,59.2259,68.5048,63.8653
1,8,59.2279,51.3425,55.2852
1,7,35.9419,23.9176,29.9297
1,6,30.1661,22.9355,26.5508
1,5,30.6897,35.2099,32.9498
1,4,33.9839,25.1844,29.5842
1,3,52.6783,43.4106,48.0445
1,2,21.8107,23.3589,22.5848
1,1,107.2,112.287,109.744
