Plot,Stalk,Test_01,Test_02,Test_03,Test_04,Test_05,Test_06,Test_07,Test_08,Test_09,Test_10,Test_11
1,s01,116.02452740379515,96.59360572146034,92.36840749225762,119.63781578547162,97.06936739431517,102.58850698982054,85.73458197312215,92.05473888655786,87.27781544406021,,
1,s02,45.662392427865775,37.70375367965183,38.89781252315063,30.14978486928022,37.532681648575824,34.11738558932103,48.192368120940664,33.62386699801635,48.21043919551576,38.21338339943862,
1,s03,51.242299341941695,64.98973570188369,55.52853710827724,58.677533922717835,77.57329083994621,61.18871243930554,68.15842142657891,64.81624691782733,51.81538343204647,52.177324516611804,
1,s04,50.967453740333376,52.41250597492847,39.084473394746844,43.00442535692306,46.17921380286533,45.128390483882725,43.61007772247018,44.052219165824255,45.488200852319856,38.777655718074094,
1,s05,63.06041015638902,69.67576992624171,45.17584964257696,42.23006423498145,41.50554775550183,50.94340661855887,46.53024500343188,48.337932434328565,46.01828863566621,51.64905928521356,
1,s06,36.1943852704353,35.351105258045784,33.94947096440555,37.82535897386728,34.122428815717406,36.975440197734486,31.801078319077863,30.37838657691073,31.050054785944155,31.703931447287314,33.46875304044863
1,s07,26.129700282038737,23.180635252819727,23.175747801438607,23.235089367397737,22.10426125730468,23.875626827703414,23.266851109708583,22.416655321224933,22.8962336745074,22.573223483299486,
1,s08,64.94961832328671,44.5824058219524,63.7837017523799,36.876691675827736,88.85909997454286,41.26260000900645,40.546347092407224,39.465576591020465,40.975409403957116,41.910250572487875,
1,s09,57.59174918825008,58.45204115246489,57.24800086655554,54.93494892989481,57.7645435419343,54.676250204824676,58.07691521156662,57.38610930248894,58.010038893254254,56.892341543802964,
1,s10,76.47427226459554,79.12287591309595,75.88540603257614,68.0904952394399,59.67357736071826,77.17496142606933,84.15080831326625,58.69696330342279,60.525786004965035,62.95849168051976,
2,s01,41.249777440620875,39.656021597257826,37.20211761791602,36.568081098239695,35.57458884775472,34.84304806595842,36.590029966562184,35.46135988740691,37.28510395227408,35.910310249165114,
2,s02,45.848696866119674,49.07759150346434,44.91240482622525,47.14580622891351,47.58637646981423,46.63206041959136,47.973066995489525,45.93450539559487,43.577254930010874,45.61516076911746,
2,s03,28.158510876951848,24.39933729413318,25.23632432057102,22.29880603283034,24.832858300739176,22.1290599228429,22.655591758588102,21.104584546088073,23.610636406643717,24.468256138687746,
2,s04,21.524462900001623,22.880438086747798,23.23659133640351,27.28175397550366,23.096065633618792,35.493258900368026,33.52395307281625,30.856603359942156,31.779678468867854,28.054495933828672,
2,s05,36.99858746866816,41.460383071501546,40.018273589280746,43.78091278371796,42.55205862198657,42.70630813968298,45.83251209083645,41.80904966328157,39.0546853491415,38.42172269443903,
2,s06,64.76139977579679,80.68737205700818,70.31589577714618,80.26576572895546,73.1639390606553,87.24445021763762,76.34761498651964,,,,
2,s07,30.02654087259174,32.58911946060747,31.727010707143993,28.764795177506983,30.18734887042447,30.218560943288875,30.42122205240638,30.87695172772374,29.729328886915372,29.971936450224764,
2,s08,21.668574170240774,23.232209636369294,23.135270966962878,24.442313810933854,23.796786970321218,26.38820176833296,25.44374049878925,23.81558926783005,22.71061386356352,23.800631722988953,
2,s09,41.68287065972814,38.875594990763645,41.03450909268714,43.311559299822484,43.58566061783901,43.202890539936924,40.53192355431458,41.09789552453734,44.01522343174679,44.240609816899315,
2,s10,34.925487979259465,34.89749463335169,34.02972332718554,34.12928083635912,33.61850942480299,36.17882170625302,38.72718051297962,41.816312884626186,34.98954860013754,41.681572876982266,
3,s01,30.685746614816054,32.22672802412166,24.078749480021287,24.150084105869357,25.03905648558305,27.235925657102143,25.664123601620204,24.54815681493642,23.88703424254996,25.721451458480516,
3,s02,26.954519283427928,26.60722105898512,25.01058037113576,25.980280751196318,24.187389747293523,23.250030454005827,24.34248444796999,22.00080311272356,22.29777038949182,22.297209335836666,
3,s03,32.815993115215484,31.22982135384559,30.540541812380905,30.603536309502555,30.49721954478797,29.176162030617878,29.15785214176469,29.88015922750354,29.618950846849728,28.725992425564815,
3,s04,22.327663062016953,25.380406916271813,27.087781189500888,23.997778297391818,26.872226074164406,25.93418755288634,25.513795863618878,24.345791519834748,27.807734855029356,26.742764167248158,
3,s05,43.771957976113185,37.415317283881805,36.76429320398008,33.30313418785673,35.45141180541659,28.68241302211122,27.476081826669162,30.008124912538715,27.045779525575725,36.05678828208023,
3,s06,29.676011253644845,31.258901604218792,39.256790813549614,41.60158956991524,32.73254031775857,33.97479269159188,36.35934322320595,39.539840279998984,30.989313129789267,30.708665960346867,
3,s07,29.64012677335415,34.92306139684562,28.927365458428493,50.803989537876724,29.05694771863018,36.11200406375725,47.42820336081538,31.105244553453986,63.55449937559046,36.079244892866775,
3,s08,42.01223614552525,43.4772070268039,44.1945596769813,45.241524500606715,43.967217164883856,46.92925779041826,42.18053249854936,46.755265334533355,43.48211066959979,45.60706781552892,
3,s09,31.077651065115138,32.847633424558744,36.85767419782431,35.09729053130441,40.49412374712538,34.96756937645059,36.02941319943802,36.15544625120585,37.18067095080551,34.90117629956726,
3,s10,47.41601726169483,58.41577219011047,56.15853440345453,54.66553931627795,51.50601276872907,54.791838646516084,54.82441560043714,56.99036956802926,54.76026578112543,53.76645996737087,
