Note: Chesterfield Repeatability
Estimation Method: quasi-static EI AB/CB
Test Type: Chesterfield Repeatability ; DARLING
height_m=0.902,rel_deflection_m=0.06,EI = (F_B - F_low) * height^3 / (3 * rel_deflection)
===BEGIN_STIFFNESSES===
Plot,Stalk,Estimate AB (N*m^2),Estimate CB (N*m^2),Estimate AB-CB (N*m^2)
3,10,56.6711,50.6755,53.6733
3,9,53.1794,58.1626,55.671
3,8,30.0946,34.7078,32.4012
3,7,34.8254,42.5611,38.6932
3,6,26.1053,33.1692,29.6372
3,5,31.4825,10.8145,21.1485
3,4,40.1255,19.9958,30.0607
3,3,38.5135,27.7613,33.1374
3,2,28.6757,17.0655,22.8706
3,1,38.3338,34.3753,36.3546
2,10,44.6908,48.8457,46.7682
2,9,33.5742,27.1154,30.3448
2,8,25.139,21.4745,23.3068
2,7,30.8406,30.6014,30.721
2,6,40.895,42.008,41.4515
2,5,43.6659,31.2819,37.4739
2,4,13.0761,18.8429,15.9595
2,3,30.5867,20.6607,25.6237
2,2,53.1938,48.7311,50.9624
2,1,32.7915,49.654,41.2228
1,10,56.0107,67.3812,61.6959
1,9,51.814,64.3808,58.0974
1,8,52.1323,52.0535,52.0929
1,7,32.9703,25.9669,29.4686
1,6,34.8605,28.5025,31.6815
1,5,32.9806,41.7257,37.3532
1,4,37.1347,38.7569,37.9458
1,3,59.9337,58.0711,59.0024
1,2,22.985,25.7933,24.3891
1,1,88.8594,104.609,96.7341
