===BEGIN_METADATA===
Test Name: 2026-07-24_103800_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8400
Note: Field Shakedown,video
Test Type: Field - Short Stalks,Manual Steer,50ft/s
Stalks: X-tra Early,Probe: v4.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.085289,+0440275,+0672823,0.085145,+0010441,+0421428,0.085210,+0137022,+0452653,10:38:02.910952
0.087150,+0439914,+0672972,0.087013,+0010460,+0421359,0.087080,+0137149,+0452934,10:38:02.910952
0.089008,+0440191,+0672825,0.088877,+0010752,+0421299,0.088941,+0136996,+0452837,10:38:02.910952
0.090871,+0440159,+0672744,0.090743,+0010592,+0421480,0.090807,+0137248,+0452770,10:38:02.911950
0.092740,+0440119,+0672875,0.092605,+0010355,+0421619,0.092672,+0136942,+0452500,10:38:02.911950
0.094599,+0440115,+0672692,0.094467,+0010391,+0421462,0.094531,+0136950,+0452581,10:38:02.911950
0.096468,+0439963,+0672876,0.096337,+0010718,+0421240,0.096404,+0136988,+0452426,10:38:02.911950
0.098337,+0440337,+0672929,0.098199,+0010636,+0421633,0.098272,+0137169,+0452973,10:38:02.958554
0.100205,+0440167,+0673053,0.100075,+0010782,+0421371,0.100140,+0136849,+0452896,10:38:02.958554
0.102083,+0440034,+0673215,0.101939,+0010643,+0421181,0.102014,+0136841,+0452704,10:38:02.958554
0.103965,+0440230,+0672891,0.103836,+0010597,+0421136,0.103901,+0136862,+0452803,10:38:02.958554
0.105828,+0440035,+0672793,0.105699,+0010489,+0421319,0.105764,+0136898,+0452684,10:38:02.958554
0.107692,+0440030,+0673120,0.107561,+0010499,+0421560,0.107627,+0136810,+0452510,10:38:02.958554
0.109552,+0440405,+0672925,0.109424,+0010827,+0421360,0.109488,+0137038,+0452673,10:38:02.959692
0.111417,+0440197,+0672702,0.111288,+0010614,+0421394,0.111352,+0137051,+0452769,10:38:02.959692
0.113278,+0440153,+0672985,0.113150,+0010484,+0421273,0.113214,+0136937,+0452740,10:38:02.959692
0.115142,+0440022,+0672543,0.115012,+0010735,+0421365,0.115077,+0137273,+0452860,10:38:02.959692
0.117008,+0439959,+0672970,0.116878,+0010786,+0421350,0.116942,+0137063,+0453033,10:38:02.959692
0.118870,+0440111,+0672705,0.118740,+0010443,+0421503,0.118806,+0136802,+0453103,10:38:02.959692
0.120732,+0440005,+0672840,0.120602,+0010747,+0421428,0.120666,+0137077,+0452891,10:38:02.959692
0.122594,+0439948,+0673027,0.122464,+0010677,+0421756,0.122530,+0137097,+0452738,10:38:02.959692
0.124455,+0440209,+0672895,0.124326,+0010648,+0421521,0.124391,+0136956,+0452820,10:38:02.959692
0.126317,+0440013,+0673169,0.126188,+0010765,+0421398,0.126252,+0137013,+0452528,10:38:02.959692
0.128179,+0440319,+0673018,0.128050,+0010433,+0421596,0.128115,+0136953,+0452548,10:38:02.959692
0.130041,+0440257,+0672847,0.129912,+0010625,+0421627,0.129977,+0136929,+0452662,10:38:02.959692
0.131903,+0439839,+0672967,0.131774,+0010496,+0421667,0.131839,+0136999,+0452858,10:38:02.959692
0.133769,+0440023,+0672823,0.133640,+0010715,+0421308,0.133705,+0136849,+0452822,10:38:02.960665
0.135631,+0440107,+0672734,0.135503,+0010840,+0421524,0.135567,+0137010,+0452713,10:38:02.960665
0.137493,+0440291,+0672683,0.137365,+0010352,+0421587,0.137429,+0136976,+0452679,10:38:02.960665
0.139360,+0440200,+0672896,0.139227,+0010654,+0421266,0.139291,+0136915,+0452853,10:38:02.960665
0.141219,+0440134,+0672925,0.141089,+0010575,+0421599,0.141153,+0136819,+0452592,10:38:02.960665
0.143088,+0440454,+0672763,0.142957,+0010673,+0421623,0.143024,+0136919,+0452752,10:38:02.960665
0.144952,+0439901,+0672762,0.144819,+0010634,+0421521,0.144884,+0137000,+0452887,10:38:02.960665
0.146815,+0440239,+0672843,0.146687,+0010477,+0421581,0.146751,+0136960,+0452773,10:38:02.960665
0.148692,+0440011,+0672754,0.148558,+0010497,+0421308,0.148626,+0136887,+0452779,10:38:03.009196
0.150557,+0440146,+0672855,0.150427,+0010679,+0421574,0.150492,+0136946,+0452574,10:38:03.009196
0.152451,+0440214,+0672997,0.152293,+0010785,+0421598,0.152381,+0136854,+0452846,10:38:03.009196
0.154362,+0440183,+0672497,0.154231,+0010702,+0421455,0.154297,+0136954,+0453007,10:38:03.009196
0.156222,+0440011,+0672932,0.156093,+0010601,+0421471,0.156158,+0137006,+0452770,10:38:03.009196
0.158084,+0440138,+0672739,0.157955,+0010577,+0421705,0.158020,+0137087,+0452580,10:38:03.009196
0.159950,+0440044,+0672608,0.159817,+0010623,+0421341,0.159884,+0136872,+0452980,10:38:03.009196
0.161809,+0440097,+0672799,0.161681,+0010322,+0421377,0.161745,+0137176,+0452682,10:38:03.009196
0.163673,+0440227,+0672849,0.163544,+0010487,+0421426,0.163608,+0137112,+0452503,10:38:03.009196
0.165534,+0440299,+0672885,0.165406,+0010612,+0421533,0.165470,+0136883,+0452794,10:38:03.009196
0.167403,+0440400,+0672970,0.167274,+0010424,+0421624,0.167338,+0136906,+0452922,10:38:03.011194
0.169264,+0440061,+0672899,0.169136,+0010618,+0421533,0.169200,+0137156,+0452677,10:38:03.011194
0.171126,+0439934,+0673197,0.170998,+0010577,+0421449,0.171062,+0136987,+0452840,10:38:03.011194
0.172994,+0439950,+0672802,0.172862,+0010708,+0421549,0.172926,+0136990,+0452771,10:38:03.011194
0.174855,+0440222,+0672682,0.174724,+0010477,+0421380,0.174788,+0136933,+0452800,10:38:03.011194
0.176721,+0440364,+0672891,0.176590,+0010543,+0421436,0.176656,+0137041,+0452612,10:38:03.011194
0.178586,+0440024,+0672592,0.178452,+0010471,+0421278,0.178518,+0136661,+0452632,10:38:03.011194
0.180448,+0440060,+0672551,0.180320,+0010644,+0421335,0.180384,+0136882,+0452724,10:38:03.011194
0.182317,+0440174,+0672885,0.182182,+0010654,+0421872,0.182249,+0136951,+0452747,10:38:03.011194
0.184176,+0440445,+0672929,0.184044,+0010498,+0421629,0.184109,+0137239,+0452614,10:38:03.011194
0.186045,+0440305,+0672702,0.185915,+0010623,+0421141,0.185981,+0136957,+0452930,10:38:03.011194
0.187911,+0440099,+0673024,0.187779,+0010424,+0421583,0.187843,+0136861,+0452674,10:38:03.011194
0.189772,+0440018,+0672872,0.189644,+0010488,+0421495,0.189708,+0136943,+0452781,10:38:03.011194
0.191641,+0440408,+0672949,0.191507,+0010636,+0421282,0.191574,+0137170,+0452791,10:38:03.011194
0.193502,+0440053,+0672956,0.193369,+0010525,+0421390,0.193436,+0136922,+0452680,10:38:03.011194
0.195369,+0440156,+0672888,0.195237,+0010607,+0421365,0.195304,+0137289,+0452742,10:38:03.011194
0.197232,+0440066,+0673114,0.197099,+0010668,+0421295,0.197165,+0137083,+0452776,10:38:03.011194
0.199104,+0440171,+0672884,0.198971,+0010491,+0421457,0.199040,+0136939,+0452874,10:38:03.060204
0.200981,+0440267,+0672612,0.200849,+0010599,+0421436,0.200915,+0137042,+0452600,10:38:03.060204
0.202893,+0440156,+0672784,0.202715,+0010783,+0421435,0.202825,+0137117,+0452820,10:38:03.060204
0.204766,+0440143,+0672967,0.204638,+0010381,+0421337,0.204702,+0137024,+0452655,10:38:03.060204
0.206628,+0439940,+0672937,0.206499,+0010568,+0421465,0.206564,+0136879,+0453068,10:38:03.060204
0.208490,+0440137,+0672758,0.208361,+0010382,+0421530,0.208426,+0137174,+0452718,10:38:03.060204
0.210354,+0440171,+0672656,0.210224,+0010679,+0421392,0.210290,+0136865,+0452533,10:38:03.060204
0.212217,+0440302,+0672841,0.212086,+0010639,+0421348,0.212150,+0136998,+0452675,10:38:03.060204
0.214080,+0440159,+0672750,0.213948,+0010693,+0421314,0.214016,+0137147,+0452867,10:38:03.060204
0.215945,+0440092,+0672989,0.215814,+0010349,+0421440,0.215880,+0136823,+0452958,10:38:03.060204
0.217809,+0440233,+0672498,0.217680,+0010904,+0421398,0.217744,+0136776,+0452819,10:38:03.060204
0.219678,+0440039,+0672573,0.219546,+0010551,+0421482,0.219613,+0137064,+0453005,10:38:03.060204
0.221544,+0440062,+0672828,0.221408,+0010538,+0421548,0.221475,+0137022,+0452419,10:38:03.060204
0.223407,+0440159,+0672737,0.223277,+0010434,+0421473,0.223342,+0137121,+0452463,10:38:03.060204
0.225274,+0440148,+0672890,0.225140,+0010621,+0421295,0.225207,+0136975,+0452777,10:38:03.060204
0.227133,+0440244,+0672692,0.227002,+0010600,+0421561,0.227067,+0137020,+0453049,10:38:03.060204
0.229002,+0440219,+0672960,0.228870,+0010747,+0421507,0.228937,+0136910,+0453033,10:38:03.061310
0.230866,+0439930,+0672942,0.230733,+0010943,+0421460,0.230798,+0137051,+0452810,10:38:03.061310
0.232729,+0440320,+0673121,0.232601,+0010428,+0421712,0.232665,+0136909,+0452904,10:38:03.061310
0.234598,+0439997,+0672979,0.234463,+0010999,+0421142,0.234530,+0136955,+0452558,10:38:03.061310
0.236463,+0440043,+0672668,0.236325,+0010657,+0421463,0.236392,+0136864,+0452759,10:38:03.061310
0.238326,+0440133,+0672823,0.238195,+0010691,+0421595,0.238262,+0136960,+0452814,10:38:03.061310
0.240189,+0440011,+0672760,0.240057,+0010605,+0421506,0.240123,+0137233,+0452608,10:38:03.061310
0.242054,+0440269,+0672976,0.241925,+0010591,+0421366,0.241989,+0136937,+0452762,10:38:03.061310
0.243922,+0439897,+0672894,0.243787,+0010960,+0421506,0.243855,+0136812,+0452881,10:38:03.061310
0.245782,+0440414,+0673077,0.245649,+0010707,+0421484,0.245713,+0136811,+0452769,10:38:03.061310
0.247662,+0439847,+0672887,0.247525,+0010734,+0421526,0.247594,+0136674,+0452733,10:38:03.113368
0.249535,+0439818,+0672792,0.249395,+0010605,+0421431,0.249460,+0136687,+0452732,10:38:03.113368
0.251398,+0440156,+0672786,0.251261,+0010606,+0421332,0.251326,+0136853,+0452654,10:38:03.113368
