Load (N),Position (mm),Strain_A1_avg,Strain_A2_avg
10.0,60.0,-919107.615819209,-349642.54331450094
10.0,100.0,-771068.0013605442,-205777.42448979593
50.0,60.0,-229379.1836158192,-251144.49623352167
50.0,100.0,500963.6711229947,465640.66131907306
