===BEGIN_METADATA===
Test Name: 2026-04-08_204941_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785
Number of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010736,+0018702,+0622656,0.010946,-8388608,-8388608,0.008140,+0299580,-0142359,0.008996,-0399072,+0614813,0.009055,+0853484,+0377716,20:49:45.996434
0.014009,+0019040,+0622652,0.014211,-8388608,-8388608,0.011378,+0299748,-0142307,0.011803,-0398868,+0614947,0.011865,+0853405,+0378096,20:49:46.030162
0.017254,+0018874,+0622745,0.017547,-8388608,-8388608,0.014742,+0299590,-0142319,0.017430,-0399389,+0614987,0.017489,+0853354,+0378220,20:49:46.030162
0.020570,+0018802,+0622741,0.020786,-8388608,-8388608,0.017977,+0299454,-0142218,0.020235,-0399408,+0614853,0.020293,+0853218,+0378115,20:49:46.030162
0.023835,+0018907,+0622832,0.024024,-8388608,-8388608,0.021218,+0299436,-0142045,0.023063,-0399387,+0614695,0.023123,+0853063,+0378069,20:49:46.030162
0.027087,+0018948,+0622714,0.027261,-8388608,-8388608,0.024588,+0299724,-0142070,0.025874,-0398874,+0614912,0.025934,+0853147,+0378143,20:49:46.030162
0.030332,+0018857,+0622710,0.030505,-8388608,-8388608,0.027823,+0299214,-0142279,0.028768,-0399281,+0614979,0.028827,+0853092,+0378117,20:49:46.030162
0.033578,+0019004,+0622653,0.033744,-8388608,-8388608,0.031062,+0299572,-0142029,0.031575,-0398998,+0614775,0.031640,+0853309,+0378074,20:49:46.030162
0.036831,+0018824,+0622545,0.036982,-8388608,-8388608,0.034305,+0299506,-0142142,0.034387,-0399186,+0614912,0.034448,+0853444,+0378080,20:49:46.030162
