===BEGIN_METADATA===
Test Name: 2026-04-08_204238_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
"Speed: 25 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785
Number of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010716,+0019571,+0622793,0.010924,-8388608,-8388608,0.008119,+0304589,-0139091,0.008974,-0398910,+0614397,0.009034,+0855150,+0379629,20:42:45.293386
0.013988,+0019282,+0622785,0.014187,-8388608,-8388608,0.011357,+0304473,-0139088,0.011782,-0399161,+0614373,0.011845,+0855252,+0379713,20:42:45.360198
0.017241,+0019379,+0622818,0.017536,-8388608,-8388608,0.014726,+0303174,-0139025,0.017417,-0399009,+0614283,0.017477,+0855072,+0379750,20:42:45.360198
0.020562,+0019294,+0622697,0.020776,-8388608,-8388608,0.017961,+0303815,-0139120,0.020226,-0398959,+0614177,0.020286,+0854908,+0379775,20:42:45.360198
0.023832,+0019266,+0622583,0.024013,-8388608,-8388608,0.021201,+0303246,-0139119,0.023058,-0398878,+0614460,0.023118,+0855110,+0379730,20:42:45.360198
0.027083,+0019183,+0623073,0.027253,-8388608,-8388608,0.024448,+0303278,-0138980,0.025977,-0399007,+0614184,0.025909,+0854927,+0379736,20:42:45.360198
0.030389,+0019453,+0622941,0.030504,-8388608,-8388608,0.027695,+0303168,-0139036,0.028826,-0398926,+0614334,0.028706,+0854932,+0379894,20:42:45.360198
0.033638,+0019331,+0622750,0.033746,-8388608,-8388608,0.030936,+0304162,-0139079,0.031631,-0398898,+0614394,0.031509,+0855282,+0379523,20:42:45.360198
0.036882,+0019212,+0622969,0.036985,-8388608,-8388608,0.034182,+0302988,-0139074,0.034443,-0399167,+0614434,0.034361,+0855150,+0379728,20:42:45.360198
0.040145,+0019122,+0622941,0.040244,-8388608,-8388608,0.037431,+0302906,-0138980,0.040086,-0398912,+0614467,0.039959,+0854858,+0379538,20:42:45.360198
0.043391,+0019339,+0622689,0.043482,-8388608,-8388608,0.040670,+0303094,-0138990,0.042910,-0399121,+0614505,0.042763,+0855153,+0379645,20:42:45.360198
0.046637,+0019262,+0622816,0.046721,-8388608,-8388608,0.043919,+0303615,-0139124,0.045717,-0398961,+0614140,0.045601,+0854842,+0379592,20:42:45.360198
0.049888,+0019468,+0622896,0.050017,-8388608,-8388608,0.047179,+0304480,-0139053,0.048524,-0399056,+0614307,0.048397,+0855077,+0379556,20:42:45.360198
0.053147,+0019369,+0622851,0.053264,-8388608,-8388608,0.050414,+0304259,-0138985,0.051361,-0398863,+0614125,0.051190,+0855364,+0379636,20:42:45.360198
0.056391,+0019447,+0623016,0.056501,-8388608,-8388608,0.053655,+0304592,-0139258,0.054171,-0398950,+0614425,0.054010,+0855242,+0379352,20:42:45.360198
0.059651,+0019345,+0622838,0.059739,-8388608,-8388608,0.056892,+0304474,-0139346,0.059798,-0398911,+0614269,0.059591,+0855071,+0379549,20:42:45.360198
0.062898,+0019333,+0622812,0.062978,-8388608,-8388608,0.060126,+0304546,-0139175,0.062607,-0398854,+0614457,0.062384,+0855160,+0379315,20:42:45.360198
0.066145,+0019558,+0622874,0.066215,-8388608,-8388608,0.063365,+0304557,-0139239,0.065416,-0399053,+0614224,0.065172,+0855380,+0379326,20:42:45.360198
0.069409,+0019323,+0622835,0.069471,-8388608,-8388608,0.066623,+0304398,-0139058,0.068221,-0398826,+0614421,0.067958,+0855219,+0379488,20:42:45.360198
0.072710,+0019370,+0622887,0.072770,-8388608,-8388608,0.069896,+0304616,-0139216,0.071028,-0398875,+0614238,0.070744,+0855262,+0379478,20:42:45.360198
0.075956,+0019472,+0622735,0.076015,-8388608,-8388608,0.073133,+0304540,-0139071,0.073839,-0398688,+0614394,0.073534,+0855393,+0379441,20:42:45.360198
0.079201,+0019352,+0622703,0.079259,-8388608,-8388608,0.076380,+0304451,-0139335,0.076648,-0398965,+0614307,0.079109,+0855249,+0379467,20:42:45.360198
0.082449,+0019463,+0622852,0.082557,-8388608,-8388608,0.079617,+0304484,-0139227,0.082283,-0399272,+0614239,0.081896,+0855226,+0379300,20:42:45.393696
0.085694,+0019454,+0622892,0.085796,-8388608,-8388608,0.082856,+0304569,-0139318,0.085089,-0399094,+0614424,0.084693,+0855190,+0379568,20:42:45.393696
0.088941,+0019446,+0622838,0.089035,-8388608,-8388608,0.086144,+0304389,-0139251,0.087895,-0398926,+0614402,0.087479,+0855283,+0379516,20:42:45.393696
0.092205,+0019389,+0623018,0.092275,-8388608,-8388608,0.092618,+0304546,-0139153,0.093550,-0398914,+0614202,0.093076,+0855129,+0379684,20:42:45.393696
0.095458,+0019237,+0622991,0.095521,-8388608,-8388608,0.095870,+0303701,-0139082,0.096360,-0398955,+0614155,0.095930,+0855064,+0379702,20:42:45.393696
0.098706,+0019404,+0622763,0.098835,-8388608,-8388608,0.099110,+0304695,-0139048,0.099201,-0398874,+0614360,0.098769,+0855200,+0379448,20:42:45.393696
0.101954,+0019436,+0622814,0.102081,-8388608,-8388608,0.102377,+0304579,-0139209,0.102015,-0398915,+0614056,0.101568,+0855352,+0379400,20:42:45.393696
0.105203,+0019525,+0622851,0.105319,-8388608,-8388608,0.105615,+0304403,-0138961,0.104822,-0398864,+0614370,0.104373,+0855024,+0379459,20:42:45.393696
