===BEGIN_METADATA===
Test Name: 2026-04-08_205101_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785
Number of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010971,+0018717,+0622692,0.011184,-8388608,-8388608,0.008371,+0299552,-0142747,0.009010,-0398818,+0614821,0.009068,+0852686,+0378134,20:51:05.565425
0.014270,+0018872,+0622523,0.014440,-8388608,-8388608,0.011609,+0299326,-0142575,0.011817,-0398841,+0614863,0.011875,+0852818,+0378100,20:51:05.598838
0.017563,+0018908,+0622554,0.017774,-8388608,-8388608,0.014966,+0299104,-0142507,0.017443,-0399213,+0615063,0.017505,+0852465,+0378077,20:51:05.598838
0.020807,+0018791,+0622618,0.021013,-8388608,-8388608,0.021442,+0299080,-0142494,0.020251,-0398850,+0615061,0.020309,+0852783,+0378124,20:51:05.598838
0.024074,+0018691,+0622584,0.024253,-8388608,-8388608,0.024685,+0298896,-0142551,0.023126,-0398910,+0615034,0.023184,+0852673,+0377977,20:51:05.598838
0.027322,+0018658,+0622329,0.027497,-8388608,-8388608,0.027921,+0299353,-0142555,0.025931,-0399056,+0614969,0.025990,+0852452,+0378272,20:51:05.598838
0.030566,+0018750,+0622620,0.030737,-8388608,-8388608,0.031159,+0299595,-0142448,0.031593,-0398863,+0614867,0.031660,+0852743,+0377989,20:51:05.598838
0.033813,+0018750,+0622489,0.033973,-8388608,-8388608,0.034403,+0299381,-0142404,0.034520,-0399172,+0614928,0.034461,+0852903,+0377953,20:51:05.598838
0.037067,+0018894,+0622763,0.037210,-8388608,-8388608,0.037638,+0299275,-0142507,0.037328,-0398981,+0614960,0.037268,+0852701,+0377998,20:51:05.598838
