===BEGIN_METADATA===
Test Name: 2026-04-08_204347_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
"Speed: 25 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785
Number of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010931,+0019394,+0623090,0.011140,-8388608,-8388608,0.008330,+0304142,-0139068,0.008971,-0398961,+0614325,0.009029,+0855352,+0379918,20:43:51.143294
0.014242,+0019290,+0622822,0.014390,-8388608,-8388608,0.011567,+0304067,-0139088,0.011777,-0398963,+0614234,0.011835,+0855211,+0379586,20:43:51.176326
0.017596,+0019218,+0622816,0.017655,-8388608,-8388608,0.014955,+0302462,-0139147,0.017470,-0399022,+0614385,0.017530,+0854937,+0379714,20:43:51.176326
0.020841,+0019194,+0622953,0.020907,-8388608,-8388608,0.018190,+0302707,-0138772,0.020279,-0398968,+0614453,0.020344,+0854733,+0379475,20:43:51.176326
0.024101,+0019277,+0623098,0.024163,-8388608,-8388608,0.021429,+0303001,-0138760,0.023131,-0399038,+0614377,0.023190,+0854978,+0379739,20:43:51.176326
0.027463,+0019338,+0622968,0.027526,-8388608,-8388608,0.024692,+0302545,-0138959,0.025942,-0399056,+0614566,0.026000,+0854789,+0379718,20:43:51.176326
0.030722,+0019284,+0622807,0.030780,-8388608,-8388608,0.027928,+0303107,-0138882,0.028749,-0399046,+0614360,0.028815,+0855070,+0379631,20:43:51.176326
0.033972,+0019229,+0622860,0.034032,-8388608,-8388608,0.031168,+0303086,-0138929,0.031571,-0399039,+0614270,0.031667,+0855237,+0379675,20:43:51.176326
0.037219,+0019256,+0622596,0.037398,-8388608,-8388608,0.034537,+0303329,-0138808,0.037338,-0399004,+0614349,0.037279,+0855023,+0379555,20:43:51.176326
0.040465,+0019213,+0622887,0.040634,-8388608,-8388608,0.037774,+0302659,-0138753,0.040146,-0398946,+0614419,0.040066,+0854715,+0379746,20:43:51.176326
0.043724,+0019248,+0622823,0.043871,-8388608,-8388608,0.041015,+0302726,-0138686,0.042970,-0399018,+0614394,0.042872,+0854834,+0379787,20:43:51.176326
0.046981,+0019264,+0622758,0.047117,-8388608,-8388608,0.044328,+0303162,-0138801,0.045791,-0398919,+0614177,0.045664,+0855343,+0379689,20:43:51.176326
0.050279,+0019216,+0622883,0.050354,-8388608,-8388608,0.047576,+0304272,-0139070,0.048599,-0398644,+0614403,0.048451,+0855288,+0379580,20:43:51.176326
0.053529,+0019400,+0622658,0.053590,-8388608,-8388608,0.050815,+0304264,-0139029,0.051406,-0398837,+0614179,0.051246,+0855340,+0379374,20:43:51.176326
0.056776,+0019375,+0622913,0.056892,-8388608,-8388608,0.054105,+0303913,-0139128,0.054216,-0399000,+0614391,0.056834,+0855113,+0379606,20:43:51.176326
0.060021,+0019341,+0622813,0.060134,-8388608,-8388608,0.057342,+0304182,-0139227,0.059860,-0398838,+0614441,0.059621,+0854976,+0379335,20:43:51.176326
0.063271,+0019331,+0622748,0.063371,-8388608,-8388608,0.060577,+0303963,-0139156,0.062666,-0398739,+0614246,0.062412,+0855315,+0379619,20:43:51.176326
0.066515,+0019256,+0622891,0.066651,-8388608,-8388608,0.063865,+0304048,-0139099,0.065472,-0398829,+0614397,0.065200,+0855070,+0379548,20:43:51.176326
0.069790,+0019455,+0622732,0.069888,-8388608,-8388608,0.067148,+0304312,-0139184,0.068328,-0398824,+0614302,0.067986,+0855119,+0379645,20:43:51.176326
0.073042,+0019235,+0622739,0.073124,-8388608,-8388608,0.070383,+0304215,-0139057,0.071136,-0398958,+0614399,0.070772,+0855375,+0379412,20:43:51.176326
0.076287,+0019384,+0622847,0.076404,-8388608,-8388608,0.073620,+0304227,-0138969,0.073942,-0398767,+0614417,0.076345,+0855305,+0379453,20:43:51.176326
0.079532,+0019376,+0622930,0.079651,-8388608,-8388608,0.076857,+0304203,-0139258,0.079592,-0398658,+0614399,0.079132,+0855315,+0379618,20:43:51.176326
0.082778,+0019255,+0622917,0.082890,-8388608,-8388608,0.080093,+0304275,-0139185,0.082397,-0398827,+0614259,0.081919,+0855122,+0379488,20:43:51.243286
0.086025,+0019431,+0622954,0.086160,-8388608,-8388608,0.083372,+0304021,-0139010,0.085203,-0398810,+0614508,0.084707,+0855083,+0379428,20:43:51.243286
0.089271,+0019256,+0622883,0.089397,-8388608,-8388608,0.086665,+0304102,-0139069,0.088009,-0398801,+0614455,0.087495,+0855329,+0379546,20:43:51.243286
0.092542,+0019444,+0622748,0.092634,-8388608,-8388608,0.093169,+0304060,-0139151,0.093696,-0398864,+0614226,0.093098,+0855418,+0379471,20:43:51.243286
0.095794,+0019289,+0622750,0.095877,-8388608,-8388608,0.096403,+0303546,-0139070,0.093696,-0399151,+0614226,0.095936,+0855262,+0379654,20:43:51.243286
0.099038,+0019207,+0622904,0.099117,-8388608,-8388608,0.099638,+0304232,-0139110,0.099320,-0398914,+0614358,0.098723,+0855067,+0379457,20:43:51.243286
0.102284,+0019251,+0622885,0.102400,-8388608,-8388608,0.102882,+0303999,-0138951,0.102125,-0398745,+0614383,0.101514,+0855007,+0379689,20:43:51.243286
0.105528,+0019337,+0622779,0.105636,-8388608,-8388608,0.106131,+0303850,-0139231,0.104944,-0398795,+0614482,0.104346,+0855300,+0379503,20:43:51.243286
0.108828,+0019340,+0622974,0.108887,-8388608,-8388608,0.109366,+0304040,-0139272,0.107808,-0398950,+0614511,0.107142,+0855334,+0379555,20:43:51.243286
