===BEGIN_METADATA===
Test Name: 2026-04-08_204634_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785
Number of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010946,+0018986,+0623032,0.011156,-8388608,-8388608,0.011586,+0293765,-0144937,0.011793,-0398913,+0614699,0.011852,+0854644,+0379268,20:46:38.764696
0.014218,+0019057,+0622727,0.014395,-8388608,-8388608,0.014984,+0293600,-0144907,0.014640,-0398859,+0614678,0.014698,+0854802,+0379233,20:46:38.831480
0.017600,+0018936,+0622821,0.017659,-8388608,-8388608,0.018219,+0292718,-0144753,0.017479,-0398894,+0614672,0.017539,+0854651,+0379288,20:46:38.831480
0.020849,+0018773,+0622816,0.020912,-8388608,-8388608,0.021454,+0292440,-0144707,0.020291,-0399174,+0614553,0.020350,+0854500,+0379424,20:46:38.831480
0.024123,+0019087,+0622796,0.024192,-8388608,-8388608,0.024714,+0292501,-0144879,0.023215,-0399132,+0614844,0.023155,+0854473,+0379499,20:46:38.831480
0.027397,+0019029,+0622739,0.027515,-8388608,-8388608,0.027949,+0292396,-0144914,0.026022,-0399257,+0614811,0.025945,+0854508,+0379387,20:46:38.831480
0.030640,+0018948,+0622639,0.030751,-8388608,-8388608,0.031185,+0292676,-0144821,0.028861,-0399064,+0614690,0.028731,+0854480,+0379552,20:46:38.831480
0.033891,+0018957,+0622746,0.033992,-8388608,-8388608,0.034441,+0293685,-0145094,0.034508,-0399095,+0614763,0.034313,+0854596,+0379190,20:46:38.831480
0.037179,+0019042,+0622929,0.037238,-8388608,-8388608,0.037677,+0293763,-0144895,0.037316,-0398986,+0614702,0.037120,+0854718,+0379306,20:46:38.831480
