===BEGIN_METADATA===
Test Name: 2026-04-08_203807_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
"Speed: 25 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785
Number of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.007465,+0019597,+0622676,0.007793,-8388608,-8388608,0.008011,+0302693,-0140031,0.009045,-0398938,+0614004,0.009103,+0855459,+0380015,20:38:12.457957
0.010784,+0019597,+0622783,0.011036,-8388608,-8388608,0.011246,+0302693,-0139942,0.011869,-0398916,+0614220,0.011962,+0855366,+0380104,20:38:12.491458
0.014039,+0019587,+0622895,0.014287,-8388608,-8388608,0.014491,+0302019,-0139702,0.014710,-0399082,+0614118,0.014768,+0855006,+0380185,20:38:12.491458
0.017287,+0019392,+0622984,0.017525,-8388608,-8388608,0.017726,+0301654,-0139808,0.017642,-0399164,+0613992,0.017583,+0855023,+0380193,20:38:12.491458
0.020534,+0019555,+0623023,0.020765,-8388608,-8388608,0.020965,+0302512,-0140080,0.020449,-0398761,+0613962,0.020374,+0854978,+0380100,20:38:12.491458
0.023800,+0019549,+0622918,0.024027,-8388608,-8388608,0.024205,+0302116,-0139990,0.023254,-0398761,+0614127,0.023172,+0854978,+0380090,20:38:12.491458
0.027047,+0019432,+0623153,0.027267,-8388608,-8388608,0.027440,+0301916,-0140000,0.026061,-0398969,+0614026,0.025958,+0855096,+0379951,20:38:12.491458
0.030296,+0019393,+0622955,0.030508,-8388608,-8388608,0.030678,+0301437,-0140017,0.028949,-0398896,+0613976,0.031538,+0855327,+0380004,20:38:12.491458
0.033541,+0019353,+0622853,0.033746,-8388608,-8388608,0.033922,+0301828,-0140084,0.031757,-0398810,+0614251,0.034335,+0855231,+0379969,20:38:12.491458
0.036788,+0019603,+0622968,0.036985,-8388608,-8388608,0.037181,+0301960,-0139932,0.034573,-0398996,+0614076,0.037123,+0855063,+0379998,20:38:12.491458
0.040036,+0019398,+0623042,0.040246,-8388608,-8388608,0.040460,+0302217,-0139920,0.040186,-0398910,+0614032,0.039909,+0855445,+0380213,20:38:12.491458
0.043287,+0019398,+0623049,0.043500,-8388608,-8388608,0.043710,+0302040,-0140144,0.043008,-0398910,+0614067,0.042709,+0855445,+0379811,20:38:12.491458
0.046532,+0019630,+0622841,0.046737,-8388608,-8388608,0.046951,+0302577,-0140258,0.045815,-0398861,+0614045,0.045498,+0855199,+0379988,20:38:12.491458
0.049778,+0019515,+0623054,0.049973,-8388608,-8388608,0.050185,+0302570,-0139956,0.051461,-0398695,+0614128,0.051077,+0855341,+0379989,20:38:12.491458
0.053025,+0019515,+0622982,0.053212,-8388608,-8388608,0.053424,+0302570,-0140100,0.054269,-0399033,+0614142,0.053884,+0855188,+0379774,20:38:12.491458
0.056271,+0019489,+0622990,0.056449,-8388608,-8388608,0.056659,+0302470,-0140062,0.057074,-0399007,+0614291,0.056717,+0855306,+0380095,20:38:12.491458
0.059516,+0019687,+0622998,0.059685,-8388608,-8388608,0.059938,+0302664,-0140090,0.059879,-0398959,+0613936,0.059576,+0855432,+0379897,20:38:12.491458
0.062762,+0019709,+0623138,0.062960,-8388608,-8388608,0.063180,+0302629,-0140087,0.062686,-0398774,+0614055,0.062372,+0855385,+0380113,20:38:12.491458
