===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
0,16.818,17.858,,,,
1,18.602,19.562,,,,
2,19.697,20.562,,,,
3,21.097,21.980,21.368,22.241,,
4,22.293,23.143,22.681,23.637,25.275,26.248
5,23.883,24.718,24.133,24.912,26.541,27.519
6,25.139,26.004,25.482,26.319,27.687,28.652
7,26.063,26.898,,,29.079,30.072
8,27.899,28.773,27.910,28.738,,
9,29.148,30.029,29.252,30.124,,
10,30.424,31.322,30.176,31.014,33.821,34.785
11,31.554,32.424,32.014,32.834,,
12,32.871,33.768,33.345,34.113,35.732,36.725
13,34.168,35.055,34.579,35.578,37.055,38.039
14,35.516,36.412,35.749,36.785,38.339,39.293
15,36.717,37.573,37.199,38.032,39.300,40.340
