===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
0,4.904,5.621,,,,
1,5.730,6.494,,,9.063,9.849
2,6.277,7.030,,,9.063,9.849
3,6.955,7.694,7.156,8.022,9.673,10.504
4,7.526,8.280,7.156,8.022,10.276,11.044
5,8.283,9.032,7.794,8.636,10.969,11.768
6,8.946,9.702,8.445,9.282,11.542,12.335
7,9.433,10.183,9.155,9.961,12.204,12.987
8,10.407,11.199,10.369,11.374,13.315,14.114
9,10.995,11.727,11.077,11.745,14.287,15.090
10,11.627,12.384,11.510,12.462,14.287,15.090
11,12.191,12.949,12.445,13.240,14.966,15.749
12,12.855,13.608,12.445,13.240,15.618,16.387
13,13.494,14.254,13.076,13.892,16.062,16.863
14,14.167,14.916,13.733,14.554,16.786,17.578
15,14.754,15.508,14.302,15.118,17.461,18.240
