===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
0,5.966,7.056,,,,
1,7.828,8.700,,,,
2,8.849,9.741,,,,
3,10.200,11.094,10.564,11.647,,
4,11.342,12.169,11.803,12.903,14.302,15.245
5,12.882,13.709,13.184,14.132,15.597,16.555
6,14.123,14.978,14.501,15.543,16.776,17.697
7,15.011,15.991,,,18.180,19.128
8,16.927,17.835,17.000,18.023,,
9,18.202,19.098,18.403,19.218,,
10,19.488,20.399,19.314,20.361,22.866,23.861
11,20.594,21.489,,,,
12,21.927,22.820,22.412,23.432,24.840,25.850
13,23.230,24.122,23.707,24.753,26.227,27.160
14,24.590,25.479,24.894,25.992,27.471,28.370
15,25.803,26.710,,,28.445,29.415
