Load (N),Position (mm),Strain_A1_avg,Strain_A2_avg
10,60,221555.70489051647,53807.48935683222
30,60,663246.762453435,160799.04730139478
60,60,1325134.98471867,321101.0525575447
10,75,281884.8064845682,115388.91111947522
30,75,841646.902602576,344107.1287345639
60,75,1679948.0548858058,686399.8855031199
10,95,362109.94863480126,198517.29016148907
30,95,1082049.2794765483,592917.0162606894
60,95,2159275.704469561,1183297.5202928334
