===BEGIN_METADATA===
"This CSV contains gyroscope, accelerometer, and magnetometer data synced with the test named below."
Test Name: 2026-07-07_150106_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Calibrations: (not implemented yet)
===END_METADATA===
===BEGIN_DATA===
Time (sec),Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Processed_Time
0.000282,+0000010,-0000015,-0000008,+0000014,-0000077,+0004152,-0000624,+0000290,-0002554,15:01:07.186445
0.000615,+0000002,-0000008,+0000005,+0000021,-0000090,+0004164,-0000514,+0000466,-0002347,15:01:07.187451
0.000947,+0000018,-0000036,-0000007,+0000008,-0000068,+0004154,-0000514,+0000466,-0002347,15:01:07.187451
0.001280,+0000014,-0000031,-0000007,+0000021,-0000065,+0004149,-0000514,+0000466,-0002347,15:01:07.187451
0.001613,+0000018,-0000027,-0000011,+0000023,-0000074,+0004162,-0000746,+0000454,-0002334,15:01:07.187451
0.001946,+0000005,-0000011,-0000005,+0000017,-0000073,+0004161,-0000746,+0000454,-0002334,15:01:07.187451
0.002279,+0000008,-0000012,-0000012,+0000025,-0000076,+0004147,-0000746,+0000454,-0002334,15:01:07.187451
0.002612,+0000019,-0000018,+0000003,+0000026,-0000058,+0004167,-0000766,+0000468,-0002350,15:01:07.187451
0.002945,+0000005,-0000029,-0000008,+0000035,-0000082,+0004174,-0000766,+0000468,-0002350,15:01:07.187451
0.003278,+0000033,-0000037,-0000013,+0000034,-0000079,+0004152,-0000766,+0000468,-0002350,15:01:07.187451
0.003611,+0000003,-0000021,-0000018,+0000033,-0000069,+0004140,-0000754,+0000480,-0002332,15:01:07.187451
0.003944,+0000019,-0000006,-0000002,+0000021,-0000074,+0004158,-0000754,+0000480,-0002332,15:01:07.187451
0.004277,+0000004,-0000004,+0000006,+0000023,-0000055,+0004156,-0000754,+0000480,-0002332,15:01:07.187451
0.004610,+0000013,-0000027,-0000004,+0000025,-0000084,+0004158,-0000776,+0000474,-0002326,15:01:07.187451
0.004943,+0000022,-0000043,-0000010,+0000049,-0000071,+0004163,-0000776,+0000474,-0002326,15:01:07.187451
0.005276,+0000021,-0000031,-0000026,+0000033,-0000078,+0004157,-0000776,+0000474,-0002326,15:01:07.187451
0.005609,+0000006,-0000027,-0000002,+0000036,-0000081,+0004156,-0000746,+0000474,-0002358,15:01:07.187451
0.005942,+0000008,+0000001,-0000004,+0000031,-0000082,+0004174,-0000746,+0000474,-0002358,15:01:07.187451
0.006275,+0000002,-0000010,-0000008,+0000011,-0000100,+0004146,-0000746,+0000474,-0002358,15:01:07.187451
0.006608,+0000021,-0000032,-0000005,+0000019,-0000081,+0004140,-0000748,+0000464,-0002316,15:01:07.187451
0.006941,+0000033,-0000032,-0000015,+0000021,-0000077,+0004150,-0000748,+0000464,-0002316,15:01:07.187451
0.007274,+0000021,-0000036,-0000015,+0000048,-0000086,+0004167,-0000748,+0000464,-0002316,15:01:07.187451
0.007607,-0000005,-0000008,-0000011,+0000016,-0000092,+0004138,-0000748,+0000478,-0002333,15:01:07.187451
0.007940,+0000017,-0000020,-0000003,+0000016,-0000100,+0004152,-0000748,+0000478,-0002333,15:01:07.187451
0.008273,+0000014,-0000023,-0000004,+0000009,-0000110,+0004140,-0000748,+0000478,-0002333,15:01:07.187451
0.008606,+0000019,-0000037,-0000013,+0000004,-0000076,+0004142,-0000754,+0000448,-0002336,15:01:07.187451
0.008939,+0000024,-0000035,-0000010,+0000033,-0000068,+0004131,-0000754,+0000448,-0002336,15:01:07.187451
0.009275,+0000016,-0000011,-0000011,+0000045,-0000090,+0004150,-0000754,+0000448,-0002336,15:01:07.230438
0.009607,+0000008,-0000015,-0000012,+0000026,-0000077,+0004146,-0000750,+0000468,-0002339,15:01:07.230438
0.009940,+0000006,-0000011,-0000003,+0000028,-0000087,+0004145,-0000750,+0000468,-0002339,15:01:07.231440
0.010529,+0000032,-0000040,-0000008,+0000022,-0000082,+0004147,-0000750,+0000468,-0002339,15:01:07.231440
0.010747,+0000011,-0000012,-0000010,+0000024,-0000066,+0004161,-0000740,+0000472,-0002341,15:01:07.231440
0.011000,+0000024,-0000016,-0000010,+0000020,-0000073,+0004147,-0000740,+0000472,-0002341,15:01:07.231440
0.011270,+0000013,-0000029,-0000008,+0000010,-0000075,+0004142,-0000740,+0000472,-0002341,15:01:07.231440
0.011603,+0000011,-0000021,+0000001,+0000020,-0000096,+0004156,-0000756,+0000450,-0002333,15:01:07.231440
0.011936,+0000003,-0000016,-0000016,+0000011,-0000094,+0004157,-0000756,+0000450,-0002333,15:01:07.231440
0.012269,+0000007,-0000002,-0000002,+0000032,-0000087,+0004156,-0000756,+0000450,-0002333,15:01:07.231440
0.012602,+0000025,-0000038,-0000007,+0000043,-0000084,+0004163,-0000754,+0000482,-0002337,15:01:07.231440
0.012935,+0000022,-0000036,-0000010,+0000032,-0000085,+0004149,-0000754,+0000482,-0002337,15:01:07.231440
0.013269,+0000025,-0000019,-0000010,+0000026,-0000086,+0004162,-0000754,+0000482,-0002337,15:01:07.231440
0.013601,+0000013,-0000016,-0000007,-0000002,-0000080,+0004143,-0000766,+0000468,-0002352,15:01:07.231440
0.013936,-0000001,-0000019,-0000014,+0000034,-0000085,+0004154,-0000766,+0000468,-0002352,15:01:07.231440
0.014267,+0000013,-0000006,-0000005,+0000018,-0000090,+0004148,-0000766,+0000468,-0002352,15:01:07.231440
0.014601,+0000022,-0000028,-0000016,+0000025,-0000079,+0004149,-0000758,+0000464,-0002332,15:01:07.231440
0.014933,+0000014,-0000039,+0000000,+0000011,-0000084,+0004161,-0000758,+0000464,-0002332,15:01:07.231440
0.015266,+0000018,-0000024,-0000014,+0000028,-0000087,+0004150,-0000758,+0000464,-0002332,15:01:07.231440
0.015599,-0000006,-0000005,-0000002,+0000016,-0000080,+0004163,-0000770,+0000470,-0002314,15:01:07.231440
0.015932,+0000018,-0000018,-0000014,+0000032,-0000081,+0004150,-0000770,+0000470,-0002314,15:01:07.231440
0.016265,+0000011,-0000026,-0000007,+0000029,-0000095,+0004130,-0000770,+0000470,-0002314,15:01:07.231440
0.016598,+0000035,-0000029,-0000013,+0000009,-0000086,+0004154,-0000756,+0000484,-0002319,15:01:07.231440
0.016931,+0000014,-0000034,-0000019,+0000020,-0000083,+0004161,-0000756,+0000484,-0002319,15:01:07.231440
0.017264,+0000019,-0000016,-0000002,+0000010,-0000077,+0004176,-0000756,+0000484,-0002319,15:01:07.231440
