Load (N),Position (mm),Strain_A1_avg,Strain_A2_avg
5.0,60.0,111076.59901447491,27505.15850528693
35.0,60.0,775151.0509907666,189821.58973959956
70.0,60.0,1550225.2825200257,380477.0881124379
5.0,75.0,140783.32514487923,58370.453459151744
35.0,75.0,985946.0191934762,407388.3837700761
70.0,75.0,1965867.8611406907,810893.8881884398
5.0,95.0,180820.5609392693,99517.2525776268
35.0,95.0,1267720.136174155,698756.1291750296
70.0,95.0,2530669.8224928738,1395767.538947914
