===BEGIN_METADATA===
Test Name: 2026-06-10_190300_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7900
Note: new DAQ PCB
Test Type: Lab Trials
Stalks: Medium B-IN no tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A C E,Sensor SNs: 002 004 011
ICB-Sensor A's Latest Calibration: 2026-02-28_191825,kA1: 285806.85492483515,dA1: 0.0038186954053924,cA1: 1779.0295562932731,kA2: 278780.10405734595,dA2: 0.0456960408628126,cA2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-26_195246,kC1: 327901.7793019196,dC1: 0.0055431319529345,cC1: 1092.3920580442064,kC2: 331651.3310431668,dC2: 0.0445085069339955,cC2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2027-02-28_181436,kE1: 349273.60227475094,dE1: 0.0045245532907721,cE1: 1102.3374494942836,kE2: 346675.0994387471,dE2: 0.0451524381538289,cE2: 681.8182371353614
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.088194,+1469936,+0826305,0.088648,+0809871,+0537495,0.088825,+0686571,+0584505,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.780673
0.091432,+1470168,+0826572,0.091888,+0809801,+0537588,0.092059,+0686721,+0584540,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.780673
0.094663,+1470250,+0826226,0.095127,+0809952,+0537579,0.095295,+0686672,+0584467,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.780673
0.097941,+1470016,+0826416,0.098390,+0809766,+0537543,0.098532,+0686545,+0584473,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.780673
0.101178,+1470053,+0826433,0.101644,+0809856,+0537455,0.101771,+0686532,+0584544,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.104412,+1470239,+0826340,0.104885,+0809817,+0537380,0.105006,+0686654,+0584342,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.107646,+1470173,+0826562,0.108160,+0810002,+0537499,0.108253,+0686707,+0584611,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.110913,+1470055,+0826514,0.111407,+0809934,+0537638,0.111490,+0686540,+0584410,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.114151,+1470173,+0826238,0.114647,+0809790,+0537366,0.114725,+0686560,+0584518,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.117382,+1470131,+0826391,0.117886,+0809828,+0537513,0.117960,+0686575,+0584646,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.120617,+1470056,+0826367,0.121125,+0809867,+0537435,0.121195,+0686802,+0584366,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.123851,+1470171,+0826568,0.124364,+0809820,+0537543,0.124430,+0686782,+0584471,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.127086,+1470281,+0826402,0.127603,+0809963,+0537516,0.127667,+0686712,+0584524,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.130319,+1469993,+0826300,0.130841,+0809631,+0537436,0.130902,+0686606,+0584540,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.133555,+1470034,+0826428,0.134080,+0809810,+0537288,0.134138,+0686580,+0584257,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.136787,+1470152,+0826323,0.137319,+0809870,+0537376,0.137379,+0686536,+0584422,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.140020,+1470115,+0826399,0.140561,+0809848,+0537410,0.140619,+0686515,+0584523,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.143256,+1470269,+0826451,0.143802,+0809996,+0537450,0.143860,+0686577,+0584558,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.146487,+1470176,+0826466,0.147041,+0809700,+0537372,0.147099,+0686634,+0584465,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.847263
0.149717,+1469948,+0826158,0.150280,+0809734,+0537448,0.150343,+0686596,+0584503,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.152950,+1470062,+0826448,0.153524,+0809980,+0537423,0.153583,+0686469,+0584569,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.156249,+1470160,+0826527,0.156803,+0809845,+0537485,0.156864,+0686684,+0584472,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
0.159499,+1470249,+0826243,0.160048,+0809895,+0537399,0.160126,+0686585,+0584597,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.880713
