===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
0,6.760,8.069,,,,
1,8.479,9.569,,,,
2,9.535,10.474,,,,
3,11.002,11.982,11.436,12.291,,
4,12.261,13.247,,,15.185,16.121
5,13.765,14.665,14.099,14.867,16.458,17.449
6,15.073,15.964,15.482,16.266,17.646,18.632
7,15.954,16.867,15.482,16.266,19.076,20.075
8,17.891,18.920,17.979,18.778,,
9,19.167,20.224,19.344,20.065,,
10,20.479,21.383,20.220,21.067,23.792,24.768
11,21.543,22.538,,,,
12,22.881,23.800,23.338,24.178,25.777,26.754
13,24.174,25.115,24.648,25.332,27.113,28.064
14,25.559,26.496,25.871,26.791,28.332,29.228
15,26.735,27.670,,,29.351,30.341
