===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
0,12.149,12.905,,,14.884,15.552
1,12.596,13.576,,,15.229,15.920
2,13.249,13.905,13.352,13.999,15.843,16.549
3,13.496,14.213,13.352,13.999,16.171,17.108
4,13.828,14.542,13.352,13.999,16.888,17.603
5,14.162,15.124,13.671,14.610,16.888,17.603
6,14.892,15.611,14.629,15.277,17.530,18.493
7,15.232,15.915,14.952,15.607,18.179,18.846
8,15.525,16.253,15.504,16.158,18.179,18.846
9,15.831,16.520,15.504,16.158,18.474,19.178
10,16.189,16.844,15.983,16.635,18.806,19.508
11,16.473,17.195,15.983,16.635,19.075,19.788
12,16.836,17.492,16.597,17.270,,
13,17.117,17.798,16.890,17.581,,
