===BEGIN_METADATA===
Test Name: 2026-07-14_140517_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Amiga Probe Test @ 100 ft/min
Test Type: Not Calibration
Stalks: Medium B-IN no tops,Probe: v4.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.085265,+0695182,+0903687,0.085123,+0477389,+0715231,0.085197,+0248818,+0614880,14:05:20.139627
0.087122,+0695514,+0903533,0.086984,+0477644,+0715162,0.087056,+0248902,+0615061,14:05:20.139644
0.088983,+0695174,+0903461,0.088851,+0477493,+0715149,0.088919,+0249158,+0615087,14:05:20.139661
0.090843,+0695453,+0903480,0.090714,+0477289,+0715282,0.090779,+0249299,+0615001,14:05:20.140171
0.092706,+0695425,+0903419,0.092577,+0477357,+0715330,0.092642,+0249096,+0615228,14:05:20.140200
0.094567,+0695500,+0903349,0.094438,+0477300,+0715377,0.094503,+0249080,+0614878,14:05:20.140788
0.096428,+0695148,+0903470,0.096299,+0477476,+0715280,0.096364,+0249336,+0615044,14:05:20.140815
0.098289,+0695393,+0903641,0.098161,+0477388,+0715297,0.098225,+0248954,+0615049,14:05:20.140835
0.100150,+0695284,+0903443,0.100022,+0477230,+0715391,0.100086,+0248996,+0614908,14:05:20.140854
0.102015,+0695370,+0903324,0.101885,+0477234,+0715449,0.101949,+0249201,+0614878,14:05:20.140873
0.103876,+0695397,+0903406,0.103748,+0477116,+0715315,0.103812,+0249050,+0615021,14:05:20.140891
0.105738,+0695536,+0903654,0.105609,+0477131,+0715528,0.105673,+0249111,+0614945,14:05:20.141425
0.107598,+0695210,+0903770,0.107470,+0477121,+0715496,0.107534,+0248891,+0614840,14:05:20.141457
0.109459,+0695437,+0903491,0.109331,+0477376,+0715403,0.109395,+0248937,+0614804,14:05:20.141478
0.111326,+0695574,+0903585,0.111192,+0477235,+0715271,0.111258,+0248851,+0614995,14:05:20.141499
0.113184,+0695317,+0903428,0.113053,+0477012,+0715097,0.113117,+0249016,+0614591,14:05:20.141517
0.115054,+0695295,+0903409,0.114922,+0477221,+0715462,0.114990,+0248891,+0614877,14:05:20.142077
0.116917,+0695360,+0903513,0.116783,+0477103,+0715763,0.116851,+0248908,+0614778,14:05:20.142101
0.118781,+0695289,+0903611,0.118653,+0476801,+0715097,0.118717,+0248823,+0614801,14:05:20.142120
0.120650,+0695179,+0903538,0.120515,+0477181,+0715464,0.120581,+0248870,+0614656,14:05:20.142139
0.122512,+0695427,+0903517,0.122376,+0476937,+0715049,0.122440,+0248934,+0614738,14:05:20.142157
0.124381,+0695577,+0903561,0.124246,+0477223,+0715335,0.124317,+0248819,+0614852,14:05:20.142177
0.126243,+0695489,+0903445,0.126114,+0477122,+0715338,0.126178,+0249082,+0614816,14:05:20.142197
0.128118,+0695404,+0903641,0.127980,+0477291,+0715393,0.128053,+0249010,+0615010,14:05:20.227865
0.129982,+0695273,+0903334,0.129852,+0477086,+0715094,0.129917,+0248983,+0614619,14:05:20.228315
0.131848,+0695430,+0903391,0.131717,+0477159,+0715395,0.131783,+0248975,+0614888,14:05:20.228341
0.133779,+0695331,+0903397,0.133648,+0477068,+0715211,0.133715,+0249154,+0614756,14:05:20.228361
0.135665,+0695379,+0903650,0.135520,+0477012,+0715398,0.135600,+0248651,+0614998,14:05:20.228379
0.137527,+0695393,+0903485,0.137398,+0477029,+0715326,0.137462,+0248868,+0614752,14:05:20.228955
0.139388,+0695402,+0903351,0.139259,+0476933,+0715568,0.139324,+0248946,+0615117,14:05:20.229515
0.141250,+0695311,+0903408,0.141120,+0477364,+0715238,0.141186,+0248994,+0614999,14:05:20.229539
0.143110,+0695477,+0903450,0.142981,+0477396,+0715457,0.143045,+0248800,+0615038,14:05:20.229558
0.144974,+0695458,+0903596,0.144844,+0477230,+0715250,0.144908,+0249081,+0614906,14:05:20.229577
0.146834,+0695263,+0903362,0.146705,+0477156,+0715260,0.146769,+0248835,+0615125,14:05:20.229596
0.148695,+0695480,+0903547,0.148566,+0477099,+0715363,0.148631,+0248909,+0615027,14:05:20.229615
0.150556,+0695387,+0903672,0.150427,+0477313,+0715458,0.150492,+0249121,+0614794,14:05:20.236692
0.152423,+0695166,+0903513,0.152288,+0477337,+0715309,0.152359,+0249068,+0615108,14:05:20.236730
0.154285,+0695285,+0903518,0.154151,+0477076,+0715392,0.154220,+0249029,+0614939,14:05:20.236762
0.156143,+0695333,+0903489,0.156012,+0477375,+0715205,0.156079,+0249019,+0614925,14:05:20.236789
0.158016,+0695540,+0903568,0.157883,+0477466,+0715214,0.157948,+0248960,+0614861,14:05:20.236820
0.159880,+0695497,+0903294,0.159744,+0477162,+0715674,0.159813,+0248836,+0615084,14:05:20.236851
0.161738,+0695401,+0903305,0.161610,+0477488,+0715484,0.161674,+0248712,+0615139,14:05:20.236882
0.163607,+0695360,+0903430,0.163471,+0477403,+0715208,0.163539,+0248812,+0614805,14:05:20.236917
0.165470,+0695610,+0903494,0.165332,+0477460,+0715561,0.165398,+0248793,+0614795,14:05:20.236960
0.167335,+0695221,+0903601,0.167203,+0477260,+0715374,0.167271,+0249008,+0615168,14:05:20.237020
0.169199,+0695394,+0903238,0.169064,+0477492,+0715168,0.169130,+0248748,+0614998,14:05:20.237953
0.171062,+0695414,+0903595,0.170934,+0477298,+0715169,0.170998,+0248915,+0614757,14:05:20.237978
0.172931,+0695499,+0903545,0.172796,+0477396,+0715162,0.172864,+0248975,+0615067,14:05:20.237995
0.174788,+0695364,+0903482,0.174657,+0477175,+0715306,0.174722,+0248932,+0615023,14:05:20.238013
0.176659,+0695360,+0903288,0.176528,+0477309,+0715514,0.176594,+0248847,+0614692,14:05:20.238031
0.178524,+0695566,+0903308,0.178389,+0477173,+0715449,0.178458,+0248914,+0615034,14:05:20.238048
0.180388,+0695461,+0903639,0.180258,+0477578,+0715102,0.180323,+0248780,+0615070,14:05:20.238066
0.182282,+0695579,+0903394,0.182123,+0477339,+0715273,0.182210,+0249019,+0614923,14:05:20.238084
0.184147,+0695378,+0903442,0.184016,+0477200,+0715223,0.184083,+0249028,+0614974,14:05:20.238101
0.186015,+0695202,+0903526,0.185881,+0477130,+0715307,0.185946,+0249084,+0614996,14:05:20.238504
0.187880,+0695314,+0903245,0.187742,+0477149,+0715395,0.187811,+0248826,+0615053,14:05:20.241066
0.189739,+0695483,+0903540,0.189603,+0477136,+0715438,0.189670,+0248583,+0614668,14:05:20.241093
0.191599,+0695561,+0903419,0.191464,+0477206,+0715203,0.191528,+0249022,+0614684,14:05:20.241111
0.193461,+0695613,+0903554,0.193325,+0477217,+0715057,0.193389,+0249133,+0614781,14:05:20.241128
0.195319,+0695328,+0903248,0.195190,+0476998,+0715360,0.195255,+0248947,+0615049,14:05:20.241146
0.197182,+0695691,+0903541,0.197053,+0477254,+0715349,0.197117,+0248897,+0614956,14:05:20.241605
0.199043,+0695504,+0903482,0.198915,+0477519,+0715240,0.198979,+0248988,+0615078,14:05:20.241630
0.200906,+0695339,+0903516,0.200777,+0477338,+0715275,0.200841,+0249085,+0614989,14:05:20.241649
0.202767,+0695338,+0903355,0.202638,+0477153,+0715511,0.202702,+0248979,+0614980,14:05:20.241667
0.204631,+0695347,+0903434,0.204499,+0477174,+0715468,0.204566,+0248761,+0615077,14:05:20.241684
0.206494,+0695554,+0903497,0.206360,+0476922,+0715282,0.206427,+0249163,+0614759,14:05:20.242075
0.208358,+0695555,+0903375,0.208230,+0477233,+0715397,0.208294,+0249206,+0614943,14:05:20.242384
0.210228,+0695536,+0903632,0.210092,+0477156,+0715295,0.210159,+0249000,+0614984,14:05:20.242422
0.212085,+0695596,+0903400,0.211953,+0477029,+0715508,0.212018,+0249065,+0615147,14:05:20.242986
0.213959,+0695569,+0903350,0.213822,+0477210,+0715405,0.213893,+0249071,+0614961,14:05:20.243025
0.215820,+0695602,+0903700,0.215685,+0477068,+0715518,0.215755,+0248894,+0614953,14:05:20.243052
0.217682,+0695369,+0903588,0.217554,+0477218,+0715535,0.217618,+0249087,+0614683,14:05:20.243081
0.219552,+0695402,+0903301,0.219415,+0477376,+0715162,0.219487,+0249039,+0615031,14:05:20.243105
0.221413,+0695306,+0903489,0.221276,+0477235,+0715753,0.221348,+0248956,+0614933,14:05:20.243123
0.223282,+0695308,+0903438,0.223147,+0477011,+0715393,0.223218,+0248606,+0614985,14:05:20.243141
0.225143,+0695426,+0903609,0.225014,+0477160,+0715482,0.225079,+0249044,+0615079,14:05:20.243162
0.227015,+0695485,+0903708,0.226878,+0477326,+0715315,0.226946,+0249008,+0614701,14:05:20.243378
0.228882,+0695421,+0903431,0.228750,+0477276,+0715506,0.228817,+0248936,+0614802,14:05:20.327254
0.230745,+0695372,+0903357,0.230616,+0477534,+0715510,0.230681,+0248940,+0615185,14:05:20.327288
0.232661,+0695489,+0903531,0.232480,+0477227,+0715495,0.232595,+0249036,+0615144,14:05:20.327309
0.234528,+0695351,+0903425,0.234394,+0477288,+0715332,0.234462,+0249028,+0614825,14:05:20.327328
0.236409,+0695623,+0903382,0.236281,+0477181,+0715602,0.236345,+0249154,+0614951,14:05:20.328402
0.238270,+0695324,+0903480,0.238142,+0477257,+0715296,0.238206,+0248986,+0614993,14:05:20.328443
0.240131,+0695345,+0903297,0.240003,+0477193,+0715492,0.240067,+0248885,+0614826,14:05:20.328474
0.241993,+0695429,+0903464,0.241863,+0477291,+0715427,0.241928,+0249119,+0614948,14:05:20.328505
0.243860,+0695310,+0903577,0.243725,+0477464,+0715052,0.243791,+0248989,+0615273,14:05:20.328538
0.245718,+0695364,+0903520,0.245586,+0477316,+0715286,0.245650,+0249064,+0615262,14:05:20.328572
0.247588,+0695505,+0903562,0.247457,+0477152,+0715360,0.247523,+0248897,+0615087,14:05:20.328604
0.249451,+0695275,+0903549,0.249318,+0477204,+0715354,0.249384,+0249180,+0614840,14:05:20.329230
0.251315,+0695498,+0903525,0.251187,+0477336,+0715586,0.251251,+0248972,+0614909,14:05:20.330150
0.253184,+0695296,+0903343,0.253048,+0477389,+0715318,0.253116,+0248877,+0615036,14:05:20.330178
0.255041,+0695384,+0903474,0.254909,+0477072,+0715469,0.254975,+0248882,+0615011,14:05:20.330197
0.256912,+0695327,+0903407,0.256780,+0477070,+0715266,0.256847,+0248765,+0614721,14:05:20.330747
0.258776,+0695485,+0903825,0.258641,+0477192,+0715414,0.258707,+0249068,+0615027,14:05:20.330774
0.260639,+0695268,+0903615,0.260511,+0477295,+0715338,0.260575,+0248990,+0614919,14:05:20.330793
0.262508,+0695434,+0903248,0.262373,+0477167,+0715403,0.262439,+0248857,+0614737,14:05:20.330812
0.264365,+0695547,+0903466,0.264234,+0477197,+0715346,0.264298,+0248929,+0614940,14:05:20.330830
0.266236,+0695371,+0903669,0.266105,+0477407,+0715449,0.266172,+0248909,+0614723,14:05:20.332252
0.268100,+0695291,+0903426,0.267966,+0477225,+0715387,0.268032,+0249095,+0614966,14:05:20.332281
0.269964,+0695441,+0903602,0.269835,+0477510,+0715434,0.269899,+0248972,+0614634,14:05:20.332302
0.271832,+0695535,+0903398,0.271696,+0477225,+0715096,0.271764,+0249052,+0614894,14:05:20.332330
0.273688,+0695460,+0903625,0.273557,+0477150,+0715205,0.273623,+0248930,+0614803,14:05:20.332350
0.275560,+0695557,+0903673,0.275428,+0477207,+0715085,0.275495,+0249061,+0615090,14:05:20.332377
0.277423,+0695483,+0903392,0.277289,+0477281,+0715163,0.277355,+0249143,+0614636,14:05:20.332762
0.279288,+0695684,+0903477,0.279157,+0477286,+0715525,0.279222,+0248970,+0614913,14:05:20.339236
0.281153,+0695674,+0903314,0.281021,+0477140,+0715436,0.281086,+0248988,+0614829,14:05:20.339266
0.283049,+0695456,+0903437,0.282890,+0477482,+0715157,0.282984,+0248880,+0614714,14:05:20.339284
