Load (N),Position (mm),Strain_A1_avg,Strain_A2_avg
4.905,60.0,71517.19508813626,18211.517495213575
9.81,60.0,147220.9011380776,36461.858174505236
49.05,60.0,718017.388222105,174014.1479161171
4.905,100.0,123258.10889076524,70937.07589830189
9.81,100.0,252793.25727866904,144315.51796035218
49.05,100.0,1232131.3265813214,700814.7799924378
4.905,150.0,190013.6570855615,138919.3150623886
9.81,150.0,384407.32158183143,280028.1326995444
49.05,150.0,1881512.5315724085,1362651.541295306
