Load (N),Position (mm),Strain_A1_avg,Strain_A2_avg
4.905,60.0,70402.48397609995,14811.606511806243
9.81,60.0,144123.55396419438,30378.985370843995
49.05,60.0,720311.2058458165,164948.08491048595
4.905,100.0,122640.7998327293,66676.72400334541
9.81,100.0,251735.85521155826,136104.07595459235
49.05,100.0,1250456.2842770752,664395.034304563
4.905,150.0,186871.22731271994,129155.8552036199
9.81,150.0,383359.65170458425,264513.7139441143
49.05,150.0,1959225.839345683,1311561.54853212
