Load (N),Position (mm),Strain_A1_avg,Strain_A2_avg
4.905,60.0,70461.24649859943,17333.17634469518
9.81,60.0,143947.12456157932,34727.99158232289
49.05,60.0,724394.180906633,185703.21936110454
4.905,100.0,121829.41282497135,70859.45035836972
9.81,100.0,250395.271419982,143134.88801483114
49.05,100.0,1252142.0570593746,702900.1101494018
4.905,150.0,198312.2047445004,134397.89490379972
9.81,150.0,398509.4913772738,278142.276950941
49.05,150.0,2152981.4504289213,1357982.9835171567
