Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
0.000000,-0716046,-0583352,0.000000,-1163021,+0371290,21:49:56.177275
0.013982,-0715112,-0583544,0.014087,-1162726,+0371227,21:49:56.178276
0.027942,-0716243,-0583419,0.025337,-1162713,+0371499,21:49:56.178276
0.039186,-0717095,-0583435,0.036579,-1162716,+0371743,21:49:56.178276
0.053245,-0716019,-0583415,0.050638,-1163009,+0371441,21:49:56.178276
0.064492,-0715532,-0583340,0.064803,-1163362,+0371525,21:49:56.237627
0.078654,-0715802,-0583457,0.076050,-1163221,+0371322,21:49:56.237627
0.095731,-0715614,-0583431,0.096085,-1163394,+0371268,21:49:56.238641
0.109938,-0716265,-0583456,0.107333,-1162347,+0371636,21:49:56.238641
0.123996,-0716408,-0583381,0.121480,-1162223,+0371879,21:49:56.287944
0.135363,-0716449,-0583552,0.135569,-1163222,+0371424,21:49:56.287944
0.149423,-0715858,-0583235,0.146815,-1163698,+0371160,21:49:56.287944
0.160667,-0716101,-0583332,0.158059,-1162494,+0371475,21:49:56.344757
0.174777,-0716602,-0583370,0.172187,-1161942,+0371619,21:49:56.344757
0.188876,-0717288,-0583372,0.186274,-1162585,+0371946,21:49:56.344757
0.200164,-0716062,-0583464,0.197559,-1163606,+0371338,21:49:56.344757
0.214225,-0715835,-0583389,0.211617,-1162953,+0371176,21:49:56.345759
0.225464,-0716418,-0583415,0.222855,-1162584,+0371615,21:49:56.394338
0.239627,-0717104,-0583430,0.237022,-1162638,+0371804,21:49:56.395332
0.250872,-0716342,-0583302,0.251086,-1163513,+0371241,21:49:56.395332
0.264934,-0715496,-0583319,0.262327,-1163120,+0371178,21:49:56.395332
0.276175,-0716433,-0583635,0.276383,-1162733,+0371218,21:49:56.463708
0.290284,-0716738,-0583477,0.290516,-1162432,+0371563,21:49:56.463708
0.304400,-0717207,-0583338,0.301798,-1162485,+0371481,21:49:56.464707
0.318494,-0715798,-0583444,0.315886,-1163161,+0371428,21:49:56.464707
0.329769,-0715336,-0583608,0.329977,-1162948,+0371394,21:49:56.464707
0.343848,-0715937,-0583351,0.341263,-1162212,+0371545,21:49:56.518864
0.358078,-0716798,-0583527,0.355477,-1162083,+0371620,21:49:56.518864
0.369327,-0716421,-0583297,0.366726,-1163088,+0371409,21:49:56.518864
0.383394,-0715226,-0583696,0.380790,-1163592,+0371210,21:49:56.518864
0.394642,-0716000,-0583572,0.392075,-1162786,+0371161,21:49:56.565916
0.408840,-0716823,-0583504,0.406239,-1162132,+0371713,21:49:56.566926
0.420083,-0716762,-0583472,0.420286,-1162405,+0371604,21:49:56.566926
0.434140,-0716267,-0583586,0.431530,-1163300,+0371254,21:49:56.566926
0.445382,-0716161,-0583518,0.445584,-1163192,+0371105,21:49:56.630917
0.459543,-0716324,-0583350,0.456938,-1162302,+0371499,21:49:56.630917
0.473596,-0717331,-0583425,0.470989,-1162332,+0371761,21:49:56.631917
0.484836,-0716519,-0583654,0.485098,-1162969,+0371317,21:49:56.631917
0.498956,-0715957,-0583550,0.496384,-1163474,+0371381,21:49:56.631917
0.513085,-0716397,-0583391,0.510483,-1162771,+0371450,21:49:56.691005
0.527217,-0717073,-0583615,0.524613,-1162332,+0371526,21:49:56.691005
0.538463,-0717593,-0583489,0.535894,-1162546,+0371439,21:49:56.691005
0.552571,-0715863,-0583467,0.549971,-1163096,+0371485,21:49:56.691005
