Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
0.000000,-0712285,-0574565,0.000000,-1161264,+0376490,17:25:07.388254
0.043942,-0712020,-0574629,0.044170,-1161192,+0376363,17:25:07.445405
0.087856,-0712463,-0574611,0.088340,-1161089,+0376388,17:25:07.500192
0.131776,-0712306,-0574622,0.132514,-1161251,+0376504,17:25:07.501179
0.175660,-0712094,-0574538,0.176685,-1161029,+0376324,17:25:07.545380
0.219605,-0712576,-0574608,0.220861,-1161074,+0376450,17:25:07.589308
0.263528,-0712008,-0574569,0.265032,-1161267,+0376400,17:25:07.638101
0.307449,-0712294,-0574620,0.309203,-1161081,+0376351,17:25:07.684927
0.351376,-0712358,-0574557,0.353382,-1161081,+0376451,17:25:07.736176
0.395252,-0711921,-0574565,0.397593,-1161257,+0376461,17:25:07.795324
0.439144,-0712623,-0574675,0.441803,-1161034,+0376355,17:25:07.795324
0.483038,-0712195,-0574583,0.486017,-1161130,+0376491,17:25:07.840120
0.526943,-0711998,-0574561,0.530229,-1161246,+0376358,17:25:07.893472
0.570822,-0712415,-0574543,0.574445,-1161070,+0376426,17:25:07.954046
0.614729,-0712069,-0574521,0.618616,-1161100,+0376498,17:25:08.010543
0.658616,-0712014,-0574529,0.662830,-1161284,+0376349,17:25:08.056248
0.702535,-0712381,-0574565,0.707017,-1160950,+0376409,17:25:08.103118
0.746497,-0711981,-0574567,0.751219,-1161179,+0376518,17:25:08.103118
0.790372,-0712240,-0574604,0.795432,-1161227,+0376395,17:25:08.150431
0.834277,-0712273,-0574564,0.839645,-1160969,+0376412,17:25:08.197007
0.878161,-0711840,-0574463,0.883857,-1161270,+0376550,17:25:08.243060
0.922041,-0712340,-0574563,0.928070,-1161138,+0376394,17:25:08.296658
0.965944,-0712159,-0574519,0.972241,-1160982,+0376429,17:25:08.352523
1.009867,-0711969,-0574603,1.016420,-1161210,+0376448,17:25:08.401153
1.053748,-0712513,-0574619,1.060635,-1161152,+0376397,17:25:08.461942
1.097707,-0712009,-0574560,1.104813,-1161051,+0376439,17:25:08.461942
1.141610,-0712169,-0574482,1.149026,-1161255,+0376490,17:25:08.506138
1.185497,-0712366,-0574602,1.193239,-1161046,+0376397,17:25:08.553012
1.229380,-0711901,-0574530,1.237481,-1161041,+0376417,17:25:08.603430
1.273264,-0712216,-0574402,1.281693,-1161246,+0376438,17:25:08.649718
1.317203,-0712169,-0574535,1.325867,-1161049,+0376329,17:25:08.697353
1.361144,-0711998,-0574530,1.370048,-1161060,+0376484,17:25:08.752172
1.405128,-0712340,-0574588,1.414226,-1161218,+0376424,17:25:08.805618
1.449035,-0712094,-0574524,1.458452,-1160964,+0376427,17:25:08.850617
1.492961,-0711927,-0574523,1.502671,-1161077,+0376458,17:25:08.896044
1.536853,-0712396,-0574551,1.546884,-1161228,+0376317,17:25:08.942767
1.580750,-0711924,-0574578,1.591099,-1160987,+0376388,17:25:08.943767
1.624625,-0712051,-0574606,1.635312,-1161090,+0376437,17:25:08.991215
1.668520,-0712443,-0574552,1.679530,-1161205,+0376415,17:25:09.052420
1.712402,-0711807,-0574509,1.723702,-1160987,+0376394,17:25:09.111567
1.756308,-0712242,-0574575,1.767941,-1161176,+0376496,17:25:09.176416
1.800227,-0712101,-0574527,1.812154,-1161201,+0376446,17:25:09.176416
1.844100,-0711864,-0574506,1.856366,-1160984,+0376389,17:25:09.222194
1.887985,-0711974,-0574585,1.900540,-1161270,+0376477,17:25:09.264625
1.931865,-0712183,-0574617,1.944756,-1161205,+0376349,17:25:09.315130
1.975803,-0712398,-0574497,1.988972,-1160981,+0376408,17:25:09.433566
2.019682,-0711795,-0574534,2.033189,-1161137,+0376502,17:25:09.487331
2.063587,-0712082,-0574399,2.077405,-1161157,+0376429,17:25:09.487331
2.107474,-0712271,-0574344,2.121633,-1161087,+0376483,17:25:09.487331
2.151354,-0711844,-0574499,2.165839,-1161192,+0376499,17:25:09.529401
2.195236,-0712387,-0574541,2.210054,-1161059,+0376403,17:25:09.587379
2.239114,-0712349,-0574627,2.254269,-1161029,+0376401,17:25:09.637422
2.282991,-0711922,-0574568,2.298489,-1161268,+0376435,17:25:09.716857
2.326926,-0712414,-0574630,2.342702,-1161070,+0376387,17:25:09.717369
2.370802,-0712159,-0574643,2.386924,-1161114,+0376428,17:25:09.773200
2.414674,-0712131,-0574594,2.431093,-1161208,+0376416,17:25:09.830995
2.458611,-0712408,-0574572,2.475264,-1161029,+0376342,17:25:09.830995
2.502519,-0711967,-0574586,2.519434,-1161119,+0376489,17:25:09.887941
2.546434,-0712367,-0574602,2.563605,-1161225,+0376417,17:25:09.937573
2.590353,-0712259,-0574621,2.607776,-1161007,+0376337,17:25:10.001249
2.634292,-0711993,-0574558,2.651945,-1161113,+0376529,17:25:10.060929
2.678194,-0712354,-0574608,2.696120,-1161236,+0376468,17:25:10.061930
2.722109,-0712172,-0574635,2.740289,-1160951,+0376373,17:25:10.121131
2.766035,-0711995,-0574553,2.784459,-1161214,+0376470,17:25:10.178276
2.809944,-0712521,-0574619,2.828668,-1161199,+0376277,17:25:10.234526
2.853821,-0712149,-0574586,2.872839,-1160924,+0376434,17:25:10.234526
2.897743,-0712069,-0574561,2.917010,-1161266,+0376483,17:25:10.289482
