Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
0.974057,-0716319,-0583450,0.977128,-1164042,+0371116,21:48:52.636924
0.984128,-0715740,-0583439,0.987200,-1163261,+0370801,21:48:52.636924
0.994210,-0717074,-0583394,0.997283,-1163509,+0371204,21:48:52.636924
1.014394,-0715550,-0583411,1.017465,-1162970,+0370861,21:48:52.636924
1.024463,-0716415,-0583416,1.027535,-1164091,+0371089,21:48:52.692005
1.034567,-0715574,-0583436,1.037640,-1163442,+0370724,21:48:52.692005
1.054847,-0717038,-0583463,1.057917,-1163428,+0371258,21:48:52.692005
1.064897,-0716520,-0583422,1.067967,-1163041,+0370886,21:48:52.748429
1.074976,-0716561,-0583604,1.078048,-1163906,+0371197,21:48:52.748429
1.085081,-0715526,-0583565,1.088153,-1163530,+0370834,21:48:52.748429
1.105269,-0716977,-0583596,1.108341,-1164147,+0371123,21:48:52.748429
1.115374,-0716083,-0583457,1.118445,-1162996,+0370929,21:48:52.748429
1.125448,-0716619,-0583545,1.128518,-1163777,+0371201,21:48:52.806893
1.135498,-0715539,-0583348,1.138571,-1163565,+0370851,21:48:52.807890
1.155681,-0717005,-0583440,1.158752,-1163223,+0371130,21:48:52.807890
1.165734,-0716292,-0583482,1.168804,-1162966,+0370938,21:48:52.807890
1.175810,-0716842,-0583369,1.178881,-1163839,+0370878,21:48:52.807890
1.185876,-0715483,-0583412,1.188945,-1163565,+0370814,21:48:52.807890
1.195927,-0716916,-0583443,1.198998,-1163290,+0371128,21:48:52.852372
1.206023,-0715900,-0583403,1.219148,-1164005,+0371084,21:48:52.852372
1.226129,-0716102,-0583368,1.229199,-1163867,+0370981,21:48:52.852372
1.236182,-0715361,-0583493,1.239253,-1163636,+0370733,21:48:52.896623
1.246274,-0716706,-0583607,1.249349,-1163115,+0371086,21:48:52.897623
1.256395,-0716038,-0583334,1.259466,-1164079,+0371131,21:48:52.897623
1.266457,-0715977,-0583378,1.279603,-1163214,+0370796,21:48:52.897623
1.286586,-0715541,-0583452,1.289657,-1163743,+0371229,21:48:52.943892
1.296684,-0716721,-0583358,1.299755,-1163033,+0370805,21:48:52.943892
1.306739,-0716136,-0583418,1.309810,-1164055,+0370966,21:48:52.943892
1.316795,-0715888,-0583406,1.319866,-1163071,+0370826,21:48:52.943892
1.326856,-0716930,-0583430,1.339984,-1163880,+0371262,21:48:53.005886
1.347040,-0716708,-0583255,1.350110,-1162999,+0370810,21:48:53.006888
1.357101,-0716184,-0583395,1.360171,-1164229,+0371124,21:48:53.006888
1.367152,-0715763,-0583296,1.370223,-1163392,+0370801,21:48:53.006888
1.377231,-0716986,-0583363,1.380305,-1163662,+0371285,21:48:53.054438
1.397417,-0715532,-0583326,1.400489,-1163048,+0370886,21:48:53.054438
1.407534,-0716190,-0583361,1.410605,-1164094,+0371024,21:48:53.054438
1.417607,-0715677,-0583351,1.420678,-1163272,+0370809,21:48:53.055443
1.427659,-0717015,-0583384,1.430729,-1163615,+0371271,21:48:53.055443
1.437716,-0715511,-0583354,1.450870,-1162996,+0370878,21:48:53.101893
1.457950,-0716395,-0583333,1.461021,-1163992,+0371059,21:48:53.101893
1.468052,-0715619,-0583416,1.471123,-1163315,+0370837,21:48:53.101893
1.478103,-0717045,-0583349,1.481173,-1163413,+0371244,21:48:53.147843
1.498266,-0715752,-0583323,1.501336,-1163956,+0370945,21:48:53.147843
1.508318,-0716614,-0583404,1.511388,-1163955,+0371022,21:48:53.148820
1.518378,-0715696,-0583523,1.521448,-1163446,+0371220,21:48:53.148820
1.528430,-0717033,-0583495,1.531500,-1163315,+0371294,21:48:53.201620
1.538480,-0715724,-0583457,1.551729,-1163042,+0371038,21:48:53.201620
1.558784,-0716570,-0583334,1.561854,-1163823,+0370876,21:48:53.201620
1.568843,-0715508,-0583416,1.571912,-1163502,+0370765,21:48:53.201620
1.578893,-0716981,-0583449,1.581965,-1163275,+0371140,21:48:53.256929
1.589046,-0715855,-0583501,1.602198,-1164074,+0371063,21:48:53.257927
1.609198,-0716198,-0583372,1.612266,-1163762,+0371000,21:48:53.257927
1.619249,-0715574,-0583501,1.622319,-1163572,+0371166,21:48:53.257927
1.629300,-0716798,-0583456,1.632370,-1163238,+0370742,21:48:53.257927
