Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
0.000000,-0712483,-0575156,0.000000,-1162282,+0375265,17:18:19.336123
0.043878,-0712894,-0575145,0.044247,-1162155,+0375274,17:18:19.336123
0.087754,-0712448,-0575139,0.088462,-1162064,+0375166,17:18:19.336123
0.131634,-0712440,-0575142,0.132677,-1162302,+0375233,17:18:19.336123
0.175550,-0712825,-0575154,0.176925,-1162111,+0375329,17:18:19.336123
0.219445,-0712388,-0575100,0.221097,-1162071,+0375146,17:18:19.337117
0.263333,-0712613,-0575061,0.265304,-1162279,+0375259,17:18:19.337117
0.307247,-0712743,-0575060,0.309521,-1162114,+0375281,17:18:19.338903
0.351173,-0712376,-0575161,0.353741,-1162063,+0375222,17:18:19.338903
0.395046,-0712842,-0575131,0.397963,-1162063,+0375240,17:18:19.338903
0.438945,-0712803,-0575051,0.442162,-1162291,+0375294,17:18:19.338903
0.482820,-0712339,-0575087,0.486363,-1162099,+0375162,17:18:19.338903
0.526766,-0712925,-0575147,0.530582,-1162043,+0375279,17:18:19.338903
0.570642,-0712480,-0575194,0.574795,-1162289,+0375196,17:18:19.338903
0.614522,-0712643,-0575099,0.619008,-1162027,+0375198,17:18:19.338903
0.658402,-0712841,-0575169,0.663236,-1162156,+0375305,17:18:19.338903
0.702316,-0712351,-0575060,0.707421,-1162209,+0375307,17:18:19.338903
0.746197,-0712765,-0575174,0.751608,-1162051,+0375221,17:18:19.338903
0.790072,-0712691,-0575090,0.795848,-1162133,+0375296,17:18:19.338903
0.833946,-0712482,-0575125,0.840141,-1162240,+0375215,17:18:19.338903
0.877859,-0712784,-0575180,0.884318,-1162009,+0375144,17:18:19.338903
0.921777,-0712440,-0574976,0.928510,-1162141,+0375244,17:18:19.338903
0.965691,-0712403,-0575146,0.972722,-1162266,+0375166,17:18:19.338903
1.009608,-0712811,-0575111,1.016916,-1162051,+0375192,17:18:19.338903
1.053489,-0712462,-0575101,1.061129,-1162283,+0375276,17:18:19.338903
1.097361,-0712636,-0575138,1.105339,-1162219,+0375264,17:18:19.338903
1.141234,-0712921,-0575116,1.149552,-1162034,+0375228,17:18:19.338903
1.185106,-0712337,-0575122,1.193765,-1162175,+0375323,17:18:19.338903
1.228981,-0712840,-0575132,1.237977,-1162237,+0375204,17:18:19.338903
1.272936,-0712606,-0575193,1.282192,-1161989,+0375265,17:18:19.338903
1.316851,-0712342,-0575125,1.326374,-1162255,+0375247,17:18:19.338903
1.360733,-0712835,-0575136,1.370569,-1162181,+0375152,17:18:19.338903
1.404605,-0712457,-0575072,1.414793,-1162145,+0375343,17:18:19.338903
1.448479,-0712613,-0575140,1.459037,-1162243,+0375256,17:18:19.338903
1.492391,-0712833,-0575122,1.503235,-1162133,+0375132,17:18:19.338903
1.536264,-0712458,-0575079,1.547445,-1162035,+0375279,17:18:19.338903
1.580139,-0712740,-0575144,1.591665,-1162306,+0375249,17:18:19.338903
1.624029,-0712757,-0575115,1.635919,-1162122,+0375195,17:18:19.338903
1.667902,-0712369,-0575099,1.680129,-1162073,+0375320,17:18:19.338903
1.711775,-0712830,-0575106,1.724352,-1162225,+0375254,17:18:19.338903
1.755647,-0712680,-0575012,1.768581,-1162025,+0375209,17:18:19.338903
1.799520,-0712914,-0575083,1.812819,-1162109,+0375265,17:18:19.338903
1.843391,-0712803,-0575082,1.856999,-1162244,+0375191,17:18:19.338903
1.887263,-0712454,-0575050,1.901217,-1162094,+0375136,17:18:19.338903
1.931136,-0712530,-0575187,1.945453,-1162202,+0375260,17:18:19.338903
1.975007,-0712845,-0575094,1.989690,-1162270,+0375255,17:18:19.338903
2.018899,-0712320,-0575109,2.033914,-1162088,+0375216,17:18:19.338903
2.062815,-0712888,-0575151,2.078082,-1162186,+0375271,17:18:19.340306
2.106733,-0712681,-0575132,2.122252,-1162231,+0375101,17:18:19.340306
2.150648,-0712422,-0575091,2.166422,-1161992,+0375200,17:18:19.340306
2.194550,-0712854,-0575107,2.210592,-1162153,+0375277,17:18:19.340306
2.238474,-0712554,-0575055,2.254762,-1162258,+0375225,17:18:19.340306
2.282419,-0712414,-0575153,2.298932,-1162001,+0375226,17:18:19.340306
2.326334,-0712913,-0575062,2.343103,-1162248,+0375329,17:18:19.340306
2.370249,-0712630,-0575146,2.387274,-1162162,+0375204,17:18:19.340306
2.414163,-0712606,-0575085,2.431445,-1162055,+0375173,17:18:19.340306
2.458079,-0712840,-0575020,2.475616,-1162255,+0375250,17:18:19.340306
2.501987,-0712352,-0575124,2.519786,-1162067,+0375112,17:18:19.340306
2.545927,-0712714,-0575067,2.563957,-1162169,+0375287,17:18:19.340306
2.589852,-0712691,-0575162,2.608127,-1162234,+0375218,17:18:19.340306
2.633794,-0712394,-0575117,2.652295,-1162180,+0375217,17:18:19.340306
2.677740,-0713015,-0575155,2.696465,-1162048,+0375232,17:18:19.340306
2.721697,-0712642,-0575140,2.740656,-1162206,+0375209,17:18:19.340306
