Load (N),Position (mm),Strain_E1_avg,Strain_E2_avg
10.0,60.0,222760.1893189935,54513.81154304011
35.0,60.0,774925.7109614932,187609.55575242147
70.0,60.0,1544867.1138168771,372454.33326613717
10.0,75.0,281664.77326745325,115556.96030157176
35.0,75.0,981910.4784231684,402583.4890475019
70.0,75.0,1960790.396367658,803870.3063672325
10.0,95.0,363678.18968298956,200214.7266820739
35.0,95.0,1266559.5119689542,697234.6071078432
70.0,95.0,2523269.1988990493,1387432.580273873
