===BEGIN_METADATA===
Test Name: 2026-06-02_142320_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Transient test, new filter characteristics, at 95mm
Test Type: Medium Lab w/o tops
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785"
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-06-02_141512,kE1: 399957.2154399161,dE1: 0.0049884628004022,cE1: 3321.271967449924,kE2: 414819.21561406605,dE2: 0.0472948365972602,cE2: 1998.9488005689343
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.066385,-8388608,-8388608,0.066443,-8388608,-8388608,0.067071,-8388608,-8388608,0.065393,-8388608,-8388608,0.064934,+1142100,+1035209,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611809
0.069660,-8388608,-8388608,0.069719,-8388608,-8388608,0.070306,-8388608,-8388608,0.068198,-8388608,-8388608,0.067720,+1142175,+1035017,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611871
0.072909,-8388608,-8388608,0.072967,-8388608,-8388608,0.073585,-8388608,-8388608,0.071004,-8388608,-8388608,0.073301,+1142075,+1035130,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611923
0.076154,-8388608,-8388608,0.076214,-8388608,-8388608,0.076820,-8388608,-8388608,0.076663,-8388608,-8388608,0.076088,+1142307,+1035437,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611978
0.079400,-8388608,-8388608,0.079458,-8388608,-8388608,0.080056,-8388608,-8388608,0.079517,-8388608,-8388608,0.078909,+1141482,+1035086,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.612024
0.082649,-8388608,-8388608,0.082718,-8388608,-8388608,0.083299,-8388608,-8388608,0.082323,-8388608,-8388608,0.081740,+1142488,+1035332,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.641682
0.085903,-8388608,-8388608,0.086021,-8388608,-8388608,0.086592,-8388608,-8388608,0.085131,-8388608,-8388608,0.084527,+1142051,+1035261,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.641792
0.089148,-8388608,-8388608,0.089258,-8388608,-8388608,0.089826,-8388608,-8388608,0.087936,-8388608,-8388608,0.087357,+1142221,+1035091,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.641843
0.092424,-8388608,-8388608,0.092508,-8388608,-8388608,0.093077,-8388608,-8388608,0.093601,-8388608,-8388608,0.092934,+1142267,+1035056,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.641891
0.095702,-8388608,-8388608,0.095822,-8388608,-8388608,0.096324,-8388608,-8388608,0.096415,-8388608,-8388608,0.095764,+1138386,+1035136,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.641951
0.098951,-8388608,-8388608,0.099059,-8388608,-8388608,0.099558,-8388608,-8388608,0.099220,-8388608,-8388608,0.098553,+1134336,+1035105,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642000
0.102199,-8388608,-8388608,0.102313,-8388608,-8388608,0.102801,-8388608,-8388608,0.102038,-8388608,-8388608,0.101342,+1134674,+1035025,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642046
0.105444,-8388608,-8388608,0.105584,-8388608,-8388608,0.106038,-8388608,-8388608,0.104869,-8388608,-8388608,0.104130,+1133963,+1035374,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642091
0.108689,-8388608,-8388608,0.108821,-8388608,-8388608,0.109274,-8388608,-8388608,0.107714,-8388608,-8388608,0.106919,+1136931,+1035154,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642146
0.112002,-8388608,-8388608,0.112068,-8388608,-8388608,0.112570,-8388608,-8388608,0.110519,-8388608,-8388608,0.112507,+1134603,+1034972,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642193
0.115246,-8388608,-8388608,0.115365,-8388608,-8388608,0.115804,-8388608,-8388608,0.113346,-8388608,-8388608,0.115306,+1134925,+1035097,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642243
0.118492,-8388608,-8388608,0.118605,-8388608,-8388608,0.119042,-8388608,-8388608,0.118976,-8388608,-8388608,0.118093,+1134529,+1035180,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642294
0.121740,-8388608,-8388608,0.121882,-8388608,-8388608,0.122278,-8388608,-8388608,0.121814,-8388608,-8388608,0.120884,+1134786,+1035260,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642341
0.125002,-8388608,-8388608,0.125122,-8388608,-8388608,0.125516,-8388608,-8388608,0.124634,-8388608,-8388608,0.123733,+1139182,+1035490,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642389
0.128265,-8388608,-8388608,0.128365,-8388608,-8388608,0.128753,-8388608,-8388608,0.127448,-8388608,-8388608,0.126583,+1135631,+1035192,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642439
0.131522,-8388608,-8388608,0.131621,-8388608,-8388608,0.131994,-8388608,-8388608,0.130261,-8388608,-8388608,0.132173,+1141024,+1035207,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642523
0.134783,-8388608,-8388608,0.134860,-8388608,-8388608,0.135244,-8388608,-8388608,0.133086,-8388608,-8388608,0.134961,+1142098,+1035296,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642590
0.138035,-8388608,-8388608,0.138097,-8388608,-8388608,0.138479,-8388608,-8388608,0.135896,-8388608,-8388608,0.137747,+1142106,+1035222,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642631
0.141281,-8388608,-8388608,0.141342,-8388608,-8388608,0.141716,-8388608,-8388608,0.141562,-8388608,-8388608,0.140533,+1142349,+1035211,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642671
0.144560,-8388608,-8388608,0.144674,-8388608,-8388608,0.144953,-8388608,-8388608,0.144400,-8388608,-8388608,0.143394,+1142079,+1035037,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642713
0.147863,-8388608,-8388608,0.147923,-8388608,-8388608,0.148189,-8388608,-8388608,0.147208,-8388608,-8388608,0.146181,+1142257,+1035370,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642751
0.151109,-8388608,-8388608,0.151169,-8388608,-8388608,0.151477,-8388608,-8388608,0.150016,-8388608,-8388608,0.151756,+1142108,+1035220,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.642788
0.154361,-8388608,-8388608,0.154421,-8388608,-8388608,0.154713,-8388608,-8388608,0.152856,-8388608,-8388608,0.154547,+1142211,+1035303,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742177
0.157622,-8388608,-8388608,0.157680,-8388608,-8388608,0.157949,-8388608,-8388608,0.155662,-8388608,-8388608,0.157333,+1142170,+1035383,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742277
0.164155,-8388608,-8388608,0.164225,-8388608,-8388608,0.164419,-8388608,-8388608,0.164079,-8388608,-8388608,0.165710,+1141468,+1035298,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742328
0.167410,-8388608,-8388608,0.167480,-8388608,-8388608,0.167664,-8388608,-8388608,0.166962,-8388608,-8388608,0.168501,+1139024,+1035203,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742373
0.170668,-8388608,-8388608,0.170726,-8388608,-8388608,0.170900,-8388608,-8388608,0.169806,-8388608,-8388608,0.171289,+1142145,+1035105,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742418
0.173924,-8388608,-8388608,0.173984,-8388608,-8388608,0.174162,-8388608,-8388608,0.172614,-8388608,-8388608,0.174103,+1142086,+1035237,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742463
0.177187,-8388608,-8388608,0.177245,-8388608,-8388608,0.177398,-8388608,-8388608,0.175446,-8388608,-8388608,0.176909,+1142093,+1035246,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742506
0.180432,-8388608,-8388608,0.180491,-8388608,-8388608,0.180633,-8388608,-8388608,0.178253,-8388608,-8388608,0.179715,+1142225,+1035241,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742550
0.183678,-8388608,-8388608,0.183736,-8388608,-8388608,0.183927,-8388608,-8388608,0.183869,-8388608,-8388608,0.182524,+1142111,+1035065,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742611
0.186957,-8388608,-8388608,0.187071,-8388608,-8388608,0.187162,-8388608,-8388608,0.186679,-8388608,-8388608,0.185393,+1142004,+1035080,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742658
0.190203,-8388608,-8388608,0.190308,-8388608,-8388608,0.190397,-8388608,-8388608,0.189486,-8388608,-8388608,0.188181,+1142077,+1035307,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742700
0.193450,-8388608,-8388608,0.193546,-8388608,-8388608,0.193632,-8388608,-8388608,0.192296,-8388608,-8388608,0.193759,+1142197,+1035373,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742742
0.196698,-8388608,-8388608,0.196871,-8388608,-8388608,0.196931,-8388608,-8388608,0.195135,-8388608,-8388608,0.196595,+1142251,+1035267,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742784
0.199943,-8388608,-8388608,0.200109,-8388608,-8388608,0.200168,-8388608,-8388608,0.197940,-8388608,-8388608,0.199403,+1142323,+1035242,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742830
0.203193,-8388608,-8388608,0.203348,-8388608,-8388608,0.203406,-8388608,-8388608,0.200748,-8388608,-8388608,0.202211,+1142198,+1035306,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742875
0.206481,-8388608,-8388608,0.206696,-8388608,-8388608,0.206755,-8388608,-8388608,0.206363,-8388608,-8388608,0.205018,+1142183,+1035203,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742915
0.209726,-8388608,-8388608,0.209933,-8388608,-8388608,0.209991,-8388608,-8388608,0.209169,-8388608,-8388608,0.207825,+1141949,+1035059,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742956
0.212976,-8388608,-8388608,0.213169,-8388608,-8388608,0.213229,-8388608,-8388608,0.211974,-8388608,-8388608,0.210629,+1142368,+1035149,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.742996
0.216307,-8388608,-8388608,0.216521,-8388608,-8388608,0.216581,-8388608,-8388608,0.214785,-8388608,-8388608,0.216248,+1142085,+1035116,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.743036
0.219560,-8388608,-8388608,0.219758,-8388608,-8388608,0.219820,-8388608,-8388608,0.217593,-8388608,-8388608,0.219086,+1142337,+1035140,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.743083
0.222810,-8388608,-8388608,0.223007,-8388608,-8388608,0.223067,-8388608,-8388608,0.220431,-8388608,-8388608,0.221902,+1134250,+1035082,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.743130
0.226069,-8388608,-8388608,0.226253,-8388608,-8388608,0.226360,-8388608,-8388608,0.226129,-8388608,-8388608,0.224801,+1142301,+1035247,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811451
0.229315,-8388608,-8388608,0.229492,-8388608,-8388608,0.229595,-8388608,-8388608,0.228935,-8388608,-8388608,0.227591,+1137923,+1035249,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811525
0.232569,-8388608,-8388608,0.232731,-8388608,-8388608,0.232839,-8388608,-8388608,0.231740,-8388608,-8388608,0.233259,+1134779,+1035307,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811556
0.235942,-8388608,-8388608,0.236003,-8388608,-8388608,0.236178,-8388608,-8388608,0.234602,-8388608,-8388608,0.236061,+1140912,+1035155,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811584
0.239201,-8388608,-8388608,0.239261,-8388608,-8388608,0.239414,-8388608,-8388608,0.237521,-8388608,-8388608,0.238848,+1142333,+1035179,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811610
0.242447,-8388608,-8388608,0.242506,-8388608,-8388608,0.242653,-8388608,-8388608,0.240326,-8388608,-8388608,0.241636,+1142309,+1035266,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811636
0.245692,-8388608,-8388608,0.245752,-8388608,-8388608,0.245892,-8388608,-8388608,0.245951,-8388608,-8388608,0.244439,+1142151,+1035307,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811663
0.248938,-8388608,-8388608,0.249049,-8388608,-8388608,0.249129,-8388608,-8388608,0.248776,-8388608,-8388608,0.247225,+1141945,+1035235,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811688
0.252188,-8388608,-8388608,0.252286,-8388608,-8388608,0.252365,-8388608,-8388608,0.251583,-8388608,-8388608,0.250011,+1142194,+1035237,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811714
0.255433,-8388608,-8388608,0.255523,-8388608,-8388608,0.255650,-8388608,-8388608,0.254387,-8388608,-8388608,0.255592,+1142207,+1035136,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811751
0.258678,-8388608,-8388608,0.258759,-8388608,-8388608,0.258885,-8388608,-8388608,0.257199,-8388608,-8388608,0.258378,+1142101,+1035431,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811778
0.261925,-8388608,-8388608,0.261995,-8388608,-8388608,0.262119,-8388608,-8388608,0.260004,-8388608,-8388608,0.261165,+1142176,+1035174,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811808
0.265169,-8388608,-8388608,0.265232,-8388608,-8388608,0.265408,-8388608,-8388608,0.262815,-8388608,-8388608,0.263957,+1142203,+1035072,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811833
0.268423,-8388608,-8388608,0.268540,-8388608,-8388608,0.268701,-8388608,-8388608,0.268481,-8388608,-8388608,0.266743,+1142317,+1035388,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.811860
