Event,Start_s,End_s,Duration_s,Source_CSV
1,8.3939,16.3939,8.0000,2026-06-02_142659_01.csv
2,19.5333,27.5333,8.0000,2026-06-02_142659_01.csv
3,30.6372,38.6372,8.0000,2026-06-02_142659_01.csv
4,41.7402,49.7402,8.0000,2026-06-02_142659_01.csv
5,52.8433,60.8433,8.0000,2026-06-02_142659_01.csv
6,64.0367,72.0367,8.0000,2026-06-02_142659_01.csv
