Load (N),Position (mm),Strain_A1_avg,Strain_A2_avg
4.905,60.0,465431.35338366893,614603.9410234899
9.81,60.0,541276.9201827066,630158.2102719354
49.05,60.0,1111806.1750537634,750644.2752561668
4.905,100.0,513947.6601284499,659913.7391251519
9.81,100.0,641788.4818439143,726324.8751718559
49.05,100.0,1624936.9454038998,1243410.949322191
4.905,150.0,578763.8381286192,722459.6361576754
9.81,150.0,774473.961518929,854197.1896352725
49.05,150.0,2262058.578645144,1854622.5706800742
