Load (N),Position (mm),Strain_A1_avg,Strain_A2_avg
4.905,60.0,1372672.2517936693,1151498.6156076593
9.81,60.0,1441612.8986633248,1166982.5764689501
49.05,60.0,1983438.3627159551,1303290.7312118902
4.905,100.0,1418282.6107341147,1198723.2647337033
9.81,100.0,1540643.0814227227,1269021.182616854
49.05,100.0,2450478.9858451816,1783715.0792733016
4.905,150.0,1480616.9509089342,1262725.0642974067
9.81,150.0,1664781.8490666666,1396425.4427604938
49.05,150.0,3092235.6040973337,2443338.4446233674
