Load (N),Position (mm),Strain_A1_avg,Strain_A2_avg
4.905,60.0,465434.78951747087,614603.135427066
9.81,60.0,541266.1848626926,630154.5927215896
49.05,60.0,1111818.2181273946,750651.1189894635
4.905,100.0,513951.41531255323,659920.7087776074
9.81,100.0,641815.2998846099,726370.6757824896
49.05,100.0,1624921.450388944,1243425.5490814298
4.905,150.0,578768.4522007209,722467.7331436159
9.81,150.0,774467.1088090655,854193.1730810349
49.05,150.0,2261970.9049230474,1854555.4092151802
