===BEGIN_METADATA===
Test Name: 2026-08-27_091200_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8570
Note: Chesterfiled repeatability runs
Test Type: Calibration
Loads (N): 4.905 9.81 49.05,Positions (mm): 60 100 150
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_600SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 104
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 0.0,kA2: 1.0,dA2: 1.0,cA2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Processed_Time
0.185700,+1305078,+1134684,09:12:02.631354
0.187556,+1305216,+1134698,09:12:02.631369
0.189413,+1305121,+1134607,09:12:02.631384
0.191268,+1305186,+1134873,09:12:02.631404
0.193127,+1305190,+1134673,09:12:02.631418
0.194994,+1305234,+1134655,09:12:02.631434
0.196859,+1305170,+1134952,09:12:02.631455
0.198744,+1305302,+1134595,09:12:02.631471
0.200604,+1305315,+1134799,09:12:02.631487
0.202462,+1305087,+1134709,09:12:02.631502
0.204318,+1305199,+1134687,09:12:02.631527
0.206173,+1305168,+1134684,09:12:02.631551
0.208034,+1305226,+1134942,09:12:02.631566
0.209891,+1305254,+1134733,09:12:02.631580
0.211749,+1305178,+1134614,09:12:02.631593
0.213604,+1305310,+1134597,09:12:02.631607
0.215459,+1305316,+1134791,09:12:02.631629
0.217316,+1305133,+1134756,09:12:02.631642
0.219172,+1305302,+1134782,09:12:02.631656
0.221029,+1305199,+1134764,09:12:02.631678
0.222886,+1305330,+1134698,09:12:02.631697
0.224743,+1305057,+1134748,09:12:02.631798
0.226598,+1304895,+1134594,09:12:02.631826
0.228453,+1305130,+1134838,09:12:02.631840
0.230310,+1305315,+1134964,09:12:02.631854
0.232168,+1304991,+1134800,09:12:02.631865
0.234025,+1305113,+1134852,09:12:02.631880
0.235882,+1304941,+1134721,09:12:02.631894
0.237741,+1305234,+1134697,09:12:02.631906
0.239596,+1305350,+1134808,09:12:02.631919
0.241451,+1305341,+1134662,09:12:02.631932
0.243309,+1305230,+1134560,09:12:02.631944
0.245170,+1305333,+1134776,09:12:02.631962
0.247029,+1305136,+1134726,09:12:02.631974
0.248944,+1304894,+1134587,09:12:02.631986
0.250807,+1304973,+1134733,09:12:02.632004
0.252662,+1305360,+1134597,09:12:02.632019
0.254517,+1305288,+1134604,09:12:02.632032
0.256374,+1305254,+1134605,09:12:02.632048
0.258230,+1305168,+1134907,09:12:02.632062
0.260085,+1305099,+1134601,09:12:02.632075
0.261942,+1305280,+1134472,09:12:02.632089
0.263802,+1305166,+1134721,09:12:02.632102
0.265660,+1305103,+1134929,09:12:02.632115
0.267515,+1305150,+1134510,09:12:02.632128
0.269377,+1305228,+1134625,09:12:02.632190
0.271232,+1305082,+1134629,09:12:02.632210
0.273087,+1304933,+1134629,09:12:02.632222
0.274944,+1305088,+1134668,09:12:02.632235
0.276807,+1305074,+1134950,09:12:02.632247
0.278664,+1304999,+1134797,09:12:02.632260
0.280520,+1305112,+1134526,09:12:02.632274
0.282381,+1305179,+1134734,09:12:02.632287
0.284236,+1305209,+1134784,09:12:02.632299
0.286091,+1305000,+1134718,09:12:02.632312
0.287952,+1305193,+1134809,09:12:02.632328
0.289809,+1305280,+1134593,09:12:02.632341
0.291667,+1304959,+1134738,09:12:02.632359
0.293524,+1305319,+1134525,09:12:02.632373
0.295387,+1305380,+1134710,09:12:02.632390
0.297246,+1305117,+1134791,09:12:02.632404
0.299149,+1305210,+1134580,09:12:02.632416
0.301010,+1305267,+1134596,09:12:02.632431
0.302865,+1305035,+1134530,09:12:02.632443
0.304721,+1304992,+1134524,09:12:02.632455
0.306580,+1305167,+1134572,09:12:02.632467
0.308435,+1305299,+1134943,09:12:02.632479
0.310292,+1305347,+1134710,09:12:02.632491
0.312147,+1305332,+1134580,09:12:02.632502
0.314007,+1305232,+1134507,09:12:02.632514
0.315864,+1305331,+1134578,09:12:02.632529
0.317719,+1304903,+1134487,09:12:02.632541
0.319576,+1305356,+1134492,09:12:02.632553
0.321431,+1304884,+1134760,09:12:02.632565
0.323288,+1305323,+1134515,09:12:02.632576
0.325144,+1305147,+1134468,09:12:02.632590
0.327003,+1305195,+1134465,09:12:02.638368
0.328860,+1305171,+1134891,09:12:02.638380
0.330715,+1305138,+1134708,09:12:02.638388
0.332576,+1305045,+1134776,09:12:02.638397
0.334431,+1305092,+1135071,09:12:02.638406
0.336288,+1305388,+1134416,09:12:02.638414
0.338144,+1305224,+1134855,09:12:02.638423
0.339999,+1304938,+1134636,09:12:02.638431
0.341858,+1305235,+1134676,09:12:02.638438
0.343722,+1305478,+1134479,09:12:02.638446
0.345582,+1305277,+1134645,09:12:02.638453
0.347441,+1305124,+1134682,09:12:02.638460
0.349352,+1304973,+1134549,09:12:02.638467
0.351209,+1305214,+1134639,09:12:02.638474
0.353077,+1305089,+1134737,09:12:02.638481
0.354936,+1305252,+1134726,09:12:02.638487
0.356791,+1305122,+1134711,09:12:02.638494
0.358646,+1305047,+1134899,09:12:02.638500
0.360503,+1305500,+1134802,09:12:02.638507
0.362362,+1305174,+1134614,09:12:02.638514
0.364218,+1305166,+1134802,09:12:02.638521
0.366073,+1304987,+1134592,09:12:02.638528
0.367930,+1305043,+1134485,09:12:02.638535
0.369787,+1305150,+1134574,09:12:02.638542
0.371642,+1305027,+1134588,09:12:02.638549
0.373499,+1305070,+1134569,09:12:02.638556
0.375358,+1305225,+1134665,09:12:02.638563
0.377216,+1305129,+1134752,09:12:02.638570
0.379071,+1305209,+1134684,09:12:02.638578
0.380932,+1305261,+1134489,09:12:02.638586
0.382789,+1305121,+1134566,09:12:02.638594
0.384644,+1305141,+1134603,09:12:02.638601
0.386502,+1305053,+1134926,09:12:02.638608
0.388357,+1305128,+1134775,09:12:02.638615
0.390214,+1305107,+1134798,09:12:02.638623
0.392069,+1305171,+1134558,09:12:02.638630
0.393936,+1305074,+1134818,09:12:02.638639
0.395797,+1305374,+1134648,09:12:02.638647
0.397662,+1304982,+1134541,09:12:02.638656
0.399567,+1305350,+1134736,09:12:02.638664
0.401423,+1305066,+1134624,09:12:02.638672
0.403278,+1305325,+1134639,09:12:02.638680
0.405133,+1305071,+1134633,09:12:02.638688
0.406989,+1305337,+1134519,09:12:02.638695
0.408847,+1305166,+1134858,09:12:02.638702
0.410703,+1305220,+1134814,09:12:02.638708
0.412566,+1304948,+1134467,09:12:02.638715
0.414421,+1305320,+1134809,09:12:02.638721
0.416276,+1304913,+1134611,09:12:02.638729
0.418135,+1305317,+1134629,09:12:02.638735
0.419990,+1305218,+1134847,09:12:02.638742
0.421848,+1305260,+1134785,09:12:02.638749
0.423703,+1305102,+1134765,09:12:02.638755
0.425562,+1305290,+1134569,09:12:02.638763
