Load (N),Position (mm),Strain_C1_avg,Strain_C2_avg
10,60,223196.07496413199,59081.89397417503
35,60,780364.2495112849,206266.9231088206
70,60,1559141.0848791797,411995.6984989016
10,75,282443.2314089019,118074.89469020518
35,75,985781.4229267959,412272.96754091623
70,75,1968404.5489243085,822680.3240654706
10,95,364399.96750931774,200293.74388267702
35,95,1271465.5745692216,698510.8366013073
70,95,2537634.3135868213,1394183.5894001164
