Load (N),Position (mm),Strain_A1_avg,Strain_A2_avg
10,60,195462.36010230175,52249.461125319685
35,60,680482.7323155215,181665.37582697198
65,60,1263287.587550744,337756.696075778
10,75,246260.23668789802,103591.13630573246
35,75,860009.574662162,360882.1094594594
65,75,1596558.315971223,669220.5156834531
10,95,317559.56826446275,174007.0588429752
35,95,1108433.989064748,606558.9951079135
65,95,2056987.4912154027,1125520.4558363417
