===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,A_Refine_Start,A_Refine_End,B_Start,B_End,B_Refine_Start,B_Refine_End,C_Start,C_End,C_Refine_Start,C_Refine_End
3,10,565.586,565.782,565.611,565.756,566.862,567.110,566.943,567.089,568.136,568.320,568.214,568.287
3,9,565.848,565.914,565.856,565.906,567.144,567.353,567.171,567.326,568.355,568.503,568.423,568.478
3,8,566.171,566.385,566.212,566.355,567.571,567.766,567.621,567.747,568.736,568.953,568.809,568.910
3,7,566.410,566.624,566.449,566.599,567.794,567.993,567.835,567.964,568.975,569.178,569.065,569.151
3,6,566.733,566.943,566.773,566.920,568.027,568.245,568.058,568.211,569.266,569.476,569.378,569.452
3,5,572.777,572.988,572.800,572.941,574.073,574.294,574.104,574.200,575.295,575.572,575.411,575.478
3,4,573.088,573.309,573.090,573.307,574.315,574.535,574.348,574.505,575.609,575.790,575.697,575.762
3,3,573.423,573.599,573.466,573.575,574.623,574.917,574.732,574.826,575.895,576.128,575.979,576.074
3,2,573.658,573.833,573.707,573.808,574.966,575.171,575.009,575.143,576.203,576.433,576.288,576.405
3,1,573.947,574.135,573.990,574.119,575.270,575.477,575.297,575.444,576.527,576.763,576.607,576.727
2,10,575.463,575.769,575.540,575.651,576.782,577.075,576.854,576.965,578.053,578.362,578.160,578.278
2,9,575.838,576.058,575.901,576.013,577.108,577.338,577.170,577.290,578.403,578.616,578.488,578.571
2,8,576.147,576.358,576.168,576.331,577.405,577.635,577.436,577.603,578.697,578.907,578.781,578.877
2,7,576.468,576.641,576.497,576.622,577.731,578.042,577.828,577.939,578.984,579.221,579.066,579.170
2,6,576.703,576.913,576.735,576.864,578.058,578.287,578.093,578.257,579.264,579.470,579.331,579.443
2,5,582.705,582.908,582.723,582.880,584.016,584.206,584.032,584.164,585.295,585.492,585.355,585.461
2,4,582.973,583.169,583.018,583.146,584.257,584.475,584.285,584.447,585.563,585.751,585.614,585.726
2,3,583.256,583.461,583.305,583.434,584.548,584.789,584.578,584.746,585.828,586.026,585.896,585.984
2,2,583.546,583.766,583.603,583.737,584.881,585.130,584.930,585.090,586.124,586.319,586.185,586.292
2,1,583.869,584.078,583.902,584.050,585.183,585.435,585.229,585.401,586.427,586.640,586.494,586.612
1,10,585.496,585.698,585.555,585.653,586.745,587.011,586.826,586.951,588.005,588.230,588.082,588.173
1,9,585.791,585.998,585.822,585.968,587.105,587.332,587.136,587.302,588.326,588.552,588.399,588.523
1,8,586.102,586.305,586.144,586.276,587.422,587.651,587.457,587.620,588.675,588.899,588.747,588.867
1,7,586.439,586.571,586.472,586.546,587.715,587.897,587.745,587.870,588.958,589.177,589.016,589.152
1,6,586.679,586.932,586.729,586.886,587.966,588.206,588.015,588.161,589.263,589.477,589.322,589.425
1,5,593.084,593.289,593.131,593.261,594.359,594.556,594.422,594.524,595.653,595.860,595.711,595.833
1,4,593.346,593.542,593.395,593.518,594.627,594.883,594.694,594.789,595.943,596.130,595.998,596.071
1,3,593.679,593.882,593.730,593.880,595.036,595.264,595.100,595.243,596.284,596.488,596.341,596.456
1,2,593.972,594.164,594.063,594.141,595.343,595.583,595.396,595.526,596.547,596.747,596.603,596.720
1,1,594.242,594.460,594.307,594.430,595.600,595.917,595.673,595.823,596.814,597.118,596.905,597.024
