===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,A_Refine_Start,A_Refine_End,B_Start,B_End,B_Refine_Start,B_Refine_End,C_Start,C_End,C_Refine_Start,C_Refine_End
3,10,562.388,562.598,562.435,562.545,563.670,563.911,563.749,563.894,564.930,565.121,564.992,565.100
3,9,562.620,562.836,562.649,562.810,563.943,564.141,563.976,564.112,565.162,565.345,565.213,565.319
3,8,562.987,563.211,563.014,563.176,564.357,564.572,564.408,564.546,565.569,565.771,565.647,565.755
3,7,563.231,563.429,563.268,563.401,564.584,564.790,564.610,564.760,565.808,565.985,565.881,565.957
3,6,563.528,563.740,563.554,563.710,564.829,565.034,564.875,564.994,566.034,566.253,566.106,566.224
3,5,569.608,569.795,569.634,569.775,570.818,571.095,570.920,571.014,572.104,572.377,572.206,572.298
3,4,569.821,570.005,569.860,569.985,571.125,571.330,571.131,571.302,572.402,572.583,572.461,572.555
3,3,570.130,570.360,570.175,570.292,571.411,571.689,571.495,571.608,572.657,572.896,572.748,572.854
3,2,570.449,570.647,570.497,570.620,571.797,571.999,571.863,571.971,573.005,573.234,573.092,573.204
3,1,570.741,570.943,570.774,570.916,572.067,572.286,572.132,572.247,573.312,573.547,573.395,573.508
2,10,572.276,572.556,572.333,572.462,573.567,573.808,573.649,573.759,574.842,575.144,574.965,575.061
2,9,572.611,572.838,572.652,572.787,573.889,574.120,573.959,574.079,575.195,575.392,575.253,575.353
2,8,572.920,573.125,572.946,573.097,574.198,574.424,574.249,574.394,575.493,575.705,575.575,575.674
2,7,573.248,573.456,573.313,573.411,574.554,574.793,574.643,574.752,575.818,576.041,575.889,575.988
2,6,573.492,573.718,573.523,573.687,574.855,575.089,574.883,575.047,576.072,576.276,576.126,576.245
2,5,579.504,579.683,579.527,579.641,580.785,580.974,580.830,580.958,582.106,582.328,582.173,582.281
2,4,579.712,579.934,579.755,579.865,581.015,581.218,581.103,581.189,582.343,582.539,582.395,582.509
2,3,580.039,580.252,580.078,580.223,581.352,581.573,581.380,581.541,582.629,582.812,582.699,582.782
2,2,580.331,580.561,580.374,580.523,581.671,581.925,581.719,581.884,582.909,583.099,582.989,583.068
2,1,580.657,580.874,580.696,580.838,581.988,582.232,582.034,582.199,583.207,583.425,583.292,583.398
1,10,582.283,582.470,582.344,582.446,583.522,583.749,583.595,583.732,584.793,584.976,584.881,584.966
1,9,582.584,582.782,582.612,582.751,583.897,584.139,583.949,584.097,585.125,585.349,585.209,585.319
1,8,582.901,583.093,582.928,583.061,584.230,584.448,584.269,584.409,585.447,585.680,585.532,585.649
1,7,583.155,583.373,583.193,583.345,584.499,584.693,584.567,584.663,585.728,585.942,585.812,585.914
1,6,583.470,583.747,583.537,583.679,584.769,585.021,584.871,584.966,586.032,586.280,586.117,586.215
1,5,589.886,590.092,589.962,590.049,591.144,591.354,591.177,591.325,592.433,592.653,592.519,592.625
1,4,590.122,590.356,590.191,590.315,591.424,591.688,591.508,591.605,592.710,592.922,592.778,592.856
1,3,590.470,590.712,590.511,590.681,591.825,592.071,591.866,592.038,593.072,593.249,593.127,593.218
1,2,590.785,590.972,590.816,590.944,592.144,592.365,592.189,592.310,593.337,593.544,593.337,593.544
1,1,591.042,591.301,591.112,591.249,592.391,592.709,592.461,592.616,593.594,593.836,593.683,593.808
