===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,A_Refine_Start,A_Refine_End,B_Start,B_End,B_Refine_Start,B_Refine_End,C_Start,C_End,C_Refine_Start,C_Refine_End
3,10,584.222,584.411,584.244,584.391,585.591,585.832,585.661,585.820,586.927,587.121,586.984,587.078
3,9,584.503,584.662,584.587,584.662,585.889,586.076,585.906,586.049,587.223,587.313,587.229,587.305
3,8,584.842,585.070,584.884,585.043,586.272,586.468,586.313,586.448,587.558,587.779,587.614,587.745
3,7,585.125,585.371,585.166,585.337,586.497,586.748,586.551,586.707,587.810,587.995,587.872,587.970
3,6,585.422,585.662,585.446,585.634,586.772,586.998,586.805,586.969,588.111,588.305,588.168,588.282
3,5,591.790,592.007,591.818,591.986,593.099,593.361,593.185,593.351,594.462,594.715,594.554,594.692
3,4,592.111,592.302,592.111,592.302,593.402,593.624,593.420,593.589,594.743,594.941,594.819,594.915
3,3,592.448,592.655,592.474,592.636,593.724,594.029,593.793,593.943,595.065,595.308,595.134,595.247
3,2,592.709,592.906,592.733,592.873,594.077,594.298,594.153,594.271,595.405,595.674,595.485,595.647
3,1,593.067,593.258,593.104,593.197,594.413,594.631,594.468,594.603,595.721,595.961,595.809,595.937
2,10,594.624,594.920,594.683,594.822,596.002,596.297,596.066,596.188,597.332,597.640,597.452,597.529
2,9,595.005,595.220,595.039,595.193,596.350,596.581,596.394,596.540,597.694,597.901,597.768,597.872
2,8,595.316,595.526,595.373,595.483,596.662,596.900,596.707,596.871,598.010,598.238,598.090,598.210
2,7,595.636,595.838,595.664,595.800,597.008,597.286,597.093,597.217,598.312,598.563,598.402,598.520
2,6,595.891,596.141,595.947,596.101,597.317,597.579,597.380,597.524,598.627,598.836,598.687,598.789
2,5,602.196,602.431,602.232,602.405,603.583,603.797,603.614,603.758,604.950,605.155,605.032,605.127
2,4,602.505,602.620,602.531,602.586,603.846,604.062,603.886,604.033,605.214,605.430,605.291,605.404
2,3,602.802,603.011,602.830,602.985,604.168,604.404,604.198,604.375,605.494,605.706,605.600,605.679
2,2,603.114,603.344,603.140,603.320,604.496,604.746,604.543,604.715,605.804,606.017,605.900,605.990
2,1,603.451,603.666,603.489,603.636,604.846,605.092,604.893,605.061,606.124,606.352,606.215,606.325
1,10,605.172,605.378,605.211,605.345,606.475,606.712,606.547,606.687,607.812,607.991,607.878,607.963
1,9,605.490,605.701,605.578,605.674,606.859,607.146,606.934,607.117,608.172,608.407,608.263,608.379
1,8,605.809,606.014,605.835,605.987,607.211,607.442,607.245,607.412,608.515,608.726,608.598,608.698
1,7,606.099,606.286,606.133,606.286,607.483,607.690,607.552,607.662,608.789,609.007,608.847,608.981
1,6,606.485,606.714,606.512,606.683,607.799,608.057,607.898,607.980,609.121,609.402,609.212,609.300
1,5,613.062,613.348,613.160,613.323,614.443,614.771,614.542,614.665,615.859,616.077,615.945,616.047
1,4,613.392,613.601,613.413,613.584,614.789,615.050,614.846,614.967,616.158,616.340,616.218,616.308
1,3,613.776,614.038,613.851,613.975,615.190,615.455,615.226,615.426,616.495,616.689,616.550,616.657
1,2,614.082,614.185,614.109,614.163,615.508,615.760,615.551,615.710,616.797,617.003,616.863,616.978
1,1,614.362,614.636,614.417,614.579,615.796,616.057,615.867,616.025,617.072,617.312,617.162,617.287
