Note: dummy trials
Estimation Method: quasi-static average
Test Type: Not Calibration
===BEGIN_STIFFNESSES===
Stalk,Stiffness (N/m^2),Estimate 1,Estimate 2
1,nan,nan,nan
2,-0.0011523788634091427,-0.0011523788634091427,nan
3,7.715387183893357,7.715387183893357,nan
4,20.989617161575868,3.0680496434215665,38.91118467973017
5,18.89056661222317,-1.130051455283829,38.91118467973017
6,12.881699615724596,0.9648989065609584,24.798500324888234
7,11.400331287356693,-1.6089007769351762,24.40956335164856
8,1.5648812147947306,1.9974576886467474,1.132304740942714
9,29.622679517466874,-2.044912907579074,61.290271942512824
10,11.794399666636593,4.5936192118983765,18.995180121374812
11,13.169729936692926,2.1973953533294384,24.142064520056415
12,10.203141086488744,0.7572263532869445,19.649055819690542
13,11.367393620507361,3.0857314213241804,19.649055819690542
14,5.414312715581714,0.1624615722638856,10.66616385889954
15,10.56164187592516,0.05705055308122293,21.066233198769098
16,18.674525025937236,1.3540959224635827,35.994954129410885
