===BEGIN_METADATA===
Test Name: 2026-06-16_195024_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration
Loads (N): 5 35 70,Positions (mm): 60 100 120 154
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 101
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 0.0,kA2: 1.0,dA2: 1.0,cA2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.189591,-239,-144,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.192828,-325,-5,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.196062,-402,6,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.199295,-235,-147,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.202525,-97,-226,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.205766,-171,-315,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.208997,-258,8,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.212227,-200,-154,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.215465,-298,-214,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.2187,-133,10,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.221931,-270,-34,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.225171,-595,-284,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.228402,-253,-176,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.231641,-270,-135,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.234885,-152,-234,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.238115,-227,-119,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.241349,-242,-292,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.244592,-222,-108,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.247823,-92,-220,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.251053,-288,-93,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.254302,-294,-279,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.257532,-351,-157,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.260763,-167,-238,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.264075,-167,-66,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.267332,-434,-258,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.270564,-437,-228,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.273823,-693,-137,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.277083,-420,-59,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.280313,-313,-43,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.2836,-206,-93,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.28685,-481,110,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.290083,-204,-224,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.293362,-169,-233,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.296632,-144,-5,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.299892,-222,-228,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.303146,-297,-216,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.306383,-238,-85,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.309613,-148,-108,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.31285,-207,-62,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.316088,-212,-179,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.319321,-484,-258,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.322551,-355,-55,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.32579,-337,-44,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
0.32902,-159,-84,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.224881
