===BEGIN_METADATA===
Test Name: 2026-06-16_200342_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration Verify
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 101
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.008218,+0676236,+0908663,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.914146
0.011449,+0676236,+0908526,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.914146
0.014741,+0676185,+0908400,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.017983,+0676318,+0908526,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.021216,+0676290,+0908474,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.024494,+0676386,+0908410,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.027731,+0676234,+0908525,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.030961,+0676303,+0908357,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.034210,+0676181,+0908553,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.037442,+0676204,+0908467,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.040673,+0676131,+0908504,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.043913,+0676116,+0908455,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.047146,+0676191,+0908374,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.050377,+0676102,+0908379,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.053613,+0676104,+0908324,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.056850,+0676218,+0908422,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.060102,+0676284,+0908320,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.063347,+0676127,+0908435,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.066579,+0676031,+0908367,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.069810,+0676059,+0908294,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.073050,+0676276,+0908426,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.076283,+0676132,+0908345,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.079515,+0676234,+0908472,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.082754,+0676081,+0908437,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.085986,+0676202,+0908380,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.089217,+0676356,+0908548,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.092450,+0676201,+0908396,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.095688,+0676222,+0908462,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.098919,+0676184,+0908418,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.102157,+0676306,+0908452,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.105398,+0676155,+0908319,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.108646,+0676328,+0908479,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.111897,+0676126,+0908506,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.115157,+0676132,+0908598,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.118388,+0676171,+0908398,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.121621,+0676407,+0908435,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.124865,+0676217,+0908671,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.128097,+0676288,+0908402,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915153
0.131328,+0676223,+0908275,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.134568,+0675968,+0908290,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.137799,+0676236,+0908344,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.141031,+0676121,+0908599,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.144276,+0676034,+0908534,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.147507,+0676386,+0908376,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.150737,+0676223,+0908511,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.153978,+0676329,+0908341,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.157210,+0676166,+0908560,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.160443,+0676460,+0908701,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.163682,+0676182,+0908464,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.166916,+0676226,+0908549,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.170147,+0676207,+0908507,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.173389,+0676190,+0908529,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.176620,+0676202,+0908310,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.179850,+0676284,+0908447,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.183093,+0676316,+0908384,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.186326,+0676172,+0908447,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.189558,+0676184,+0908278,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.192797,+0676294,+0908471,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.196027,+0676201,+0908554,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.199263,+0676370,+0908329,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.202506,+0676259,+0908465,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.205812,+0676168,+0908411,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.209089,+0676298,+0908442,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.212320,+0676290,+0908318,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.215558,+0676377,+0908576,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.218789,+0676151,+0908522,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.222021,+0676186,+0908476,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.225259,+0676238,+0908269,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.228490,+0676303,+0908562,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.231725,+0676106,+0908376,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.234965,+0676320,+0908238,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.238196,+0676077,+0908464,,,,,,,,,,,,,,,,,,,,,,,,,20:03:43.915657
0.241430,+0676382,+0908469,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.244679,+0676329,+0908540,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.247910,+0676232,+0908384,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.251148,+0676266,+0908449,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.254498,+0676266,+0908359,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.257731,+0676338,+0908491,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.260961,+0676130,+0908462,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.264202,+0676283,+0908452,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.267434,+0676167,+0908452,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.270667,+0676171,+0908298,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.273906,+0676217,+0908480,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.277138,+0676265,+0908310,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.280368,+0676034,+0908407,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.283607,+0676070,+0908379,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.286844,+0676194,+0908429,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.290074,+0676278,+0908486,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.293313,+0676117,+0908518,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.296545,+0676327,+0908366,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.299778,+0676194,+0908564,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.303014,+0676368,+0908521,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.306261,+0676306,+0908360,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.309500,+0676121,+0908278,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
0.312752,+0676047,+0908368,,,,,,,,,,,,,,,,,,,,,,,,,20:03:44.059828
