===BEGIN_METADATA===
Test Name: 2026-06-16_200427_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration Verify
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 101
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.173339,+0679503,+0908876,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.176573,+0679311,+0908748,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.179804,+0679311,+0908790,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.183044,+0679224,+0908926,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.857556
0.186275,+0679450,+0908789,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.857556
0.189506,+0679398,+0908976,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.857556
0.192746,+0679264,+0908619,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.857556
0.195979,+0679480,+0908896,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.857556
0.199218,+0679166,+0908933,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.857556
0.202453,+0679433,+0908919,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.205792,+0679129,+0908756,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.209049,+0679493,+0908802,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.212281,+0679479,+0908706,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.215534,+0679093,+0908814,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.218767,+0679386,+0908879,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.222002,+0679443,+0908904,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.225244,+0679365,+0908815,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.228476,+0679520,+0908883,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.231707,+0679296,+0908916,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.234947,+0679460,+0908741,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.238178,+0679396,+0908942,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.241408,+0679346,+0908764,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.244651,+0679332,+0908732,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.891628
0.247882,+0679518,+0908637,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.251114,+0679280,+0908805,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.254432,+0679280,+0908808,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.257669,+0679343,+0908715,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.260901,+0679409,+0908778,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.264144,+0679481,+0908879,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.267375,+0679312,+0908891,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.270605,+0679243,+0908660,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.273842,+0679309,+0909004,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.277072,+0679376,+0908850,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.280303,+0679248,+0909080,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.283544,+0679316,+0908808,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.286776,+0679299,+0908881,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.290007,+0679168,+0908858,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.293243,+0679414,+0908877,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.296474,+0679248,+0908889,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.299705,+0679365,+0908780,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.302945,+0679306,+0908541,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.306210,+0679498,+0908767,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.309454,+0679333,+0908941,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.312707,+0679463,+0908749,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.315945,+0679311,+0908722,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.319178,+0679246,+0908659,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.322412,+0679606,+0908814,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.325651,+0679548,+0908770,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.328882,+0679507,+0908916,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.332114,+0679313,+0908854,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
0.335355,+0679521,+0908794,,,,,,,,,,,,,,,,,,,,,,,,,20:04:30.124438
