----------META DATA----------
SOFTWARE VERSION,2.3.0
DEVICE MAC ADDRESS,b8:27:eb:11:33:db
DEVICE OPERATOR,ALEX
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,02:49:07,Local Time
PLOT,2,#
TEST NUMBER,41,#
HEIGHT,74.8,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,S03
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (ADC*A + B = stored_value)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.029285919413946978,-1.6785281367782972,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,0.01173555874299126,-62.50358586517143,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
84.98599999999999,92.148,1.106,1.5722,0.0
135.19799999999998,92.007,1.106,1.6894,0.0
140.68999999999997,92.112,0.813,1.7479,0.0
145.89,92.101,0.666,1.7186,0.0
150.97299999999998,92.054,1.252,1.7772,0.0
156.164,92.077,1.616,1.7772,0.0
161.249,92.089,0.959,1.8065,0.0
166.327,92.089,1.033,1.8651,0.0
171.396,92.065,1.471,1.8651,0.0
176.475,92.148,1.033,1.8944,0.0
181.51999999999998,92.159,1.325,1.9236,0.0
186.71099999999998,92.112,0.371,1.8944,0.0
191.78599999999997,92.148,0.886,1.9529,0.0
196.84199999999998,92.171,-0.075,1.9236,0.0
201.92399999999998,92.159,0.666,1.9529,0.0
206.98999999999998,92.148,0.666,1.9822,0.0
212.029,92.171,1.033,1.9822,0.0
217.13,92.195,0.444,2.0115,0.0
222.208,92.206,1.106,2.0408,0.0
227.285,92.241,0.222,2.1286,0.0
232.339,92.23,1.033,2.0994,0.0
237.4,92.265,1.033,2.1286,0.0
242.45999999999998,92.324,1.179,2.0994,0.0
247.611,92.312,0.886,2.1579,0.0
252.69599999999997,92.277,0.739,2.1872,0.0
257.75399999999996,92.359,1.398,2.2165,0.0
262.78499999999997,92.335,1.252,2.2458,0.0
267.94,92.347,1.398,2.2751,0.0
