===BEGIN_METADATA===
Test Name: 2026-07-14_135058_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Amiga Probe Test @ 25 ft/min
Test Type: Not Calibration
Stalks: Medium B-IN no tops,Probe: v4.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.085248,+0693521,+0905094,0.085115,+0419352,+0722059,0.085184,+0277447,+0636518,13:51:01.187961
0.087116,+0693239,+0905117,0.086981,+0419522,+0722244,0.087051,+0277452,+0636459,13:51:01.187978
0.088977,+0693399,+0905006,0.088844,+0419111,+0722006,0.088910,+0277867,+0636784,13:51:01.187996
0.090846,+0693617,+0904885,0.090713,+0418855,+0722225,0.090778,+0277669,+0636836,13:51:01.188014
0.092709,+0693719,+0904926,0.092574,+0418269,+0722095,0.092642,+0277858,+0636655,13:51:01.188033
0.094566,+0693669,+0904988,0.094434,+0418566,+0722369,0.094502,+0277883,+0637244,13:51:01.188464
0.096428,+0693655,+0904690,0.096296,+0418723,+0721989,0.096364,+0277559,+0636739,13:51:01.188806
0.098287,+0693389,+0905039,0.098157,+0418903,+0722253,0.098223,+0277329,+0636774,13:51:01.188836
0.100149,+0693349,+0905173,0.100020,+0419382,+0722611,0.100085,+0277369,+0636501,13:51:01.188856
0.102020,+0693415,+0904870,0.101887,+0419371,+0722504,0.101954,+0277393,+0636537,13:51:01.231548
0.103885,+0693352,+0905015,0.103748,+0419214,+0722250,0.103819,+0277440,+0636656,13:51:01.231595
0.105801,+0693539,+0904817,0.105617,+0419109,+0722020,0.105735,+0277715,+0636800,13:51:01.231631
0.107661,+0693289,+0904983,0.107532,+0418716,+0722413,0.107597,+0277630,+0637052,13:51:01.231680
