===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
0,7.800,8.993,,,,
1,9.500,10.412,,,,
2,10.560,11.475,,,,
3,11.928,12.845,12.378,13.500,,
4,13.149,14.080,,,16.302,17.176
5,14.795,15.680,15.127,16.143,17.590,18.475
6,16.075,16.952,16.467,17.223,18.769,19.629
7,16.959,17.854,16.467,17.223,20.180,21.080
8,18.915,19.866,18.995,20.047,,
9,20.169,21.094,20.369,21.116,,
10,21.500,22.400,21.289,22.353,24.894,25.809
11,22.573,23.475,,,,
12,23.914,24.833,,,26.819,27.781
13,25.166,26.137,,,28.184,29.067
14,26.519,27.473,26.849,27.945,29.396,30.261
15,27.756,28.688,,,30.452,31.369
