===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
0,7.759,9.055,,,,
1,9.417,10.466,,,,
2,10.480,11.432,,,,
3,11.861,12.796,12.351,13.462,,
4,13.080,14.034,,,,
5,14.720,15.687,15.076,16.073,17.468,17.145
6,15.990,16.751,16.446,17.413,18.871,19.593
7,16.899,17.838,16.446,17.413,,
8,18.871,19.859,18.900,18.635,,
