===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
0,5.794,6.541,,,,
1,6.598,7.351,,,9.944,10.691
2,7.139,7.888,,,9.944,10.691
3,7.811,8.579,8.055,8.894,10.592,11.355
4,8.419,9.168,8.055,8.894,11.176,11.930
5,9.136,9.877,8.709,9.446,11.879,12.639
6,9.812,10.568,9.336,10.139,12.489,13.240
7,10.267,11.044,10.041,10.842,13.139,13.891
8,11.217,12.007,11.314,12.124,13.797,14.559
9,11.859,12.637,,,15.202,15.970
10,12.499,13.272,12.450,13.268,15.202,15.970
11,13.049,13.828,13.501,14.162,15.863,16.623
12,13.741,14.508,13.501,14.162,16.496,17.233
13,14.379,15.155,14.032,14.806,16.975,17.782
14,15.030,15.801,14.628,15.475,17.738,18.478
15,15.627,16.406,15.225,16.061,18.347,19.127
