===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
3,10,584.222,584.411,585.591,585.832,586.927,587.121
3,9,584.503,584.662,585.889,586.076,587.223,587.313
3,8,584.842,585.070,586.272,586.468,587.558,587.779
3,7,585.125,585.371,586.497,586.748,587.810,587.995
3,6,585.422,585.662,586.772,586.998,588.111,588.305
3,5,591.790,592.007,593.099,593.361,594.462,594.715
3,4,592.111,592.302,593.402,593.624,594.743,594.941
3,3,592.448,592.655,593.724,594.029,595.065,595.308
3,2,592.709,592.906,594.077,594.298,595.405,595.674
3,1,593.067,593.258,594.413,594.631,595.721,595.961
2,10,594.624,594.920,596.002,596.297,597.332,597.640
2,9,595.005,595.220,596.350,596.581,597.694,597.901
2,8,595.316,595.526,596.662,596.900,598.010,598.238
2,7,595.636,595.838,597.008,597.286,598.312,598.563
2,6,595.891,596.141,597.317,597.579,598.627,598.836
2,5,602.196,602.431,603.583,603.797,604.950,605.155
2,4,602.505,602.620,603.846,604.062,605.214,605.430
2,3,602.802,603.011,604.168,604.404,605.494,605.706
2,2,603.114,603.344,604.496,604.746,605.804,606.017
2,1,603.451,603.666,604.846,605.092,606.124,606.352
1,10,605.172,605.378,606.475,606.712,607.812,607.991
1,9,605.490,605.701,606.859,607.146,608.172,608.407
1,8,605.809,606.014,607.211,607.442,608.515,608.726
1,7,606.099,606.286,607.483,607.690,608.789,609.007
1,6,606.485,606.714,607.799,608.057,609.121,609.402
1,5,613.062,613.348,614.443,614.771,615.859,616.077
1,4,613.392,613.601,614.789,615.050,616.158,616.340
1,3,613.776,614.038,615.190,615.455,616.495,616.689
1,2,614.082,614.185,615.508,615.760,616.797,617.003
1,1,614.362,614.636,615.796,616.057,617.072,617.312
