===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,A_Refine_Start,A_Refine_End,B_Start,B_End,B_Refine_Start,B_Refine_End,C_Start,C_End,C_Refine_Start,C_Refine_End
3,10,579.855,580.035,579.895,580.015,581.175,581.431,581.248,581.409,582.470,582.689,582.553,582.643
3,9,580.070,580.303,580.108,580.249,581.470,581.669,581.501,581.640,582.775,582.898,582.836,582.875
3,8,580.453,580.691,580.479,580.649,581.873,582.077,581.913,582.053,583.135,583.349,583.216,583.318
3,7,580.724,580.961,580.759,580.903,582.104,582.330,582.153,582.297,583.381,583.563,583.438,583.538
3,6,581.014,581.250,581.052,581.219,582.360,582.584,582.412,582.551,583.646,583.869,583.706,583.842
3,5,587.327,587.485,587.337,587.485,588.645,588.859,588.675,588.843,589.933,590.185,589.999,590.103
3,4,587.587,587.719,587.598,587.708,588.877,589.109,588.942,589.077,590.213,590.411,590.279,590.385
3,3,587.863,588.136,587.924,588.028,589.201,589.492,589.268,589.407,590.504,590.753,590.599,590.701
3,2,588.194,588.399,588.246,588.373,589.572,589.790,589.609,589.760,590.868,591.110,590.950,591.082
3,1,588.510,588.702,588.559,588.677,589.888,590.109,589.921,590.068,591.182,591.412,591.246,591.375
2,10,590.101,590.389,590.195,590.300,591.454,591.743,591.518,591.631,592.807,593.059,592.862,592.951
2,9,590.458,590.685,590.495,590.638,591.779,592.001,591.833,591.965,593.121,593.313,593.175,593.286
2,8,590.755,590.979,590.792,590.949,592.088,592.339,592.141,592.301,593.431,593.646,593.507,593.617
2,7,591.083,591.324,591.128,591.281,592.458,592.741,592.542,592.664,593.747,593.975,593.833,593.934
2,6,591.353,591.592,591.401,591.557,592.760,593.003,592.797,592.955,594.018,594.222,594.069,594.179
2,5,597.555,597.760,597.579,597.739,598.883,599.097,598.928,599.071,600.238,600.438,600.317,600.418
2,4,597.819,598.028,597.835,598.008,599.151,599.367,599.196,599.340,600.499,600.717,600.597,600.693
2,3,598.122,598.339,598.147,598.311,599.488,599.725,599.517,599.696,600.808,600.999,600.861,600.972
2,2,598.422,598.663,598.457,598.626,599.802,600.054,599.841,600.025,601.105,601.295,601.166,601.265
2,1,598.771,598.993,598.804,598.948,600.147,600.380,600.193,600.347,601.432,601.644,601.494,601.616
1,10,600.450,600.663,600.506,600.630,601.755,601.994,601.831,601.964,603.060,603.250,603.133,603.225
1,9,600.790,600.998,600.814,600.966,602.139,602.463,602.167,602.438,603.416,603.658,603.496,603.629
1,8,601.090,601.295,601.115,601.258,602.475,602.689,602.504,602.655,603.736,603.956,603.822,603.929
1,7,601.367,601.595,601.394,601.563,602.736,602.941,602.765,602.912,604.007,604.230,604.081,604.204
1,6,601.700,601.923,601.751,601.907,603.020,603.225,603.062,603.209,604.338,604.525,604.421,604.509
1,5,608.286,608.541,608.358,608.461,609.615,609.912,609.719,609.838,611.008,611.209,611.081,611.183
1,4,608.580,608.830,608.653,608.779,609.932,610.214,610.018,610.129,611.287,611.487,611.343,611.431
1,3,608.941,609.199,608.978,609.163,610.356,610.601,610.451,610.592,611.643,611.838,611.732,611.808
1,2,609.249,609.440,609.281,609.412,610.687,610.933,610.721,610.870,611.930,612.141,611.991,612.113
1,1,609.532,609.805,609.600,609.738,610.960,611.264,610.999,611.230,612.207,612.471,612.272,612.436
